,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,2,,0.09581170681947737,0.9272771711677738,0.040292604170903995
1,4,,0.09352965885565123,0.9274231513097789,0.03604949772128044
2,6,,0.2892399555915624,0.9275174026982992,0.35406757153721236
3,8,,0.35922730682670667,0.9273111489480573,0.4453097750182517
4,10,,0.38373645830207365,0.927865718778433,0.4746294808404372
5,12,,0.48938357192161097,0.9279629201036769,0.58637074936691
6,14,,0.5585701851796272,0.9302471481035339,0.6523932230161728
7,16,,0.5819251433202269,0.9294315760892559,0.6719312306546624
8,18,,0.5510805943268797,0.9289610990178884,0.6445804916389701
9,20,,0.5507084321436077,0.9288922202398672,0.6443399430249932
10,22,,0.5565578937888385,0.9293537048403676,0.6498856074062079
11,24,,0.5976687982227025,0.9305601337392715,0.6866014348629912
12,26,,0.5916323895877743,0.9295660388271613,0.6804011945262385
13,28,,0.5651103437922234,0.9293850487635944,0.6572101304714089
14,30,,0.5887682791340121,0.9295942718638514,0.6777644960479781
15,32,,0.6010480165760788,0.9305972743485385,0.6892400680192361
16,34,,0.6368134178203549,0.9311083706340184,0.7189036051585731
17,36,,0.6267681773132714,0.9304306739520769,0.7101810185967171
18,38,,0.6064048655954348,0.9301781302705939,0.6931172299393148
19,40,,0.5823596551827712,0.9294203405157351,0.6726569201605538
20,42,,0.6311315370520562,0.9308661774357048,0.7139008503672956
21,44,,0.6177866562528163,0.9301382145724596,0.7025363898680106
22,46,,0.6100579805930242,0.9309787027932421,0.6970536573738364
23,48,,0.621563767462821,0.9304765076125909,0.7060625458892313
24,50,,0.6004266442327915,0.9297746408388058,0.6878120927612219
25,52,,0.5806991977404525,0.9305248520027773,0.6719715840416156
26,54,,0.6370684215270892,0.9316347297725202,0.7196145103495742
27,56,,0.6127580611232983,0.9305446207986762,0.6988946191112339
28,58,,0.6009917355371901,0.9300643371542016,0.6886953267425504
29,60,,0.6467030324888048,0.9321183398531402,0.7273897457330718
30,62,,0.6098854858585554,0.9312688618243159,0.697144491655667
31,64,,0.6465778953380024,0.9317879500443578,0.7271183557827423
32,66,,0.630970631556798,0.931152508222142,0.7141575516830991
33,68,,0.6164286787915226,0.9309598838062487,0.7022033093685686
34,70,,0.6370216156089348,0.9313246541415315,0.7190518645817742
35,72,,0.665584317969995,0.9328428013521074,0.7429446865885447
36,74,,0.6411723142608017,0.9317260634533542,0.7229437925366304
37,76,,0.6350843431458039,0.9317685043894733,0.7178329769419469
38,78,,0.6380318749060292,0.9315349395650641,0.7202339660863074
39,80,,0.6492722461131326,0.9316136177025339,0.7293277384334711
40,82,,0.6071772277525487,0.9308322392831018,0.6945978463171507
41,84,,0.6442299016511774,0.9313893805073057,0.7249258598845196
42,86,,0.6560215959334676,0.9321326681782829,0.735063056902245
43,88,,0.6462174763122274,0.9311744095650354,0.7264438470060548
44,90,,0.6708630388352436,0.9330390600090483,0.7471127151928432
45,92,,0.6563957161336903,0.9321217914871812,0.7353660743020555
46,94,,0.6568714461927254,0.9316714178330325,0.7354457135182872
47,96,,0.6528642777627343,0.9319910243658828,0.7323703957173386
48,98,,0.6644501278772379,0.932525582628914,0.741814112416758
