,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,2,0.0,0.6287156254967414,0.430433819482181,0.5058863037531778
1,4,0.06942504655493482,0.6509141494435613,0.7702801938466493,0.5476006779431579
2,6,0.2865626455519329,0.7240618540308474,0.8090692454090033,0.6830142505023481
3,8,0.30650046598322456,0.7332816475826972,0.8068865516273682,0.6923758644467667
4,10,0.2868881118881119,0.7281891204071895,0.8071536402417496,0.6831975300523347
5,12,0.36613805970149255,0.7539770919503659,0.8175237995199395,0.722701185868718
6,14,0.25373308446103593,0.7130270485282418,0.7950792832190363,0.6614521078607275
7,16,0.35679271708683474,0.7511935073201782,0.8169454324640877,0.7184760642634048
8,18,0.3226296123306866,0.738301766671972,0.8124159017460281,0.7015146235352023
9,20,0.34801401869158877,0.7482887615409105,0.8153831607091663,0.7145701757919761
10,22,0.3841164095371669,0.7597914344849546,0.8226431663121192,0.7311690567646865
11,24,0.3540692235734332,0.7509753184713375,0.8176325003111898,0.7181030641514157
12,26,0.3945367337388863,0.7637362637362637,0.8234738110328857,0.7364521186129319
13,28,0.42579588014981273,0.7724593819687798,0.8283596941100682,0.7490551689056747
14,30,0.3980679156908665,0.765512983909511,0.8245366554171393,0.7387107946862252
15,32,0.3944470477975633,0.7644598470363289,0.8253696496059507,0.7372372976678385
16,34,0.4074074074074074,0.7687450199203187,0.8273655656077372,0.743569793445518
17,36,0.41146810506566606,0.768389384762512,0.8254359996249014,0.7435053262099394
18,38,0.40503284842796805,0.7649250757213455,0.825166909298247,0.7398914141458441
19,40,0.4244131455399061,0.774154974489796,0.8307179658868885,0.7508009757449905
20,42,0.4593118835133866,0.7852415882634349,0.8355234483464451,0.7654392257926198
21,44,0.41482612781954886,0.7696570972886763,0.8275828270037517,0.7452777095815056
22,46,0.4351786553831688,0.7790915616525761,0.8323907803468026,0.7563195740802959
23,48,0.45002351834430854,0.7833838544990428,0.8348578614760955,0.7625952070239566
24,50,0.4118235294117647,0.7710028721876496,0.8295748048082193,0.7467532977154425
25,52,0.4056614877589454,0.7674752633258857,0.8273328119473862,0.7424285815553067
26,54,0.4181582666038625,0.769173982442139,0.8259866754167793,0.7451733985657264
27,56,0.4473963242224317,0.7816091954022989,0.8336927687258665,0.760456483390469
28,58,0.43859028760018864,0.7781614242375858,0.8313166609137095,0.7564632198585126
29,60,0.4403301886792453,0.7796430852762695,0.8332536805699895,0.7584020539304909
30,62,0.45162812647475226,0.7840800191662675,0.8356110710888992,0.7637147401750055
