,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,2,0.0008506031549644293,0.7044970161977834,0.8214695093399987,0.608316715332064
1,4,0.15954812751470132,0.7461203956343792,0.8284275564932575,0.689377349290144
2,6,0.4586559306286776,0.8321891523111036,0.8613287987667315,0.8126911093303948
3,8,0.44561512240471024,0.8275119413169567,0.8588968684540954,0.8073280290987652
4,10,0.4908527131782946,0.8417078996758233,0.8700045909032437,0.826135935826624
5,12,0.47595408004964324,0.8374146757679182,0.8659415474583372,0.8201336985533176
6,14,0.49029804408568767,0.8389870285031575,0.8669434872622241,0.8231185583391297
7,16,0.4782541161851507,0.8359081597814955,0.8648098934894912,0.8188104342276121
8,18,0.48671122163506375,0.838014341813215,0.8662867355714257,0.8217791212118306
9,20,0.49323483670295487,0.8406548838797814,0.8680062737553856,0.8250309113693663
10,22,0.502489884842826,0.8467976088812981,0.873937729889468,0.8322048959917143
11,24,0.4979757085020243,0.8441023231978134,0.8705502344173494,0.8284628484495828
12,26,0.49189778747273294,0.8420468135998633,0.8697359037479857,0.8263066092105711
13,28,0.4913470533208606,0.8407168489405332,0.8680757672883521,0.8246516576713164
14,30,0.48978159126365056,0.8385746026320288,0.8663556246783382,0.8226622764745254
15,32,0.5006244146113019,0.8418162393162393,0.8683839697678573,0.8266569255670917
16,34,0.4948453608247423,0.8400795007693622,0.8667151189931275,0.8243124215241389
17,36,0.49187246014379493,0.8413560191518468,0.8681388975728328,0.8251747210637682
18,38,0.4921019705974351,0.8423122969043955,0.8697266764848389,0.8265913848223033
19,40,0.49702660406885757,0.8393559698939447,0.8677441873469849,0.8245428608401546
20,42,0.491778891324773,0.8407185628742515,0.8679803715401743,0.8248192617056385
21,44,0.4926355374490755,0.8403704654346338,0.8682133596152419,0.8250565499751631
22,46,0.5038413295703983,0.8447715214786926,0.8712022768747656,0.8299586041590971
23,48,0.4972544712896141,0.842391304347826,0.8678991327237269,0.8263785916081572
24,50,0.5,0.8440335558979626,0.8714887958428774,0.8293821312817652
25,52,0.5117813383600378,0.8460830479452054,0.8714302358361015,0.8318369406799326
26,54,0.49347689405847217,0.8416038705257749,0.8685508691720033,0.8260032603721768
27,56,0.5047184649260774,0.844231757451182,0.8700068541213232,0.8291688092549911
28,58,0.5039345294302802,0.8461110159328422,0.8730012600569454,0.8317486001079047
29,60,0.4945669291338583,0.8431931117203564,0.869592341209472,0.8274372057755568
30,62,0.5210368736211787,0.8496572407883463,0.8750005668617807,0.8364354170494389
31,64,0.5033900977609587,0.8438249914295509,0.8701770176187786,0.8291126598048364
32,66,0.4977122120542758,0.8416980970341162,0.8684832361627531,0.8263879113693509
33,68,0.5213924850015788,0.8495370370370371,0.8752138864143508,0.8365755070058649
34,70,0.50260663507109,0.8447736237352084,0.8700430255804479,0.8295326309603687
35,72,0.505216566550743,0.8467195540308747,0.8723048553006705,0.8320546065199108
36,74,0.5070389117367922,0.8465860353405388,0.8725655077234753,0.8323869875861939
37,76,0.5048274770496992,0.8458090253946465,0.870296773973472,0.8305420121716527
38,78,0.5028508077288565,0.8456109490303758,0.870480126390685,0.8301633924686495
39,80,0.5000792393026942,0.8438894610367319,0.8691051575353154,0.8283148731889393
40,82,0.5013479226133841,0.8455150214592275,0.8718774457619283,0.8306052669809465
41,84,0.5039669946048874,0.8449519230769231,0.8714207436676653,0.8304664746365437
42,86,0.5112734201333757,0.8459986261377297,0.872098894627111,0.8319922110324155
43,88,0.5085795996186844,0.844834249398832,0.8702525796927325,0.8301283723008648
44,90,0.4987281399046105,0.8416938670331559,0.8690305964754683,0.8271243879410304
45,92,0.5077155583837099,0.8484750859106529,0.8732539081051641,0.8336558298011204
46,94,0.5276185928048392,0.8514134731053445,0.8755808944400674,0.8384159802753267
47,96,0.513857916533928,0.8490030938466827,0.8734449250362959,0.8349760712585708
48,98,0.5070927637870577,0.845882757435104,0.8704344102254553,0.8308802136412315
49,100,0.5269537480063796,0.8544317400275103,0.8779490900784631,0.8413241029457605
50,102,0.5195499521225663,0.8522141014617369,0.8768043535812161,0.8388007424005436
51,104,0.5072660491855637,0.8457172342621259,0.8716254118743396,0.8315232075471929
52,106,0.5039948865452222,0.84840013762257,0.873484673547057,0.8336635937850757
53,108,0.519107771026543,0.851019442532691,0.8753961721731482,0.8376036039271829
54,110,0.52032,0.8530158320426776,0.8773070733675596,0.8394914529437756
55,112,0.4994396413704771,0.8428571428571429,0.8685263860907319,0.8276828863683717
56,114,0.5110541493111183,0.8496514029953521,0.8737575776141393,0.8352330123024256
57,116,0.5073741583840974,0.8466339531680441,0.8716183830320581,0.831974110917759
58,118,0.49863650946422844,0.8462631307043224,0.8720192834354904,0.8311667207541062
59,120,0.505056179775281,0.8471193592834999,0.8727687418945596,0.832544246207142
