,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,2,,0.48690497831563095,0.9719287926603472,0.6241697846374494
1,4,,0.38738475522659394,0.9720782954025238,0.524516424638187
2,6,,0.36893229099031244,0.9718432696548971,0.5035680774553967
3,8,,0.4572868237188644,0.9723631601680612,0.5963894451769842
4,10,,0.5471765500402608,0.972508819910277,0.6771671891219444
5,12,,0.6386666493493,0.9725547351079882,0.7531561604455543
6,14,,0.6445382517210028,0.9724596182303368,0.757751013430242
7,16,,0.6162419141142546,0.9726321355242876,0.7358756978500234
8,18,,0.7430763035514796,0.9727642222228163,0.8284241495518293
9,20,,0.7248824339421653,0.9730129233140858,0.8165529172459958
10,22,,0.7663951464130746,0.9729446322678631,0.8440513954269655
11,24,,0.7795634662855659,0.9744487883427818,0.8543125601461793
12,26,,0.72474859028662,0.9726198587500636,0.8157017042616809
13,28,,0.777604532106754,0.9737908114563658,0.8519565652379145
14,30,,0.7443735544062995,0.9722093883863269,0.8287403314133128
15,32,,0.8453881539621072,0.9754678460039996,0.895965993239612
16,34,,0.8816439246263809,0.975417031260341,0.9174005261501547
17,36,,0.8445923114911755,0.9742890502505186,0.8942303285346732
18,38,,0.8118192924540563,0.9753849283291274,0.8760672246046246
19,40,,0.8538368556500039,0.9745129106825473,0.9000922812829699
20,42,,0.900980060831362,0.9762429800008022,0.9294340669680301
21,44,,0.8497985181333679,0.9739373976604065,0.8973641336993702
22,46,,0.8913631282011284,0.9753092994472481,0.9231722729748978
23,48,,0.9305985283793974,0.9779078292930717,0.9478080295313324
24,50,,0.9048012168803141,0.9759861979330435,0.9315375314286098
25,52,,0.908969758431495,0.9784107922041572,0.9359762881293241
26,54,,0.8789234169808868,0.9756726671184295,0.9162057765841065
27,56,,0.9532091124229579,0.9812380362720802,0.9630649103332408
28,58,,0.9377844529401056,0.9810619057847891,0.9541020629397429
29,60,,0.9616635023017504,0.9852580013318265,0.9703423191352223
30,62,,0.9163978984055973,0.9767759616755547,0.9388036042242414
31,64,,0.9138314475224346,0.9764878979745217,0.9371206853893751
32,66,,0.9348255859324194,0.9807171369922042,0.9523068099817399
33,68,,0.9283967638719076,0.9779178379798068,0.9466085509386692
34,70,,0.9206600067639636,0.9768503572885694,0.9413259684030864
35,72,,0.9150948305018602,0.9778689836851473,0.9389422003197422
36,74,,0.9546507089892025,0.9818153852611926,0.9642955985310305
37,76,,0.9339109619337549,0.9784607594631584,0.9499503595994729
38,78,,0.9358525669381489,0.9786345791234643,0.9512832884003732
39,80,,0.9699966171380989,0.984218133519868,0.9746621612262099
40,82,,0.957302157337289,0.9818643342594364,0.9658006224844524
41,84,,0.9569095640858817,0.9821534513992048,0.9657330094309275
42,86,,0.9469783723290737,0.9803631382390507,0.9587155422800415
43,88,,0.9693396840269645,0.986431813967253,0.9752915727296219
44,90,,0.9619719409667092,0.9829916261425484,0.9692340262896671
45,92,,0.9552606918811984,0.981055146416951,0.9641327942595868
46,94,,0.9644604972016139,0.983150622110748,0.9707937408105362
47,96,,0.9616080493582901,0.9820736269697079,0.9685871431793911
48,98,,0.9334956132357919,0.9780936167192046,0.949684091904379
49,100,,0.9760342628029888,0.9870409449131572,0.9796680366049109
50,102,,0.9590634519749004,0.981525102076028,0.9665890146165881
51,104,,0.9506900143210519,0.9804960593045228,0.961111408830049
52,106,,0.9429081061375414,0.9797148112963636,0.9561833715078569
53,108,,0.9426642535350642,0.9799252290170607,0.9560513954535523
54,110,,0.9417758274955077,0.9802006776036237,0.9560293933190612
55,112,,0.9723611219626533,0.9877829547036215,0.9778193319581086
56,114,,0.9649498632634458,0.9828966402530569,0.9709631475382701
57,116,,0.9649675722136849,0.9838370829642503,0.9714863616026738
58,118,,0.9760490740017191,0.9877487079491111,0.979945657892246
59,120,,0.962606475813384,0.9868157191234733,0.9716634431284008
60,122,,0.9567692187459296,0.9819232574898624,0.9655663238383392
61,124,,0.9704832616907646,0.9871942170801097,0.9763667027181047
62,126,,0.9656228017611964,0.9850378412587564,0.9724581857984707
63,128,,0.973352700554962,0.9856849572376267,0.9774175879679248
64,130,,0.9649547929857474,0.9832711317330001,0.9711918589772883
65,132,,0.9670896630794487,0.9846315447657767,0.9731518610603789
66,134,,0.9702084690553745,0.9863553877714277,0.9758338173396988
67,136,,0.9613595496833711,0.9837773151641749,0.9694193206244778
68,138,,0.9730590810768549,0.9860967507486643,0.9774344261540882
69,140,,0.9689267377309807,0.9848223170841502,0.9743240136131591
70,142,,0.9707300544738968,0.98547362046823,0.9757335368628096
71,144,,0.9705069725009774,0.9860370351511558,0.9757648065532823
72,146,,0.9709746370200453,0.9843107001977921,0.9752639985813261
73,148,,0.9743750162925888,0.9857901831631954,0.9780654506154575
74,150,,0.9734873171876222,0.9859171922487879,0.9775813365825173
75,152,,0.971902129989311,0.9864072228584204,0.9768102740304183
76,154,,0.9707534871594317,0.9857429574537985,0.9759626035201387
77,156,,0.9686139285062446,0.98507796636987,0.9742618347253823
78,158,,0.9699030012255222,0.9841143973825696,0.9745167982400086
79,160,,0.9794453571149182,0.9883876410977144,0.9823093481154217
80,162,,0.9806308185777244,0.9892494926786863,0.9834697337877757
81,164,,0.9716455861259616,0.9850325435252424,0.9760328926652111
82,166,,0.9763450955845917,0.9884466155495735,0.9804844459008917
83,168,,0.9758026655538456,0.9881931306614185,0.9800125744784991
84,170,,0.9757492370693028,0.9857612903008032,0.9789077268461401
85,172,,0.9793867543104573,0.988906571350205,0.9825463082297925
86,174,,0.9798747880526935,0.9886959526362079,0.9827224161570791
87,176,,0.9784780737223802,0.989303216270933,0.98218721135294
88,178,,0.9767551068325899,0.988271460971442,0.9806445136685085
89,180,,0.975403741292494,0.9865062267461553,0.9790439947407337
90,182,,0.9713583113731834,0.98490693643455,0.9758484511624201
91,184,,0.9760926288323549,0.9878479569691958,0.9800107024724236
92,186,,0.9730710017482974,0.9876294857618768,0.9780752079755051
93,188,,0.9704861564155424,0.9867412491850054,0.9761852246751026
94,190,,0.9703932774863644,0.9840412032902489,0.9747879962526931
95,192,,0.9645914346112692,0.9840108855914343,0.9713045957257302
96,194,,0.9774370351037452,0.9882567295375073,0.981044920525112
97,196,,0.9731618510688278,0.9876159955206026,0.9781264012456831
98,198,,0.9763971183211089,0.9890269397076565,0.9807953573490638
99,200,,0.9756127802866167,0.9869941630882482,0.9794275637529355
