,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,2,0.513688455008489,0.8946998549147624,0.9235783834585358,0.887332192134364
1,4,0.7498937977909941,0.9447215672047886,0.9596841828582205,0.9457460530586725
2,6,0.6472151360544218,0.9233037010159653,0.945267628032716,0.9224316721889703
3,8,0.7170212765957447,0.9375340228633642,0.9578027689494846,0.9393334164871592
4,10,0.7227427597955708,0.938611615245009,0.9535993315010611,0.9387093403445945
5,12,0.8501705029838023,0.966078235614449,0.9755806668711474,0.9678604532938193
6,14,0.8592150170648465,0.9683415032679739,0.9769804543439934,0.9699911311005549
7,16,0.7970751494449189,0.9556473579081168,0.9672854127027078,0.9569796318232211
8,18,0.8605769230769231,0.9684662186705413,0.9774187399090676,0.970325050230629
9,20,0.80196749358426,0.9568574023614895,0.96772169459019,0.9579520244006889
10,22,0.848458904109589,0.9655932049418605,0.9743924521665627,0.9671259166982153
11,24,0.8468294772922023,0.9654052335089951,0.9761143914465655,0.9675754490632786
12,26,0.869639794168096,0.970442566339513,0.9787846606895219,0.9721880489070603
13,28,0.8620171673819742,0.9694828213052172,0.9789037883569345,0.9715109817761015
14,30,0.8752147766323024,0.9713636363636364,0.9793474211869149,0.9730476133507671
15,32,0.8022355975924333,0.9560147299509001,0.9663831435522761,0.9570544171579177
16,34,0.861553356282272,0.9687386322299019,0.9773854365659455,0.9704033611718259
17,36,0.8736003445305771,0.9714162270329272,0.9795683523870062,0.9731306441723352
18,38,0.8573275862068966,0.9677265283842795,0.9769177270676933,0.9695211338072767
19,40,0.8744607420189818,0.9718835304822566,0.9797001827142886,0.9735013979717118
20,42,0.8712219343696027,0.9704450309428466,0.9790856890076384,0.9723790703441353
21,44,0.875,0.9714409248133989,0.9796781288696669,0.9732659274287536
22,46,0.8686202422145328,0.9699335396941005,0.9782980405443327,0.9716839255824534
23,48,0.8772727272727273,0.9725004552904754,0.9805925505109632,0.9742835445111939
24,50,0.8800909878682842,0.9725409836065574,0.9803653851397549,0.9742675541541437
25,52,0.8722896790980053,0.971260703224631,0.9787416030060977,0.9727390051555402
26,54,0.8623046875,0.9690461005830904,0.9770186109375029,0.9705894072468215
27,56,0.8748913987836664,0.9720703480954984,0.9794639807246881,0.973526251899475
28,58,0.8714130434782609,0.9717918337586583,0.9803225311209565,0.9735665626324082
29,60,0.8775021758050479,0.9726526891522332,0.9805079496822435,0.9743681136006581
30,62,0.8780487804878049,0.9719638949671773,0.9794053383280066,0.9735428371009143
