,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,2,0.8148815653964985,0.9635411797700291,0.9717554741289346,0.9648320444513425
1,4,0.7856958762886597,0.9582281439925199,0.9678250596644893,0.9592482168730414
2,6,0.8219814241486068,0.9650238473767885,0.9743947209068651,0.9670793513365843
3,8,0.8150826446280992,0.9635441025161351,0.9723424742569218,0.9651956650465319
4,10,0.8239400206825233,0.9659930769950416,0.9741411813480874,0.9675563205074676
5,12,0.82324016563147,0.9644661738560869,0.9731141741937246,0.9662504003761747
6,14,0.8139896373056995,0.9631960692559663,0.9724490627747671,0.9650467592338188
7,16,0.829097510373444,0.964827295703454,0.9742135929896887,0.9672689046590826
8,18,0.8385254413291796,0.967535811253628,0.9754714065941384,0.9693695024446659
9,20,0.8152286902286903,0.9637138308830415,0.9720731827293094,0.965144812555268
10,22,0.8233610822060353,0.9647607005713215,0.9734355099341677,0.966550732650503
11,24,0.8256510416666667,0.9662763466042154,0.9740113514868096,0.967664319749404
12,26,0.8196037539103233,0.9654267778506511,0.9736587827190446,0.966938975332424
13,28,0.8224164926931107,0.9660059975634898,0.9736121998262225,0.9672419642157838
14,30,0.8222309299895507,0.965952760333677,0.9739965897200673,0.96744067571786
15,32,0.8183838912133892,0.9653604574857036,0.9733225440428249,0.9667410911692216
16,34,0.8331151832460733,0.9680262541022036,0.9765263949979038,0.9700471901830112
17,36,0.8317610062893082,0.9665666322798462,0.974770137342514,0.9683260600297554
18,38,0.8454879328436516,0.969444704999531,0.9763604855393926,0.970836445531987
19,40,0.8272058823529411,0.966131907308378,0.9745239243771443,0.9678811647262746
20,42,0.8422712933753943,0.9697851177629726,0.9779207702309063,0.9716557123816509
21,44,0.8468421052631578,0.9697325199436884,0.9786981347484904,0.9723390778459527
22,46,0.8648577449947313,0.9730357645733596,0.9799543537963055,0.9747615503959535
23,48,0.8440137130801688,0.9692751854285983,0.9755958656349978,0.970462265592418
24,50,0.8389651531151002,0.9681425485961123,0.9767391557194929,0.9703723404006215
25,52,0.8543868921775899,0.9709542594157978,0.9791919703637872,0.9732066437505307
26,54,0.8623015873015873,0.9719351808360732,0.9808763538621834,0.9746829469275891
27,56,0.864936440677966,0.973456732124401,0.980462660886626,0.9752975333830457
28,58,0.8613467656415695,0.9725119819565831,0.979343220857609,0.9741505190835517
29,60,0.8296178343949043,0.9669611805620829,0.9741266149192919,0.9682131748003147
30,62,0.8415249734325185,0.9694932781799379,0.9771933421195456,0.9712709296323851
31,64,0.8613031914893616,0.9729431123648331,0.979570258683205,0.9744839684411422
32,66,0.8769968051118211,0.9762061506630302,0.9818659375747318,0.9775999727124985
