,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,1,0.7471204188481675,0.9880075923156563,0.9880791890288978,0.9871220000729813
1,2,0.7169811320754718,0.9872497890942556,0.9876135764462778,0.9859530777000474
2,3,,0.9903267246999271,0.9906925188428835,0.9899013079441902
3,4,0.9101890756302521,0.9941037735849056,0.994421011037967,0.9940426597410883
4,5,0.949789695057834,0.9956184084372003,0.9957411224514374,0.9956345198201015
5,6,0.8097368421052631,0.9907187236327376,0.9908789524413995,0.9901847789169785
6,7,,0.9974111149464964,0.997308134819709,0.9973292813481256
7,8,,0.9970370512427125,0.9970924429463373,0.9970381219599745
8,9,0.9672650475184794,0.9961834989068313,0.9962831941457536,0.9962025465306936
9,10,0.912262156448203,0.9949750671269659,0.9950046528726604,0.9948720185964162
10,11,0.935978835978836,0.9951858529287659,0.9952557774199363,0.9951165574450674
11,12,0.9713983050847458,0.9967297069203622,0.9971060944049653,0.9968519604098109
12,13,0.88016967126193,0.993372846894541,0.9941238645952043,0.9935568670266127
13,14,0.9713375796178344,0.9961827668226808,0.9966509993745135,0.9963416356746952
14,15,0.9649309245483528,0.9959620180318435,0.9966555011560689,0.9962554113458107
15,16,0.9835106382978724,0.9969306322897484,0.9969638348595058,0.9969192134983733
16,17,0.9550053248136314,0.9960672217319573,0.9961108301814275,0.9960507701628081
17,18,0.9645522388059702,0.9956833704243726,0.9958422223697244,0.9957264533273823
18,19,0.9167556029882604,0.9944457234948774,0.9944942124398078,0.9943574509240636
19,20,,0.9945318495778972,0.9948109349592205,0.9945050157210942
20,21,0.9711229946524064,0.9960378372155493,0.996620587324462,0.9962957481918706
21,22,0.9451284796573876,0.9956059559444317,0.996103653183193,0.995798826661095
22,23,,0.9968338642207468,0.9971622784949148,0.9969748766251565
23,24,0.9721030042918455,0.9969296898986798,0.9970721170288414,0.9969621673830535
24,25,0.9642857142857143,0.9960756092880445,0.9959771317964223,0.9959835153291713
25,26,0.9575268817204301,0.9959603131956706,0.9959847253680663,0.9959409590173862
26,27,0.9504843918191603,0.9955763251832803,0.9956490621056706,0.9955536692201609
27,28,,0.9962958697988639,0.9962795894388804,0.9962265684856
28,29,,0.9964108863383363,0.9965100658835533,0.9964284756630186
29,30,,0.9967850287907869,0.9971336706281921,0.9968840527796715
30,31,0.9902702702702703,0.9969480594264656,0.9971344334618004,0.9969947422587927
31,32,0.9707792207792207,0.9964584613022113,0.9968238479252843,0.9966060404812069
32,33,0.9807692307692308,0.9968134526049065,0.9969945295683085,0.9968645112213259
33,34,,0.9960550564386086,0.9963459875055036,0.9961654714530025
34,35,0.9717698154180239,0.9969283931656747,0.9970599912914038,0.9969638677357355
35,36,0.9717391304347827,0.9967074950084472,0.996889428151487,0.9967673852205537
36,37,0.9085963003264418,0.9941538993203547,0.994177214436354,0.9940652391670421
37,38,0.9901960784313726,0.9972064357576224,0.9975468491834081,0.9973428311124962
38,39,0.9770992366412213,0.9968415191428901,0.9968530447708883,0.9968044119299297
39,40,,0.9961981566820277,0.9960848201554979,0.9960925206468884
40,41,0.9147540983606557,0.9949210799185837,0.9949993435652815,0.994871487246455
41,42,0.9863238512035011,0.9967931484753053,0.9970289886739739,0.9968850860688336
42,43,,0.9948342743019549,0.995018697261516,0.9948084839195848
43,44,0.9835526315789473,0.9971385773544323,0.9973294132507061,0.997213606566946
44,45,,0.9959381601690033,0.995993779399423,0.9959132863569726
45,46,0.9785714285714285,0.9964181455020359,0.9966181345370999,0.9964758567250112
46,47,0.9801980198019802,0.9968885645142704,0.996927476959337,0.9968867931451406
47,48,,0.9963602489244008,0.9966079324731012,0.9964379247458668
48,49,0.9713340683572216,0.9963697130344589,0.9961627211770843,0.9962387081612535
49,50,0.9671633554083885,0.9966000768344218,0.9966153575899108,0.9965777223572784
50,51,0.9582872928176795,0.99611010795651,0.9961389605858616,0.9960746079382182
51,52,0.977046460176991,0.9969744121715076,0.9971309306511114,0.9970017549308485
52,53,,0.9963691551081569,0.9964077751229601,0.9963613228449704
53,54,0.9645232815964524,0.9961000537923614,0.9962357283393012,0.996125192561057
54,55,0.9900110987791343,0.9972142170989433,0.9971335691254947,0.9971282648270811
55,56,0.9686111111111111,0.9961862127267138,0.9963558263035771,0.9962355552530373
56,57,0.9674638487208008,0.9964358452138493,0.9965959723487235,0.9964935283850609
57,58,0.9120267260579065,0.9943893628468219,0.9946418770012309,0.9944093317536666
58,59,0.9186176142697882,0.9949079589562277,0.9949921080618421,0.9948102031377961
59,60,0.9765625,0.9969734819369716,0.9971005869924201,0.9969860987168195
60,61,0.9689944134078212,0.9964929474614705,0.996576648779451,0.9964569535685956
61,62,0.9639261744966443,0.9965985087247291,0.9966893693572655,0.9966063594975602
