,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,1,0.06260422456920511,0.877975029262583,0.9681804823182125,0.8658103975232052
1,2,0.7201834862385321,0.9622676645856981,0.9688247077725058,0.9614016460790873
2,3,0.6979977753058955,0.9590294774928168,0.9650239107149484,0.9574647947812097
3,4,0.7193324061196106,0.96232706633558,0.9687366385347409,0.9615218978704985
4,5,0.7681552587646077,0.9679307531306538,0.9732381148548898,0.9676711574187074
5,6,0.8353743389924854,0.9771090534979424,0.9821471990671865,0.977760773521938
6,7,0.782293986636971,0.9701812892468159,0.975545963510744,0.9701795509584852
7,8,0.7328042328042328,0.9635191229688498,0.9658491040404292,0.9615209059290147
8,9,0.7824512534818941,0.9692478268582578,0.9746595347960605,0.9692241297528534
9,10,0.8824881582613542,0.9828448765256884,0.9845230999135397,0.9828227587564949
10,11,0.8637123745819398,0.9805645247134798,0.9817062587984344,0.9802023904797239
11,12,0.8609562308335656,0.9802533532041728,0.9824716593036642,0.9801950108238248
12,13,0.8045175683212493,0.9729250204038182,0.9746892787922454,0.9720007187985564
13,14,0.79442119944212,0.9716022001419446,0.9744167308511387,0.9709273075237249
14,15,0.8406110491071428,0.9775630788885341,0.9827262174862507,0.9783587540538224
15,16,0.8079123639408317,0.9735520618922564,0.9776999332185432,0.97347852325765
16,17,0.9096175321049693,0.9867356354473508,0.9875021571002824,0.9866698173430215
17,18,0.8353113655403519,0.9769573395797841,0.9829540666291339,0.9780519196853572
18,19,0.7956703910614524,0.9717834960070986,0.9790276177977444,0.9726917014511758
19,20,0.9080748812517463,0.9865035138780436,0.9877089656815445,0.9865611370374814
20,21,0.8517328116266072,0.9796258829375644,0.9810495360263639,0.9792779816796497
21,22,0.8137405647190383,0.974602442141133,0.9762455551777904,0.9737747338003998
22,23,0.8030620805369129,0.9728355400944234,0.9769797523862934,0.9727519533384953
23,24,0.8241958041958042,0.975417110401136,0.976925783290713,0.9747127647448324
24,25,0.8074986010072748,0.9737832368916184,0.9764280599068849,0.9732282531095054
25,26,0.8687377553876294,0.9814683328599829,0.9833226986728856,0.9813761571958038
26,27,0.8961366181410975,0.984725032839848,0.9856646690711189,0.9846604561535066
27,28,0.8821058527023243,0.9829936803237946,0.9851887093355018,0.9831302682608256
28,29,0.846358543417367,0.9782975323983668,0.9824020389133221,0.9787963409766351
29,30,0.8456850658447744,0.9777020309615112,0.9827747137990058,0.9784951294776385
30,31,0.8899243273542601,0.9839239427617796,0.9863276552114985,0.9842779601734797
31,32,0.8856181665264928,0.9831599318230239,0.9859078679457258,0.9835440314088774
32,33,0.8408581043185641,0.9774510848336352,0.9827875322167307,0.9782898121320553
33,34,0.9008415147265076,0.9853515625,0.9861820017824106,0.9852143205297985
34,35,0.8771043771043772,0.9820217337263397,0.983181700342217,0.981813668911959
35,36,0.8771400505192254,0.9821631507919596,0.9852795180992537,0.9826075494724347
36,37,0.8401880965749579,0.9779628511560181,0.9833072780434413,0.9788240207021951
37,38,0.8654872226902556,0.9803327887484018,0.9819905797239132,0.980224139201909
38,39,0.91938202247191,0.9877375244183981,0.9885338307970348,0.9877347819956613
39,40,0.9198510817645407,0.9875328550117213,0.9881929523685425,0.9874640324301325
40,41,0.9214446318156269,0.987585692466167,0.9881885766570906,0.9875342302865286
41,42,0.9308405960078718,0.9885443307757886,0.9893963382970559,0.9886337871033055
42,43,0.9010826771653544,0.9855067315548293,0.9864559692341506,0.9854328299288206
43,44,0.8942334739803094,0.9837122557726466,0.9852061859694501,0.9837420671502809
44,45,0.935917276308385,0.9900529326086185,0.9908014710251303,0.9901513913626573
45,46,0.9174641148325359,0.9872637487565724,0.9881389200065736,0.9872539049801393
46,47,0.8907657657657657,0.9836394642413046,0.9856433643862137,0.983885083176739
47,48,0.8980568853843989,0.9849268102039366,0.9861151587998195,0.9849265291752023
48,49,0.9159154929577465,0.986764967134482,0.9879404007217937,0.9868817209651463
49,50,0.8658072696534235,0.9807063672541216,0.9855521951266631,0.9816567403810349
50,51,0.8731679819616684,0.9821891767046869,0.9838209875945221,0.9820541331561083
51,52,0.9192275162108825,0.9881316182218748,0.9887241213889696,0.988057577181098
52,53,0.9117315284827975,0.9863011264702748,0.9869676903627426,0.9861728913999626
53,54,0.9301833568406206,0.989045842217484,0.9896473143878524,0.9889661660464797
54,55,0.8632900677200903,0.9807384768470805,0.9822089623634614,0.9805023742122831
55,56,0.9239345187694045,0.9883076266969935,0.9890577183430425,0.9883358673748672
56,57,0.906055900621118,0.9856772221629883,0.9863919322431769,0.9855646457392914
57,58,0.9135837334086416,0.9868495877168041,0.9887464961231434,0.9871825323367522
58,59,0.9275423728813559,0.9887684378887507,0.9896940196699409,0.9888755691210107
59,60,0.9135348968635209,0.9866975901044999,0.9876716900697551,0.9867356231170508
60,61,0.939584511023177,0.9897984573276934,0.9905156722916405,0.98992269779757
61,62,0.9166666666666667,0.9874342385895065,0.9879483427091966,0.9872687658786158
62,63,0.9261877828054299,0.9882336212719064,0.989057859951795,0.9882952706874188
63,64,0.9452616690240453,0.9911482403128333,0.991612637376783,0.9911660914468653
64,65,0.9154640633842671,0.986890753315084,0.988633414866999,0.987154243800897
65,66,0.9358901783187095,0.9900988339021615,0.9909470644558852,0.9902504752470398
66,67,0.9001981879954699,0.9854321470473211,0.9867699911214549,0.9854999097292506
67,68,0.9534126309827244,0.9916714072388536,0.9920392917696066,0.9916773135379946
68,69,0.9298866855524079,0.9888622222222223,0.9895074111074087,0.9888924230503514
69,70,0.9516860300368376,0.9917330393969562,0.9918841031551798,0.9916073729722065
70,71,0.953656462585034,0.9921149948440778,0.9925005599757017,0.992102657218299
71,72,0.9244400340232491,0.988043169049143,0.9890583030118522,0.9881204756704138
72,73,0.9251276233692569,0.9886739447388073,0.9893069469643366,0.9886305782526674
73,74,0.9279432624113475,0.9887980085348506,0.9901596762929008,0.9890774016126136
74,75,0.9271424517593644,0.9884686510900105,0.9891868883414906,0.9885162916456166
75,76,0.9528101050241272,0.9924603456860374,0.9927839743660871,0.9924537417877394
76,77,0.9498154457694491,0.9912063875946936,0.9917339191361181,0.9912683729388714
77,78,0.9164299914796932,0.986760207710912,0.9891471571934641,0.9872672532432969
78,79,0.9528409090909091,0.9914102792103859,0.9920684174963603,0.9915629552602468
79,80,0.9335038363171356,0.988982357544284,0.9896818508285135,0.9890243893438284
80,81,0.9245309835133598,0.9883861558709494,0.9889025717635311,0.9882840464310025
81,82,0.9107904464031846,0.9865804638588502,0.9877715777948155,0.9866851761417909
82,83,0.9392775881683731,0.9898616200064032,0.9902711276690515,0.9898544340419202
83,84,0.9185633001422475,0.9873087869085734,0.9891484035163286,0.9876631695217438
84,85,0.934334092202618,0.9896474438791847,0.9911111314519404,0.9899692473585889
85,86,0.9446342157699972,0.9911413120819695,0.9916474145268339,0.9911520390429577
86,87,0.9370728929384966,0.9901892766926389,0.9910829113829431,0.9902749849180756
87,88,0.9226003987467958,0.9882320500960649,0.9892063355478198,0.9882977915563071
88,89,0.945014245014245,0.9907489770503469,0.9914923582355429,0.9907866366755897
89,90,0.9423624964377315,0.9899035724452036,0.9905812784891843,0.9900235666019697
90,91,0.9513968072976056,0.991629007579262,0.9920535526271953,0.991682644423964
91,92,0.909181636726547,0.986611273218988,0.9871552681999418,0.9863973282933296
