,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,1,0.0,0.9416119661988833,0.906751781431929,0.9208661146305015
1,2,0.49882629107981213,0.9697721356622778,0.9725384044416259,0.9658194460699709
2,3,0.37030201342281877,0.9620557609597826,0.9703520334103319,0.9564741995323297
3,4,0.2704835460040296,0.9564044519901906,0.9710321064465041,0.9488588438772032
4,5,0.5581317204301076,0.9731738605493511,0.9775188685055812,0.970961324386479
5,6,0.46385339609952925,0.9680696524921707,0.974545058824267,0.9645892497341058
6,7,0.5777254374158816,0.9738321636102936,0.9799632890870877,0.9726459305626061
7,8,0.6750841750841751,0.9798969850194332,0.9824329099794601,0.9788101375126048
8,9,0.7277628032345014,0.982566037735849,0.98332125061076,0.9815182759410173
9,10,0.6904922454484154,0.980414355258689,0.9827820991807046,0.9795110614413749
10,11,0.8026315789473685,0.986932976073666,0.9878144346217275,0.9865258495963061
11,12,0.5101282916948009,0.9708834962448578,0.975454730242084,0.9677614117904918
12,13,0.6550675675675677,0.9781476449275361,0.9803796759887466,0.976614767437346
13,14,0.6543272481406355,0.9787601434232875,0.982256200687684,0.9777136581858648
14,15,0.6803112313937754,0.9800615233637804,0.9820116288427773,0.9789024969124827
15,16,0.7158090724441435,0.9819291888423357,0.9829197140579147,0.9808320170932533
16,17,0.6502371273712737,0.9788992903518043,0.9809955494929374,0.9773926759935037
17,18,0.7257627118644068,0.9823996829111774,0.9844217465763587,0.981751940553601
18,19,0.8129240162822252,0.9867497168742921,0.9873336551107702,0.986362136473581
19,20,0.7566191446028514,0.9845313148854241,0.9856371218047874,0.9839324714833965
20,21,0.7800611413043479,0.9854745545152522,0.9862110116308689,0.9848858012474929
21,22,0.6945955132562882,0.9804243591195682,0.9832270042876177,0.9797282076048967
22,23,0.8598639455782313,0.9896077172846032,0.9896804556105319,0.9892655409313783
23,24,0.8515997277059224,0.9895790069850858,0.9903323097982111,0.9894362991727093
24,25,0.7331403269754768,0.9828198157378039,0.9839350872188137,0.9820904229318675
25,26,0.8101567825494207,0.986916134878979,0.9883362076647616,0.9867337489234582
26,27,0.7382332878581174,0.9833377388414772,0.9849618678605913,0.9827697349552378
27,28,0.8709897610921502,0.9905309467165138,0.9909581541282125,0.9903688927218933
28,29,0.7476092896174863,0.9842239425981874,0.9873084005860291,0.9841662404555689
29,30,0.7619617224880382,0.9850353110011708,0.987693288633221,0.9848625155055376
30,31,0.8219904240766074,0.9882732834806254,0.9891117612016398,0.9880402350852697
31,32,0.7742984257357974,0.9856479208369529,0.9865008119980858,0.9850616402513166
32,33,0.8585616438356164,0.9899720501586342,0.9911780589114574,0.989943325673753
33,34,0.8800548320767649,0.9911331444759206,0.9912713371713049,0.9909337924038255
34,35,0.816358024691358,0.9878371232152301,0.9896407377315531,0.987961537393689
35,36,0.8303019903912148,0.9888187965096513,0.9898574855864039,0.9886553524312727
36,37,0.9017857142857142,0.9924448473859172,0.9929604003988725,0.9924995507440406
37,38,0.9146048109965635,0.9933134373465301,0.9934231772571206,0.993189218259653
38,39,0.8622764786795049,0.9901020022667171,0.9904946230124729,0.9898755611315164
39,40,0.8449759119064006,0.9896199327515205,0.9903053573556616,0.9894393355898347
40,41,0.8708677685950413,0.9910174550400483,0.9914455980195434,0.9908598343783225
41,42,0.9002412129565817,0.992320625684815,0.9926462011405588,0.9922557459798497
42,43,0.8922413793103448,0.9918102471094989,0.992058404196724,0.9916925529785058
43,44,0.8773291925465839,0.9916965803891933,0.9920153965278435,0.9915358665900316
44,45,0.9267955801104972,0.994218561064087,0.9945350651550806,0.9942366941953796
45,46,0.7950932964754664,0.9866700676416128,0.9881140472913026,0.9864358156281647
46,47,0.9201244813278008,0.9932166880810218,0.9933536935185783,0.9931248567336437
47,48,0.8330449826989619,0.9886720078606251,0.989231351606726,0.9883702658295866
48,49,0.9305747922437673,0.9944822373393802,0.9945724438641818,0.9943785719573898
49,50,0.9132016632016631,0.9933670962621414,0.9935198748759314,0.9932934207846218
50,51,0.9107142857142857,0.9933479476906795,0.9933435903653746,0.9931891202360867
51,52,0.9366759195003469,0.9946894961635862,0.9948890179123813,0.9946584422564164
52,53,0.907638888888889,0.9924024795887512,0.9925239577069066,0.992301691238135
53,54,0.8846421125781793,0.9915800415800415,0.991854214695202,0.9914241770270845
54,55,0.8864742698191933,0.991334013759734,0.9916711935284326,0.9912730849693089
55,56,0.8768267223382046,0.9911635731297017,0.9915755044836824,0.9910659046303493
56,57,0.8861420612813371,0.9914089671858461,0.9917310258856515,0.9913285283850304
57,58,0.9315331010452961,0.9942818797020906,0.9943311189824869,0.9942126042448801
