,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,1,0.03211268023937869,0.17654821437591553,0.9640405792358825,0.17326173900644484
1,2,0.31367315117315114,0.416065768371071,0.9678584283749047,0.5159683510217594
2,3,0.1825947816272888,0.3045898264844796,0.9609509489128336,0.38178253057452327
3,4,0.21209421129228667,0.329620508934773,0.9595357014975058,0.41120377882780645
4,5,0.38386771017419846,0.47584107900585976,0.9651507396133729,0.5850201794088945
5,6,0.44933987762860883,0.531477716176452,0.9576353168483485,0.6453713718948692
6,7,0.31528179995544664,0.417465459321563,0.9656204708294351,0.526052467977911
7,8,0.48266848843080756,0.5596955077607002,0.9583404073868488,0.6699652969662115
8,9,0.4512200555448294,0.5330449608486991,0.9616817182071438,0.6498333534403296
9,10,0.5684147210835858,0.6327277434673335,0.9674258588174791,0.7391946087695916
10,11,0.46925636036892365,0.5483530778751673,0.9663977187880285,0.6653345865617679
11,12,0.5410626763701173,0.6095393864379807,0.9705084136246641,0.7234208914516782
12,13,0.567381811700753,0.6318644538749115,0.9624939006525189,0.7363463420277847
13,14,0.45178083412547526,0.5335617303441742,0.9650280143877703,0.6492914504665258
14,15,0.4260252201939787,0.5115063025740774,0.9668335568997551,0.6300510631415488
15,16,0.5068472803968749,0.5803177851035075,0.964656148630824,0.694239657024567
16,17,0.5830040846639436,0.6451491688980953,0.9695650143128425,0.752388883112753
17,18,0.6395007723842909,0.6932778416339316,0.9632436896052972,0.7854782660786366
18,19,0.5960778634344874,0.6562334217506631,0.9694853419181886,0.7610698512846854
19,20,0.6562713526039036,0.7074517803685787,0.967118905703694,0.7985345343379174
20,21,0.719545164213247,0.7611250757881972,0.9683455575449921,0.8380158689448869
21,22,0.6857843137254902,0.732527441989718,0.9675737500095122,0.8181140370558012
22,23,0.5922287912773512,0.6530044463532325,0.9676963189143308,0.7567146767829832
23,24,0.6806686176059895,0.7281879618518284,0.9679233166726294,0.8127910849501322
24,25,0.6003275547038638,0.6598517002677985,0.968722921135774,0.7642411092469563
25,26,0.6896057400915087,0.7357982896049923,0.9651670932118246,0.8169405688563063
26,27,0.6421637079402808,0.6953746747176676,0.9658956224328115,0.786912618269775
27,28,0.7159171940458151,0.7582142721794823,0.9681745603322873,0.8352999456031033
28,29,0.7377661075869446,0.7767306720565943,0.9664970522295666,0.8471632760803234
29,30,0.7499777157119087,0.7870930658547985,0.9677931036654122,0.8555639894210578
30,31,0.7535581108585521,0.7901601859571996,0.9665413018376118,0.8566338160633465
31,32,0.7372715792601396,0.776336900084642,0.9694475208849975,0.8490282411835198
32,33,0.7004932475597617,0.7450445954823387,0.9682076087890614,0.8267951775966947
33,34,0.6566827123076009,0.7078327332448993,0.969650701972682,0.8009175309804981
34,35,0.7108101683331599,0.753812188897592,0.9709053803434131,0.8341375030584115
35,36,0.7073366416069891,0.7508180359556809,0.9714590767788784,0.8336266609050544
36,37,0.6262536215734343,0.681969501718213,0.9640791774823377,0.7770603780562182
37,38,0.7574921252823013,0.7934612323280817,0.9684551467887851,0.860434146213707
38,39,0.6775886661812995,0.7255495893872395,0.965091929935105,0.811196354400963
39,40,0.7415418561112597,0.7800319650279852,0.9663528824925011,0.8488466725103468
40,41,0.7512072628935678,0.78818795168545,0.9700832862447737,0.8570288685525104
41,42,0.6779123328380386,0.7259277041454508,0.9666536075302804,0.8122960707090523
42,43,0.718632520542653,0.7604743132944178,0.9679421384632709,0.8367592887149888
43,44,0.7595025112187583,0.7951197169751721,0.9725155673471999,0.8642643156028482
44,45,0.7366970295852713,0.7757600070757101,0.967055023206802,0.8470557457298485
45,46,0.7482614122681883,0.7857296286468797,0.9642584123735147,0.8529208269185984
46,47,0.7223753622111598,0.7637095347603042,0.9708858795685432,0.8420433626539607
47,48,0.7764733854429815,0.8095645746199821,0.9725950480093943,0.8731654746875416
48,49,0.8114031177091229,0.839408011119535,0.9706496091438623,0.890548644320744
49,50,0.728381531236997,0.7686791594536196,0.9679507111561996,0.8424397536485684
50,51,0.6725862299564577,0.721331724329652,0.9678022828930263,0.8099034918728041
51,52,0.7965410908010105,0.8268098361070042,0.9694484356359383,0.8823170672421711
52,53,0.795464340382529,0.8258504346947028,0.9700947164031481,0.8816890896411469
53,54,0.780321156818452,0.8129936185000316,0.9714179758753723,0.8744392484277521
54,55,0.7877821867522702,0.8192622640078854,0.9721685821129311,0.8795169571811603
55,56,0.7545997681538508,0.7911143265135911,0.9663470622407242,0.8564039121786131
56,57,0.7997287656981497,0.829421093868473,0.9677269434679023,0.8823793308755155
57,58,0.8355589739016704,0.8599727034916784,0.9748105833330099,0.9058900380977765
58,59,0.8373214630738819,0.861427397952736,0.974042245337469,0.9060915613050983
59,60,0.8203791504414255,0.8470219514969227,0.9730937935624069,0.897058165767574
60,61,0.767902528202613,0.8022507835405925,0.972218647975267,0.8682219111439485
61,62,0.8326099881093936,0.8574506805515185,0.9707622513904958,0.9018036837551308
62,63,0.8190259962246764,0.845831332305437,0.9733505971919434,0.896462144808831
63,64,0.7895448735099141,0.8208151658767773,0.9699980057257216,0.878675320550931
64,65,0.7899430711833167,0.8211099034426975,0.9713194426053846,0.8798946598925214
65,66,0.792860752720138,0.8235658405267748,0.9672360240397819,0.8781112683245671
66,67,0.8149349684132293,0.8423352544172291,0.9675290210727558,0.8910690861461475
67,68,0.8039472901864019,0.8329678593546594,0.9724951517340167,0.888689603859276
68,69,0.8152825056114638,0.8427041203235592,0.9704517838426401,0.8922399617935265
69,70,0.8053276251635152,0.8341359218392549,0.9724935502766219,0.8889371665315118
70,71,0.7432363128242482,0.7813993023079451,0.9696064775474453,0.8521899876248135
71,72,0.7907536792032109,0.8218524463768848,0.9684441936689641,0.8769144028470808
72,73,0.7952660214957856,0.8255694170584964,0.9701858337678781,0.8815189710321572
73,74,0.8128604983052863,0.8405201289262467,0.9679164194521885,0.8892888273113602
74,75,0.7616922116342338,0.7971250347599667,0.968238467889544,0.8620557954795225
75,76,0.8221910028840722,0.8485015104976426,0.9728157250631955,0.8977901280455659
76,77,0.8230357541068907,0.8492485337243402,0.9690814178887744,0.8955758839925647
77,78,0.7817591876784016,0.814118769829733,0.9707971814436192,0.8744642095215411
78,79,0.8414544400338968,0.8649349007710783,0.9723207479780366,0.9069461747278442
79,80,0.7784558889120158,0.8113741799289588,0.971530705669348,0.8738110746104747
80,81,0.8167957657483533,0.8439854376295697,0.968409692381527,0.8919963474470702
81,82,0.7661388641094261,0.8008899338870138,0.9717840582016563,0.8671872281616712
82,83,0.8215554795640733,0.8479634920233611,0.971086671328195,0.8962750703212489
83,84,0.8237161378572067,0.849759812906896,0.969664611552697,0.8960621217013557
84,85,0.8415629599892949,0.8648677690129449,0.9748322585323801,0.9089892915906396
85,86,0.808136077078625,0.8366085989153382,0.9681976107027335,0.8871350492167039
86,87,0.8076128168909374,0.8360376475942454,0.9692398167875321,0.8876309230926421
87,88,0.8137248342106047,0.8412820318327202,0.9713986637344348,0.8926974874124887
88,89,0.8442299971748473,0.8672471554993678,0.971911676215854,0.9081673549769235
89,90,0.8442834413846427,0.8673560980543369,0.9720446045160294,0.9087462540275426
90,91,0.8099842381525926,0.8381596247692735,0.9705173408991461,0.8891872873512825
91,92,0.8665985130111524,0.8862599087196733,0.9739231430860382,0.9212717574460627
92,93,0.8257966661214293,0.8516865581066045,0.9703471373041213,0.8969035047123772
93,94,0.8445678681893884,0.8675927681901511,0.9713302527563977,0.9084534322374036
94,95,0.8394352164408821,0.8631881052924368,0.9723566861696549,0.9064493853630233
95,96,0.8099515212800762,0.8381588762595931,0.9705633865777048,0.8893615687835433
96,97,0.8298869804446427,0.8551528599605522,0.9730555373704819,0.9013361626274047
97,98,0.8520797394563083,0.8739047426382269,0.9718271100444387,0.9124874033266893
98,99,0.8262644438826346,0.8520103679352635,0.9704413428885398,0.8983175944438242
99,100,0.814513250646917,0.8419818179519276,0.9718252979975737,0.8925958806933362
100,101,0.8258614535774305,0.8517189712725065,0.9702635449718688,0.8978560664146004
101,102,0.8175044616299821,0.8445793872570713,0.9734449025604981,0.8951427246702958
102,103,0.8043397433037375,0.8333744278380497,0.9675411876478817,0.8839291819576562
103,104,0.845909307236979,0.8687172030094202,0.9683012270136925,0.9067762596081232
104,105,0.8178941654148757,0.8448738050680289,0.9718588775361752,0.8953001753722221
105,106,0.853642393955619,0.8752355120569528,0.9713285823795159,0.913332473080388
106,107,0.8243883394065591,0.8503989529855087,0.9720239658128546,0.899112351844536
107,108,0.8588511764880864,0.8796455532934586,0.9759375861197103,0.9186410038247887
108,109,0.8470394002944982,0.8696952453211937,0.9702600126775993,0.9093697596124733
109,110,0.8351380295097572,0.8594253847418405,0.9712950481468453,0.9036068200941298
110,111,0.8443277654653358,0.8672860972710488,0.9728182143093396,0.9091736920121544
111,112,0.816949278595865,0.8440918345410169,0.9722933059855906,0.8943441834693111
112,113,0.8663783486293117,0.886103242450301,0.9729102063470176,0.9208933554986889
113,114,0.790080026179568,0.8211697755295606,0.9703403920163951,0.8786708755699141
114,115,0.8623060675026404,0.8826194450767635,0.9694926217656774,0.9161316579900304
115,116,0.8562535328593104,0.8774455250211829,0.9693384507546445,0.9129217441114351
116,117,0.8586574934920045,0.8795781060299473,0.9734103178458988,0.9167610381473307
117,118,0.8545050874687611,0.875953257199226,0.9744743709577071,0.9158053096176672
118,119,0.8696651443702303,0.8888611357025421,0.9727792669605018,0.9216645086436115
119,120,0.8355709440361786,0.8599735673905071,0.9726369929778242,0.905349901414304
120,121,0.8471571383942519,0.8696881165578995,0.9740667745717736,0.9118288950133242
121,122,0.8574680154715858,0.8785839857336184,0.9739700273689931,0.9167742231848105
122,123,0.8464533837159136,0.8691883995649203,0.9724747266686775,0.9098111674573112
123,124,0.8199143086673213,0.8467020805666223,0.9744940750762823,0.8979497441862714
124,125,0.8708213695940016,0.8899277800263078,0.9716158241249842,0.9222821381385323
125,126,0.8645746548440848,0.8845730619885408,0.9707278500348471,0.917612987764041
126,127,0.8500669493416648,0.872169942576712,0.9690728196397912,0.9088340611089578
127,128,0.83863108876127,0.8625333603167173,0.9684799364307852,0.9034388883922473
128,129,0.8526847484861559,0.8744371363521376,0.9721154399313755,0.9127217293054599
129,130,0.8384068321133131,0.8623338266358036,0.9715305750770292,0.9052079214469296
130,131,0.8560875451934952,0.8773590275493941,0.9733286621127563,0.9155290872581545
131,132,0.8652097902097903,0.8851429980899856,0.9750876011261802,0.9216781024416023
132,133,0.8481713758574,0.8707024134790528,0.9705151662600507,0.9097547468705902
133,134,0.8199023925723128,0.8467143128201886,0.9696830636586049,0.8940589903886116
134,135,0.8015050515571294,0.8309351835454247,0.9690608401511249,0.8827174004046553
135,136,0.8658192720888016,0.8856653131443462,0.9761381630531247,0.922481341749877
136,137,0.8866192991592887,0.9032788544249355,0.9754882342183719,0.9319436741607293
137,138,0.8638994702696268,0.8840305625482284,0.9713556756222289,0.9175717826197021
138,139,0.8501740993705638,0.872460468058191,0.9722210969849912,0.9118772643483326
139,140,0.8807550370524686,0.8983288846158712,0.9752027894007971,0.928621039082757
140,141,0.8505267778753292,0.872612210302601,0.9708881882269551,0.9110184781268146
141,142,0.8354278273809523,0.8597353473250091,0.9735399116653309,0.903224440923394
142,143,0.8587962618491347,0.8795827745869493,0.9711715804538589,0.9150031989466648
143,144,0.8822695615940951,0.8996394458852552,0.9713955514856963,0.926841042808821
144,145,0.8426678274327724,0.865913288801174,0.9736192505658591,0.9070926726496331
145,146,0.8566692957914162,0.8777247827132068,0.974276336117286,0.9154880216386165
146,147,0.8909070615373167,0.9070146251360036,0.9758903024120533,0.934562100000347
147,148,0.8674695657350359,0.8869131210384483,0.9711705958480579,0.9194810066898748
148,149,0.835392079532094,0.8596311993927126,0.9728204722485592,0.9028625390657841
149,150,0.8434151387069889,0.8666481104264983,0.9738388030446901,0.907724252013923
150,151,0.843178401869298,0.866412358612313,0.972913970932774,0.9077480894825376
