,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,1,0.02354948805460751,0.8945099244368923,0.9384231554204933,0.8616282702330879
1,2,0.0800614544213042,0.9000289247234073,0.935695061355133,0.87142401807272
2,3,0.2995218579234973,0.9237625194345012,0.9616955852878699,0.9180813597674473
3,4,0.3707721216262385,0.9314072895574197,0.9666858250138262,0.9288832172700718
4,5,0.3570574162679426,0.9297956969806545,0.945696752099309,0.9190137639338415
5,6,0.5941880341880342,0.9545725753959644,0.9692175006457393,0.9538854251863547
6,7,0.4937585499316005,0.9442555961378513,0.9656150352598769,0.9425217421853471
7,8,0.633937735203558,0.9590626356140605,0.9679769235039929,0.9575202848124202
8,9,0.5660506502395619,0.9513399153737658,0.9614200335716656,0.9480681282290437
9,10,0.5976549127011297,0.9557142857142857,0.9642521661034901,0.9531148942911332
10,11,0.49332191780821916,0.9444102860862961,0.9641759658363703,0.9420076241744966
11,12,0.6206748886605002,0.9581976996527778,0.9695523008590312,0.9571353083706334
12,13,0.7194996572995201,0.968378124208775,0.9746716002697957,0.9678760997558797
13,14,0.6792080905039425,0.9645066194024452,0.9736213369061845,0.9641323604012135
14,15,0.6412894375857339,0.9599746789654549,0.9690013530111014,0.9588424652013581
15,16,0.7781303602058319,0.9743705686586601,0.9782231107287839,0.9740721371723419
16,17,0.8785175017158545,0.9849509821654667,0.9864732607961617,0.9848914609272192
17,18,0.7494850669412977,0.9721076622530932,0.977649700426808,0.9718354624418744
18,19,0.7068166208791209,0.9667703773380123,0.9744811125392446,0.9665824124980109
19,20,0.7905358983167297,0.9757507235890014,0.9780163253701937,0.9750917401989951
20,21,0.6897766323024055,0.9649951155975254,0.9702282256457063,0.9635310242832174
21,22,0.8669645926435201,0.9838718431145524,0.9863196850579752,0.9841135838069783
22,23,0.8951169188445668,0.986585012845099,0.987337826637179,0.9864781831861789
23,24,0.8415032679738562,0.9811025474019395,0.9842715848141546,0.9816507034211885
24,25,0.7652271163110804,0.9728514564863397,0.9803572298916098,0.9734945893940674
25,26,0.89104991394148,0.9864207136136643,0.9870399354950603,0.9862541657195962
26,27,0.9132231404958677,0.9887272464082799,0.9889925703402895,0.9885733272245042
27,28,0.8522218394764036,0.9826016936884772,0.9848955005031789,0.9826360473040353
28,29,0.8304617505168849,0.9800314863740003,0.9814307082790638,0.979561286916366
29,30,0.8904688038607377,0.9866811436844011,0.9878673336951438,0.9866969524402635
30,31,0.8868965517241378,0.985992978392269,0.987089540974538,0.9858880513663452
31,32,0.9280786478095895,0.9903811350803533,0.9907461170476067,0.9903582732153672
32,33,0.8466183574879227,0.9815036015492091,0.9833860226132423,0.9813313780470264
33,34,0.8713324128408699,0.9847969304278578,0.9860589433453892,0.9846902395281578
34,35,0.932924723756906,0.9908506787330318,0.9909708645027268,0.990709419281159
35,36,0.9031951640759931,0.9876375615406893,0.9884254652142295,0.9875571078555035
36,37,0.8869212163096061,0.9861890453607501,0.9871041043686799,0.9860409015197021
37,38,0.8367611475976495,0.9809572080225907,0.981811993533926,0.9803972207582923
38,39,0.8477697095435685,0.9822870279859527,0.9845921888483291,0.9822895337288536
39,40,0.812694569353165,0.9778874004344678,0.9825392354131881,0.9783052794049484
40,41,0.8386678200692042,0.9808827256598718,0.9827772727806936,0.9806520274435626
41,42,0.8676012461059189,0.9841226736186545,0.9851813547749468,0.9839151712605271
42,43,0.7918975069252078,0.9764909294999456,0.9794961635820413,0.9761843800665073
43,44,0.6756148250779355,0.9637076332560834,0.9708427979904098,0.9625923663621804
