,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,1,0.2092238470191226,0.9710769999231537,0.9734992625370225,0.9631409289176718
1,2,0.17257882882882883,0.969788664745437,0.9738150366428324,0.9610765522194767
2,3,0.20941375422773392,0.9709402858899477,0.9721360405378536,0.9624401239311806
3,4,0.24294582392776523,0.9716212581178189,0.972989602247791,0.9640275187370901
4,5,0.4161016949152542,0.9779993851356544,0.9796397222095212,0.9740609366837494
5,6,0.3393665158371041,0.9755197724914492,0.9773608381490916,0.9706407203875685
6,7,0.34711211778029444,0.9759415833973867,0.9773970596888514,0.9710779816818267
7,8,0.6142290249433107,0.9848764364502863,0.9882416655795937,0.9849189930323592
8,9,0.6625993189557321,0.9868072103928051,0.9871391564920298,0.9857467662934553
9,10,0.5204545454545455,0.9814640427412845,0.9828639501321338,0.9794576446595129
10,11,0.45079635949943114,0.9792339329643296,0.9807405291285578,0.9763989582638024
11,12,0.6247152619589977,0.9848645012492793,0.9854524276665678,0.9836283250751852
12,13,0.7246294184720639,0.9885926808641501,0.9890751097531512,0.9880030941106108
13,14,0.706906392694064,0.9882270403259908,0.9896667648049606,0.9880358713814299
14,15,0.5868571428571429,0.9837671074888513,0.9864702520297927,0.9832007840994089
15,16,0.7580091533180778,0.9899465610703164,0.9898125155569695,0.9892648228113043
16,17,0.7548682703321878,0.9900038446751249,0.9902685536869477,0.9895177954898102
17,18,0.7855504587155964,0.9906955284709139,0.9913951877657471,0.9905811237580702
18,19,0.8206084959816303,0.9915218394340203,0.992106122726697,0.9914626504486485
19,20,0.7494252873563217,0.9897335332795016,0.9918064389666782,0.990149401720696
20,21,0.8017836593785961,0.9911366607705915,0.9914636274827616,0.9908636511319477
21,22,0.8052995391705069,0.9914343395500865,0.9914024616949552,0.9910256368509935
22,23,0.6571510957324106,0.9868866328257191,0.9874241101886818,0.9859044381287033
23,24,0.755484988452656,0.9897992539322386,0.9908009621301338,0.9896973051315671
24,25,0.5930635838150289,0.9840493038997001,0.9855318254814441,0.9829711674744372
25,26,0.7644675925925926,0.9897984692896427,0.9896963574124819,0.9891748666436969
26,27,0.7656431054461182,0.9905769230769231,0.9915180803022324,0.9904516034007023
27,28,0.7215777262180975,0.9884803261663909,0.9900890226408094,0.988442419396136
28,29,0.7160278745644599,0.9888356796676667,0.9906156391977962,0.9888829230086621
29,30,0.7686046511627908,0.9902681078585991,0.9909842027927243,0.9900935293312996
30,31,0.7418509895227008,0.9897099553777504,0.9916696534833135,0.990022540890676
31,32,0.7942890442890443,0.9911329101750337,0.9912880360915919,0.9908027555541314
