,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,1,,0.35503661950228155,0.349791831946011,0.25962239845450624
1,2,,0.40428713858424725,0.6908050013629179,0.3236902287102993
2,3,0.9202518363064008,0.4002761053802201,0.6802190912266323,0.313851391805986
3,4,0.9201680672268907,0.389937106918239,0.6415638591145558,0.2983100233176827
4,5,0.9200841219768665,0.38251198465963565,0.6147575096181188,0.28415078969779556
5,6,0.92,0.4064201886937179,0.6876394563562578,0.33005849033788937
6,7,,0.391132589268592,0.6655328426200752,0.29982129310510924
7,8,0.919831223628692,0.398204970849954,0.6789187006229357,0.31057002057231714
8,9,0.9376979936642027,0.3914694488128572,0.6482036253484279,0.29389473331621224
9,10,,0.38672803989259685,0.6349243286339095,0.29257104697119235
10,11,,0.3893129770992366,0.6886417899761633,0.29511655006423293
11,12,0.926906779661017,0.39715359828141783,0.676150712148586,0.3082247835726096
12,13,,0.3836651705221161,0.6319233720228148,0.28869752373268387
13,14,,0.3837949819688483,0.6785347143098138,0.2853212517671143
14,15,0.9192348565356004,0.3940149625935162,0.6756825181206508,0.3045546623382845
15,16,0.9223404255319149,0.3969459791282996,0.6713317504084403,0.3076644237668493
16,17,0.9531416400425985,0.4127690595863868,0.7191342750318025,0.33767279096029
17,18,0.9253731343283582,0.3839689970071368,0.6361890549672016,0.2877227387893475
18,19,0.9263607257203842,0.38866505506312116,0.645825495884069,0.2945906674960502
19,20,0.9519230769230769,0.3896392939370683,0.6820530498083685,0.29373975063550806
20,21,0.9561497326203209,0.38209447791549944,0.6705542651247087,0.28446999610024326
21,22,0.9325481798715204,0.39193337938445005,0.6612784347368583,0.2976636297397805
22,23,,0.3880339256245922,0.6534097339002685,0.2907160240476523
23,24,0.9259656652360515,0.3905434448879337,0.6627906561004383,0.30000802424413736
24,25,0.9548872180451128,0.38714258299750526,0.6754420948014811,0.2924664352116512
25,26,0.9505376344086022,0.4110309357488294,0.7076786039906731,0.3313175471624879
26,27,0.9386437029063509,0.3981499251525736,0.6977407856624511,0.31311856349996325
27,28,0.9321120689655172,0.3875710118225088,0.6484069560224208,0.2915166546438601
28,29,0.9590075512405609,0.38259567770910907,0.667168451474231,0.2827307415826321
29,30,0.9254859611231101,0.4089827255278311,0.6941074673265196,0.3352026030889076
30,31,0.9654054054054054,0.38753886905447427,0.7042482004244346,0.2982899861957279
31,32,0.9642857142857143,0.39204545454545453,0.7011494750858283,0.3004101495606185
32,33,0.9252437703141928,0.3846508235113449,0.6444614615724289,0.28884802907949386
33,34,0.9490238611713666,0.3849343469246717,0.6623805025176833,0.28548302058803543
34,35,0.9391965255157437,0.40284123632175084,0.7028058645299986,0.3218818124552255
35,36,,0.3902242359084626,0.6594419133897852,0.3031919687425088
36,37,0.9619151251360174,0.39000883154782473,0.696093655326796,0.2980112142651388
37,38,0.9379084967320261,0.38664465094846784,0.6418777020902805,0.28688678331611706
38,39,0.920392584514722,0.387081909296878,0.6273934560070124,0.2910067425205343
39,40,0.9508733624454149,0.38870967741935486,0.6757718084566259,0.29189970140503924
40,41,0.9606557377049181,0.41322631437459195,0.7088516294753325,0.33691674699902424
41,42,0.9617067833698031,0.39753437283969584,0.7084038531482,0.31031899225695864
42,43,0.9649507119386638,0.3879479202673119,0.685888620116805,0.2900614886843733
43,44,,0.3845444768781687,0.6466602954497028,0.28923551998828817
44,45,0.9527991218441273,0.38893796811983866,0.6741011813387285,0.29087501268065696
45,46,,0.3890297303526158,0.6851744426705542,0.29021244414108965
46,47,0.9636963696369637,0.38942880190527407,0.6898891330160922,0.2923449326990824
47,48,0.9559471365638766,0.38736939151813155,0.67976350504979,0.2906362894078362
48,49,0.9404630650496141,0.38703853098229035,0.6514602478266532,0.2879563283366386
49,50,0.9591611479028698,0.38574721475220897,0.677594641279794,0.28742314340192504
50,51,,0.41953206039417573,0.7162315815839145,0.3448731379541257
51,52,0.9601769911504425,0.4032580298140464,0.7190163987026403,0.32329903114937336
52,53,0.9601328903654485,0.39001805817036156,0.6852838797557622,0.2958045998984756
53,54,0.9490022172949002,0.39133942980096825,0.692539356148587,0.3006904187773085
54,55,0.9655937846836848,0.38505283381364075,0.6860445441924337,0.28698194007705047
55,56,0.9633333333333334,0.38925607131878265,0.6906073928934598,0.29413736558337006
56,57,0.9521690767519466,0.39053913845444416,0.6952803325498316,0.29974017654944063
