,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,1,0.0,0.34661086085198456,0.6320760410761911,0.24431301162142638
1,2,0.0,0.3375425652667423,0.6186449241306959,0.22949591853813148
2,3,0.0,0.3400730729665496,0.6256578709080154,0.23651731758966862
3,4,0.0,0.3517914153955303,0.6188828759992385,0.2578951274927029
4,5,0.0,0.33633686899145054,0.623953798429802,0.22693973329122946
5,6,0.0,0.3380161770966369,0.6277800014522097,0.23471716286346475
6,7,0.0,0.35044524071380423,0.6287961782629713,0.25513469092230534
7,8,0.0,0.3341375150784077,0.6202053738141811,0.22310887655520217
8,9,0.0,0.3343622494234522,0.6203166385475151,0.2211344662743521
9,10,0.0,0.33079051944365595,0.615887772888249,0.2183022635493125
10,11,0.0,0.3333569882553312,0.61508700822434,0.22185720381797155
11,12,0.0,0.3386558796394862,0.6314340312572776,0.23341525389177792
12,13,0.0,0.333096767325503,0.6188080979062353,0.2205580279280311
13,14,0.0,0.3320085166784954,0.6222688040566482,0.21914456149253317
14,15,0.0,0.33191383654494483,0.6197598624193553,0.21794410125754662
15,16,0.0,0.32944140819078715,0.6210807666827249,0.21521466531333616
16,17,0.0,0.32892075096710083,0.6192643414769465,0.21635251884869652
17,18,0.0,0.3376632595116411,0.6132741560986409,0.22649366095562337
18,19,0.0,0.361206743566992,0.6232658517388818,0.2700530158701503
19,20,0.0,0.3344218073401008,0.6251174351894395,0.22106446105035424
20,21,0.0,0.3342207077698506,0.6200741174671629,0.22194453377833095
21,22,0.0,0.33093142126934544,0.6169567243692344,0.21857446624393367
22,23,0.0,0.3334634908238969,0.6181988765021164,0.217081557645257
23,24,0.0,0.33070642527511535,0.6154588647852177,0.21472344822406036
24,25,0.0,0.34030317015158507,0.6257822123046278,0.23145754006127384
25,26,0.0,0.3289903436523715,0.6143703860892114,0.21257381775520467
26,27,0.0,0.3333333333333333,0.6155874297317508,0.2221171685646511
27,28,0.0,0.33082439821060855,0.6189092449235342,0.21986339294585686
28,29,0.0,0.34404402627374403,0.6387645020379475,0.2478031923124286
29,30,0.0,0.3387658003124556,0.6311841288543212,0.23523633950229622
30,31,0.0,0.32809004722508256,0.6249867158991128,0.21918948864356913
31,32,0.0,0.33069384276684893,0.6182325269199619,0.21734057443146995
32,33,0.0,0.34952594012996696,0.624229525648715,0.24508416078943238
33,34,0.0,0.34158380681818185,0.6359635139419622,0.23813968946349584
34,35,0.0,0.3319720160517064,0.6225995064390769,0.2178623386579128
35,36,0.0,0.3623836920235812,0.6282812578968883,0.2715324869026909
36,37,0.0,0.3349433533401996,0.6161059441315458,0.21932247000099106
37,38,0.0,0.3564781929251314,0.6387017604807841,0.2627037719086386
38,39,0.0,0.3340081690641094,0.6321227899656207,0.22476131889725215
39,40,0.0,0.3437167010016339,0.6240529982592495,0.2419096029520253
40,41,0.0,0.33808119916172347,0.6266698602114221,0.2290018839570856
41,42,0.0,0.3351804489911907,0.6259531416544271,0.22303422494338027
42,43,0.0,0.33238606088593653,0.6188835436988567,0.2195444538153106
43,44,0.0,0.33904085257548844,0.6333153370630272,0.2322329917996924
44,45,0.0,0.34750790436605206,0.6200480928499325,0.25031280238558473
45,46,0.0,0.33597413670598264,0.6171826105800846,0.22270312958192617
46,47,0.0,0.33541762887696736,0.6299518185893176,0.22179725020361352
47,48,0.0,0.34214453208271156,0.6278457514150345,0.2388789490372133
48,49,0.0,0.3392432048321194,0.6306564380863695,0.23160064475400638
49,50,0.0,0.3386512222853894,0.6158553795367537,0.22742891868528914
50,51,0.0,0.3520946594179725,0.6366522062802684,0.2611182864401398
51,52,0.0,0.3306445881600455,0.6140821952810269,0.21757643546092154
52,53,0.0,0.3427028179524537,0.6311404120549188,0.2419005041511171
53,54,0.0,0.3568230277185501,0.6361473929879725,0.26705246603104815
54,55,0.0,0.33085752869682644,0.6218981199525723,0.21789935290255485
55,56,0.0,0.33403226952875115,0.627046231329595,0.2251880905181116
56,57,0.0,0.3308455059174752,0.6212656311343148,0.218384809471203
57,58,0.0,0.34674438441853855,0.637997327575414,0.24744415182169738
58,59,0.0,0.33652034832059713,0.6313826509189557,0.2266639174658727
59,60,0.0,0.3366033980237435,0.615429329364571,0.22282242535068758
60,61,0.0,0.33153236412753706,0.618109641633087,0.21948377533654723
61,62,0.0,0.3315796957201763,0.6099079264660608,0.2177164778715662
62,63,0.0,0.34200703849845365,0.6218709489786023,0.23737125980764973
63,64,0.0,0.3375044436544614,0.6256874298179128,0.2292959478217542
64,65,0.0,0.3347435031462192,0.6154125270680868,0.21828636285755545
65,66,0.0,0.332231228668942,0.6214046640454961,0.21807139766704983
66,67,0.0,0.33725601734987737,0.6286355870692846,0.2320875692977385
67,68,0.0,0.33051269288203083,0.6271957225827542,0.21801875289435102
68,69,0.0,0.35541333333333336,0.6284537736614787,0.2634761296018174
69,70,0.0,0.34835016356137105,0.6290387022553569,0.2513900095874663
70,71,0.0,0.3493581765814458,0.629964243323193,0.2518515537655122
71,72,0.0,0.3546333831164213,0.6240490492933439,0.2591307596700571
72,73,0.0,0.3404573094840155,0.6309711848608841,0.23808446289171525
73,74,0.0,0.33381934566145094,0.6153245347740793,0.21657340440018621
74,75,0.0,0.33945019381912583,0.6261546705088175,0.23267951731979467
75,76,0.0,0.33547905256419375,0.6284043912293981,0.22699851213990596
76,77,0.0,0.3369491766546929,0.6300111154969228,0.22612877652398825
77,78,0.0,0.343576611182245,0.6303432145936071,0.24115712636413275
78,79,0.0,0.3452605370798506,0.6312954837228406,0.24431082723075537
79,80,0.0,0.3332859073771075,0.6207833136352829,0.21431344184493334
80,81,0.0,0.36381745100131613,0.6360138858627195,0.2715246342777074
81,82,0.0,0.3396058622652248,0.6274264642679436,0.23215357925944816
82,83,0.0,0.33865746504926897,0.6306703670805097,0.22991370457960764
83,84,0.0,0.34023479188900746,0.624476164429422,0.23401208672799093
84,85,0.0,0.33437688996406845,0.6270224058237068,0.2277848737117247
85,86,0.0,0.34794364593709975,0.6283909327017929,0.24530012637224705
86,87,0.0,0.33201693528302556,0.6150709782198683,0.2177990022291651
87,88,0.0,0.3368675727602647,0.6252731871590126,0.22805402763949828
88,89,0.0,0.3407578722647216,0.6240968364140048,0.23337310852091783
89,90,0.0,0.3381369200113863,0.6193159825023606,0.22640767659054944
90,91,0.0,0.33135252464149734,0.6214609371177042,0.22280053007328668
91,92,0.0,0.3359547363176998,0.621028924475336,0.22232035628244703
92,93,0.0,0.3320522401338031,0.612129552175786,0.21564272868133277
93,94,0.0,0.33444839857651243,0.6179845555669524,0.21875961884417436
94,95,0.0,0.3329655859639133,0.62038448479041,0.22021058018644757
95,96,0.0,0.33571784468645455,0.6290917127644305,0.2319380604444581
96,97,0.0,0.3346620635655052,0.6202569391732354,0.22231429458215074
97,98,0.0,0.35788012528473806,0.6291572398440249,0.26341175057363936
98,99,0.0,0.33525538352019935,0.6177743181558508,0.22286570309353204
99,100,0.0,0.33437744714173845,0.6192642339624091,0.22191047348057505
100,101,0.0,0.3305805716726587,0.6202517102295766,0.21704506260925735
101,102,0.0,0.3330129574256016,0.62377782954399,0.22087290176190588
102,103,0.0,0.35716065643800504,0.6335185855108735,0.2639821134914127
103,104,0.0,0.33503025987896046,0.6219905737107642,0.22459923111205377
104,105,0.0,0.3693260707038342,0.6281626320061106,0.28528317108498874
105,106,0.0,0.3395756194816292,0.6279962576857291,0.23457728216070625
106,107,0.0,0.3349948374692918,0.6238403489241757,0.2229540121650851
107,108,0.0,0.33069856868190556,0.620751178649602,0.2181058592027843
108,109,0.0,0.33412853836567563,0.6262042437944452,0.22482063382391063
109,110,0.0,0.34831220623842757,0.6236805564314405,0.24853704577021296
110,111,0.0,0.3356835095965531,0.6259639081903614,0.22257362245249268
111,112,0.0,0.3369062032618759,0.6334868321639291,0.23118025670571493
112,113,0.0,0.3325380150279548,0.6117904300612701,0.21781799117442724
113,114,0.0,0.34234330484330483,0.6266645960195404,0.23030633381824608
114,115,0.0,0.3502973752626518,0.6282677385239297,0.24945607188708657
115,116,0.0,0.3459291972362704,0.6308391036884057,0.2420976710481733
116,117,0.0,0.35808669017345157,0.6306287917403038,0.2655884795769655
117,118,0.0,0.33494799829035476,0.6195923473071282,0.2190503930402812
118,119,0.0,0.351273374888691,0.6282710325349462,0.25284757220117526
119,120,0.0,0.3594429009047517,0.628333007125302,0.27092942642899787
120,121,0.0,0.33231218608627505,0.6246618969582294,0.22231242627042425
121,122,0.0,0.33456825306355087,0.6220932742049314,0.22236231906625645
122,123,0.0,0.33119589612055145,0.6221390831370546,0.21866602480938424
123,124,0.0,0.33295333095831847,0.6329382489763401,0.23137002551768968
124,125,0.0,0.339912358830026,0.6254718902949068,0.2358610186624093
125,126,0.0,0.34733504346586863,0.6345074800110957,0.2505571314596491
126,127,0.0,0.34132611251647843,0.6279202643104493,0.23528315502510602
127,128,0.0,0.34351172236870237,0.6289578049051616,0.23728469493062776
128,129,0.0,0.34990201318368075,0.6343466740982232,0.2534147706855573
129,130,0.0,0.32867730900798175,0.6314583560577108,0.2170226244003589
130,131,0.0,0.33431921034814527,0.6250719170322456,0.22113986575521877
131,132,0.0,0.3338678640153945,0.6217594379039234,0.22089737009099958
132,133,0.0,0.33291757243148856,0.6211555030207401,0.217233330331933
133,134,0.0,0.3320384889522452,0.6285392120791458,0.2206856770621691
134,135,0.0,0.3555721871770198,0.6274499980401429,0.26146811895961575
135,136,0.0,0.33641029296457337,0.627417674488001,0.22667577108161818
136,137,0.0,0.3340342873436219,0.6283445387713448,0.22006490052750322
137,138,0.0,0.34074707727402337,0.6271055155638512,0.2348518905137176
138,139,0.0,0.3371947959365532,0.6234457522491156,0.22599533688339843
139,140,0.0,0.33652955015327585,0.6267791973486523,0.22756669990335326
140,141,0.0,0.3307311161016647,0.6182684560132649,0.21777375444575722
141,142,0.0,0.33120633109938685,0.6240185559148518,0.21585097827996177
142,143,0.0,0.3601297636447898,0.6330823189618388,0.2676432316502775
143,144,0.0,0.3315508021390374,0.6232266638437991,0.21978499813862876
144,145,0.0,0.3299582872829691,0.6206838803757551,0.2173533070518262
145,146,0.0,0.3354249857387336,0.6169151642423791,0.22020231216011313
146,147,0.0,0.33383249545405924,0.6369846363321723,0.22550987270952425
147,148,0.0,0.33776652642088,0.6215962350738072,0.22511105036200063
148,149,0.0,0.3370297735781779,0.6253532503663461,0.22662483820478185
149,150,0.0,0.33554414491513335,0.621672273720254,0.22228872198532001
150,151,0.0,0.3289947580501373,0.6190439701262329,0.21261543582926307
151,152,0.0,0.3316453890592682,0.6189999682236902,0.21848935376988005
152,153,0.0,0.3291965336471595,0.6209578926632037,0.2189717768519479
153,154,0.0,0.3333808844507846,0.6107605920278831,0.21768036670539676
154,155,0.0,0.3364955954206641,0.6217808059285774,0.224151807550949
155,156,0.0,0.3430344532420287,0.6203977138422002,0.2326104685859953
156,157,0.0,0.36098726682598,0.6255080958549275,0.26866328821120217
157,158,0.0,0.33032529604793837,0.6174397658756098,0.2169367161626688
158,159,0.0,0.34802924915284467,0.6281623233362084,0.24908684689523355
159,160,0.0,0.33773275308553896,0.6335797567584073,0.23212066774576604
160,161,0.0,0.3379945064745122,0.6264359042594719,0.22568556029554393
161,162,0.0,0.3398259132420091,0.6287195211300343,0.23323584580872314
162,163,0.0,0.3424779708180229,0.631359864107552,0.2391763246359294
163,164,0.0,0.3333927934356047,0.6222136208588366,0.22603647436021412
164,165,0.0,0.33304791465981665,0.6254986475288156,0.22306677474360026
165,166,0.0,0.3462252033680605,0.6212413625793651,0.24589371019999412
166,167,0.0,0.3303600099903664,0.6201040265203078,0.21668843588110673
167,168,0.0,0.33051452222935845,0.623385470115999,0.21895031301007803
168,169,0.0,0.33330954504906335,0.6225260985319938,0.22161123225897086
169,170,0.0,0.33114473308592635,0.6188960669734535,0.21811899868626292
170,171,0.0,0.3350105270670521,0.6279155349588206,0.22156616039403243
171,172,0.0,0.34469345514238814,0.6304019403192929,0.2404410809545301
172,173,0.0,0.335248563577317,0.6208105759354579,0.22270925685094578
173,174,0.0,0.3550321199143469,0.6351307168361876,0.26110629212215297
174,175,0.0,0.33662871622827367,0.6256712759483122,0.22573710892643994
175,176,0.0,0.3333214362195731,0.612595962072861,0.21931522303548762
176,177,0.0,0.3505371738587286,0.6244232006472653,0.2470352903007001
177,178,0.0,0.3337021701884637,0.6264583345864156,0.2241470878677487
178,179,0.0,0.3407103337497769,0.6302597161194037,0.23546103714807695
179,180,0.0,0.33308345827086455,0.6216029633860428,0.21882065918312277
180,181,0.0,0.35583479098989756,0.6368003940652258,0.26587268813471776
181,182,0.0,0.3484935027845209,0.6316275078869413,0.2513125088620462
182,183,0.0,0.3574667095069794,0.6256234899947117,0.26325356559518875
183,184,0.0,0.3397715101749375,0.6299308830162716,0.23227372434465715
184,185,0.0,0.34881645185476096,0.6338564900697273,0.25033593793478054
185,186,0.0,0.33026278206226795,0.6282365275873462,0.21660456343413856
186,187,0.0,0.33620166386974687,0.6329782000357581,0.22519600737402412
187,188,0.0,0.34121259730057846,0.6270898363020274,0.22900004069643598
188,189,0.0,0.3327977146938047,0.6218234636482239,0.21897397547398872
189,190,0.0,0.3365947721754035,0.6331342207599993,0.22893778982558935
190,191,0.0,0.34003499625040173,0.6209835126034278,0.22903932338359986
191,192,0.0,0.3565102492679094,0.625969644141921,0.2621607234548154
192,193,0.0,0.3574515195885861,0.6309331027957841,0.25876390121993587
193,194,0.0,0.33589285714285716,0.6271007090345526,0.2209328958142479
194,195,0.0,0.3333690488946034,0.6175382931549552,0.22032116035509633
195,196,0.0,0.33484534609614974,0.6319632840063145,0.22305416585674534
196,197,0.0,0.3570739722113084,0.6337780027445401,0.2619229615923414
197,198,0.0,0.3385840834404915,0.6351847484426258,0.23540561499132143
198,199,0.0,0.33466690480442934,0.6251853431149638,0.21826885774307192
