,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,1,0.0,0.039993137170798665,0.24072108894625413,0.025335764901157912
1,2,0.0,0.03836387344725825,0.23700973384496996,0.02199769863414831
2,3,0.0,0.03623698162414426,0.237874463864833,0.021980710978832804
3,4,0.0,0.036100339727531655,0.2405417877679328,0.02149953426773308
4,5,0.0,0.035774952385854736,0.2407292609175395,0.02311448511639917
5,6,0.0,0.03963623884694578,0.24058728914047373,0.02795456922777686
6,7,0.0,0.03742342867928413,0.24201019077211894,0.021467996682148115
7,8,0.0,0.03680634201585504,0.234611395419461,0.022491559578638028
8,9,0.0,0.03735607529557115,0.239672165076267,0.023457776947567757
9,10,0.0,0.036481570457821404,0.23821654276797097,0.020986602956135764
10,11,0.0,0.03447447447447447,0.238131072722225,0.02037285682544308
11,12,0.0,0.03476679136493119,0.23947507634204807,0.021438624858048937
12,13,0.0,0.040928045578569834,0.24235611648421787,0.03509386310481823
13,14,0.0,0.037959912136188906,0.23744536798032004,0.022934606047414513
14,15,0.0,0.036124315697345165,0.23434486448120567,0.021218893507048604
15,16,0.0,0.03561009095589497,0.24202779508177064,0.02142432920008791
16,17,0.0,0.04451766805677118,0.23792488221184488,0.02406213609046604
17,18,0.0,0.03624631015308574,0.23801888035748384,0.023277590069978156
18,19,0.0,0.04048603840939125,0.24090421131358186,0.029714116689928575
19,20,0.0,0.04031510658016682,0.2402748409859515,0.029671936462715306
20,21,0.0,0.03690036900369004,0.242044780672773,0.022516779389310973
21,22,0.0,0.03789647123438144,0.23759852175840435,0.02266439602471552
22,23,0.0,0.034842009508607524,0.24030809135489173,0.024187527902993267
23,24,0.0,0.036061240602794274,0.23903811564066668,0.022342851053046734
24,25,0.0,0.0428073668491787,0.2365436623749793,0.03565809316124025
25,26,0.0,0.04766563680054926,0.23592155772925555,0.03880312553726683
26,27,0.0,0.03741911121028511,0.23868904850141054,0.022634036457756197
27,28,0.0,0.037591403755707374,0.24010512549513724,0.022420562847784764
28,29,0.0,0.03899960519765865,0.24046279070636745,0.027175374641752077
29,30,0.0,0.03609928591046416,0.2350028340504047,0.02168135707977316
30,31,0.0,0.03642605784911167,0.24195853843022969,0.022176947657942855
31,32,0.0,0.051532941943900845,0.2431021257085913,0.0483584729316263
32,33,0.0,0.038452955212607075,0.23853872696154668,0.02307790898240897
33,34,0.0,0.03702877154432466,0.23914293648095644,0.022340694789698377
34,35,0.0,0.036840569260613555,0.23296066091883794,0.022324932080755453
35,36,0.0,0.03481545064377682,0.23996786011407864,0.021454632212866052
36,37,0.0,0.04367456952050679,0.24162374382854845,0.03531954768782261
37,38,0.0,0.03545186100810328,0.23803913433045565,0.02210475554642612
38,39,0.0,0.037564166394835785,0.24075926829689384,0.024107859798390363
39,40,0.0,0.03710126017237235,0.23652822378713048,0.02321514984572511
