,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,1,0.0,0.35129017655047534,0.6714828088288558,0.24423268222292413
1,2,0.0,0.35794318481910437,0.6757117627762032,0.25327626313578
2,3,0.0,0.3581453255866596,0.6761281468779521,0.25575952006527697
3,4,0.0,0.35072627806074325,0.6783771867812096,0.24405355673390028
4,5,0.0,0.3637186839722306,0.6833624547793662,0.26968673412157085
5,6,0.0,0.3547522921933366,0.6790073572541507,0.2512037309973363
6,7,0.0,0.35495434306844764,0.6795542908609544,0.24990977727343944
7,8,0.0,0.35719406814837174,0.6743140045633876,0.25252216615357104
8,9,0.0,0.3642641509433962,0.6776900125451438,0.2660314972608939
9,10,0.0,0.3545416808181441,0.6749676221532738,0.2462769462050777
10,11,0.0,0.3497245075100008,0.672373594627532,0.24314859109813827
11,12,0.0,0.35796505264746953,0.6822993146521293,0.25811835779317965
12,13,0.0,0.3569217995169082,0.682175134713408,0.25521492516598354
13,14,0.0,0.36418192111719194,0.6842665085687762,0.2690561641455902
14,15,0.0,0.35321204801087036,0.6762838544946801,0.25045260320028195
15,16,0.0,0.36541728003623597,0.6844287126644865,0.268434749493464
16,17,0.0,0.3522950324626302,0.6811670619994195,0.245139801251548
17,18,0.0,0.3559322033898305,0.6713154794146914,0.24914111787340187
18,19,0.0,0.35730464326160816,0.674413462431524,0.2537314889159977
19,20,0.0,0.3593189625882442,0.6737199095268658,0.25473980973997534
20,21,0.0,0.3617487163998792,0.6787679626859279,0.26286038131914286
21,22,0.0,0.35039830860422094,0.6695913065033561,0.24369289097872765
22,23,0.0,0.3601147776183644,0.6708795183782587,0.2549828962946186
23,24,0.0,0.37062488200868415,0.6846177656250287,0.2859611914544332
24,25,0.0,0.3512309318834013,0.6698420745130933,0.2442531227767391
25,26,0.0,0.3533587584488162,0.6711028330206329,0.24663886771231988
26,27,0.0,0.36685295672532287,0.6809306149283527,0.27515062386394423
27,28,0.0,0.3689437710056267,0.6849956760687266,0.27454416340771026
28,29,0.0,0.3543429003021148,0.6749706645861919,0.25301463970995963
29,30,0.0,0.3567732920427509,0.6677389650374369,0.25332634959306743
30,31,0.0,0.36528438703829597,0.6861289265324266,0.26954006375935885
31,32,0.0,0.3564225554254636,0.6799635365099849,0.2544149125127513
32,33,0.0,0.3547363650098202,0.66566565967663,0.24768322811421786
33,34,0.0,0.37552407932011334,0.6629632033805914,0.2869982301480591
34,35,0.0,0.3713454710281786,0.6818004393924523,0.2742625759451837
35,36,0.0,0.35303894534053565,0.6728503262017441,0.24619253520068235
36,37,0.0,0.3675581746751284,0.6797747650508105,0.27088416671948695
37,38,0.0,0.3633032375051944,0.6840348157994757,0.26752330475559005
38,39,0.0,0.36157914620324894,0.6748374591344953,0.2579310823889323
39,40,0.0,0.35218557557897917,0.684421624253246,0.25159896140849586
40,41,0.0,0.3552213994257216,0.6722780301486317,0.25021388852969906
41,42,0.0,0.3797181395700306,0.6808845086164995,0.29227445554419673
42,43,0.0,0.3557016549535253,0.6820979589402589,0.2597355506655613
43,44,0.0,0.38462119780842624,0.6657055640029725,0.306612697415083
44,45,0.0,0.3577690447400242,0.6916385398379424,0.2579482046196926
45,46,0.0,0.3564221743566489,0.6776610457680774,0.2491308964459445
46,47,0.0,0.3646360819288036,0.6807682859371724,0.2692804693132083
47,48,0.0,0.35074260232039606,0.671675474591869,0.24328576016763906
48,49,0.0,0.37105064247921393,0.6812353807184612,0.2765585290412258
49,50,0.0,0.36600022676593974,0.6934386865361332,0.2745434934257495
50,51,0.0,0.3699070224506765,0.6813364495262862,0.2741813207893781
51,52,0.0,0.35952677930226407,0.6726072968095766,0.2583413856920845
52,53,0.0,0.36434079225884486,0.6825476086620282,0.2656491955282105
53,54,0.0,0.3518049518049518,0.663944995200452,0.24527841723331142
54,55,0.0,0.3534437136160883,0.6774972604326859,0.24786362109849033
55,56,0.0,0.37923864968056553,0.6884688687487118,0.2997185332847484
56,57,0.0,0.3534326326931801,0.6733944139895196,0.24428092576444616
57,58,0.0,0.35163131828664324,0.6777406105653262,0.24545764205649714
58,59,0.0,0.3654820415879017,0.6814292597203258,0.2660366697325433
59,60,0.0,0.3478770463911679,0.6735450264802937,0.2402489495910645
