,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,1,0.0,0.11367884022831742,0.025210734833159693,0.039268745516472886
1,2,0.005464805464805465,0.11923674340485181,0.8778389710374562,0.05146515482811489
2,3,0.0,0.11358068345414593,0.024892215881701363,0.03882125012767048
3,4,0.018488817606700524,0.12936793584643555,0.8756823588223064,0.06997923297519876
4,5,0.004336397522907169,0.11687967266114367,0.8752909247158566,0.04606021369920313
5,6,0.0028662231198764406,0.11633810287561724,0.6132051894138982,0.04641825544415081
6,7,0.0003415757035716938,0.11325806370134626,0.7489490045082214,0.03887671087706573
7,8,0.01658894466391422,0.1284904206817292,0.8378413354143608,0.0670951524433078
8,9,0.0009356481962781994,0.11451124021217479,0.8774938177794694,0.04336186716405598
9,10,0.007232816491415672,0.11980449361573145,0.8752586849386054,0.05081327833280875
10,11,0.012728163847262034,0.12456743034681352,0.8747895439680596,0.05938381398487559
11,12,0.07207782563493242,0.17572022178157798,0.8756396957116191,0.1539853130424876
12,13,0.009490709798155327,0.12218348994644841,0.8137686837841638,0.05664189383712205
13,14,0.0003119058935361217,0.11454373223871171,0.8365675211248003,0.039561168012588646
14,15,0.01204568746565271,0.1256978300957385,0.8233618071350072,0.06330473040493725
15,16,0.011585420194278585,0.12319856516741819,0.8733370982133277,0.05557597257996105
16,17,0.013293724470850353,0.12488000808366594,0.8172014982751704,0.05917028006709053
17,18,0.0016933040223397302,0.11496633868461936,0.8333992511152724,0.04205517591061018
18,19,0.003401512113245102,0.1178603006189213,0.6997045638283501,0.04593462413402385
19,20,0.0030896289474466,0.11625762609102047,0.8595171269408595,0.04399869993633698
20,21,0.030079767086050414,0.14015763945028295,0.8539960687866012,0.09016308898966356
21,22,0.007040998217468806,0.12074475475892733,0.8707202593188458,0.05204810427950583
22,23,0.0032086038117024912,0.11651466538665589,0.8719969837855931,0.044521110940679606
23,24,0.01617695118690395,0.1285669171982568,0.8381071019181331,0.06822972343390635
24,25,0.02284712628310828,0.1331918548835329,0.8407229633853844,0.07595156523580392
25,26,0.167731297165607,0.25658451549334915,0.8710443479616812,0.2821230035915511
26,27,0.04248681571715071,0.14853086076652938,0.8576814916062199,0.10728794589838939
27,28,0.05098493626882966,0.1563017142279658,0.8605827995887723,0.11870151319128237
28,29,0.0033871614695526867,0.11704143506821627,0.8526464117937184,0.04257215795264323
29,30,0.002050154504397433,0.11522379009335641,0.8689199443272483,0.042034133250607515
30,31,0.08977730237256912,0.1913135753808838,0.8701290651106754,0.18184627910922332
31,32,0.026043678502451345,0.13600818626274366,0.8756691694605846,0.08232987268321654
32,33,0.11823084580071015,0.21422254788013542,0.8739245572340505,0.21902639411109695
33,34,0.003506269685624294,0.11755416587707662,0.722665422711884,0.046089656681994565
34,35,0.003521179074984771,0.11699977259519417,0.8579934044731798,0.04503252910824814
35,36,0.04601372834516982,0.15346228190971914,0.8746785455471269,0.11409088856797192
36,37,0.0023178069979942055,0.11500656963816454,0.8659022214315937,0.04350236060899614
37,38,0.008112445025555687,0.12011219062298645,0.8027971784530197,0.052394491521190745
