,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,1,0.0,0.33330970942593907,0.6243492261994602,0.22386540681228131
1,2,0.0,0.3386725256033169,0.6158284619207867,0.2254976447109887
2,3,0.0,0.3326600042526047,0.6131888300153613,0.22100646204653193
3,4,0.0,0.33008470071233653,0.6177312133792756,0.21272784877156084
4,5,0.0,0.3304153671675645,0.622417297173855,0.22082547978553047
5,6,0.0,0.33499911394648235,0.6295329110112124,0.22868421295165522
6,7,0.0,0.33263627986106187,0.6181043798674647,0.22124830045747254
7,8,0.0,0.33608620139651935,0.6179990415512778,0.22658522397217434
8,9,0.0,0.32957606692187724,0.6234822995505029,0.21799348949304737
9,10,0.0,0.3277799439934777,0.6277010268041558,0.21464924536180194
10,11,0.0,0.3448422545196739,0.6207763842047255,0.23999026746947533
11,12,0.0,0.3316671984118544,0.6236806900116602,0.22265602358386294
12,13,0.0,0.33798922291548494,0.6229153620251694,0.2310319085041801
13,14,0.0,0.36859644769028965,0.6176639920085414,0.28756331884145525
14,15,0.0,0.33468056441891797,0.6233694949907811,0.22420346897815716
15,16,0.0,0.3464988477220351,0.6214350070580935,0.24247558508284084
16,17,0.0,0.34590838178981703,0.6254860756132843,0.24808264801571436
17,18,0.0,0.34528241676417404,0.6225303385361896,0.25006091141412884
18,19,0.0,0.3311112687043472,0.6192878582841032,0.21908202831080079
19,20,0.0,0.3458388000425517,0.6241630294027816,0.2383199330478265
20,21,0.0,0.34308510638297873,0.6203274418474675,0.24241618571131962
21,22,0.0,0.3357920493634526,0.6239758516748319,0.22629811618169107
22,23,0.0,0.3360522022838499,0.6187549414883818,0.2228257152010378
23,24,0.0,0.3288293080824201,0.6210036016575019,0.21706706734311904
24,25,0.0,0.3314299900695134,0.631943066663524,0.2192933763280538
25,26,0.0,0.3521191700656145,0.6277961988576418,0.2523587017863079
26,27,0.0,0.33294317939987234,0.6204223851637688,0.21828234485293493
27,28,0.0,0.3424963643457596,0.6350300477687675,0.24279446711468114
28,29,0.0,0.32899404086265605,0.6124146729458876,0.2175457472197526
29,30,0.0,0.3537299138022773,0.6300512066705019,0.26022249325868346
30,31,0.0,0.3350478893224548,0.6201905802282802,0.22209006614647384
31,32,0.0,0.35112987335485474,0.6259586517314708,0.25207671067352483
32,33,0.0,0.32989215268908756,0.6084275735036698,0.2144538318160512
33,34,0.0,0.34164685848085996,0.6247073314712714,0.23845709668519632
34,35,0.0,0.333853686227205,0.6117718461391884,0.21776120894516388
35,36,0.0,0.3257406421855597,0.6226551625774726,0.21426872570612882
