,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,1,0.5618147448015123,0.3820130509277824,0.7516084411698446,0.31619508415024067
1,2,0.5052950075642966,0.3895005468465184,0.749917436513356,0.3261201677061619
2,3,0.5346197502837684,0.3809836304641073,0.7209593703010538,0.30992315838438333
3,4,0.5972747918243755,0.3849715619075397,0.7466191307126726,0.3115116773187381
4,5,0.6679288148428626,0.41987822218981297,0.7860419977574143,0.359899890444838
5,6,0.6037878787878788,0.38080653394589076,0.7443716102551842,0.30425513473505233
6,7,0.559302766199318,0.3756426618049225,0.7342694924456636,0.29598866252770717
7,8,0.5921152388172858,0.3774431155192532,0.7366587373096558,0.2973980250524518
8,9,0.5771710276829731,0.3786602486963498,0.7354587931840165,0.2973648362420865
9,10,0.5804248861911988,0.391218729487273,0.7480207680067011,0.3184252809820678
10,11,0.6789373814041746,0.3918164910105394,0.7473791075806265,0.31601312164522855
11,12,0.7372817008352316,0.39460247994164843,0.7427375544736778,0.31845645006653034
12,13,0.5879225218382074,0.3875414858309931,0.7460636641200536,0.3147014265974614
13,14,0.6196808510638298,0.3855861113137355,0.7418779632761373,0.3085693096376165
14,15,0.6142151273280122,0.3973082394135026,0.7460530349522989,0.3285532923949811
15,16,0.7581749049429658,0.40180916253282756,0.740375002599379,0.32164738647868496
16,17,0.5869151768733358,0.4046689768374977,0.7393411693555724,0.34282976804931603
17,18,0.630517503805175,0.4089881082658496,0.7530798882923282,0.34880766724432616
18,19,0.599543205177008,0.3861306679312735,0.7395772865306395,0.3049116677807116
19,20,0.6089108910891089,0.38417481395009484,0.7466289365937241,0.3049203535210828
20,21,0.6342857142857142,0.38422531100653023,0.7387247272579952,0.30538821283500794
21,22,0.6032774390243902,0.39040496169281286,0.7416585697510576,0.3114823408551393
22,23,0.6046511627906976,0.41081396621547667,0.7518760489301856,0.35276440586060237
23,24,0.6262395118230358,0.40787361354349094,0.7439069999859683,0.3416690654869799
24,25,0.7375047691720718,0.3977451016163754,0.748855350234455,0.32204097937677434
25,26,0.6278625954198473,0.40815879734364735,0.738293628084133,0.34324793752411104
26,27,0.6250477281405117,0.3836161284437147,0.7405520811040381,0.3018553550226621
27,28,0.6077158135981665,0.3913297328857101,0.7500533915771096,0.3211293945330746
28,29,0.7447458922430263,0.40203627340072257,0.7537359615465027,0.33078828493614254
29,30,0.6410550458715596,0.38767243266914825,0.7377759475560118,0.3066416080824601
30,31,0.621414913957935,0.38334367358855514,0.7468805994869635,0.3010980884895347
31,32,0.6377199693955623,0.38923357664233577,0.7423479940956911,0.3111805033267522
32,33,0.6303099885189437,0.38519654001970877,0.7413074952685057,0.3031610129185022
33,34,0.7017611026033691,0.3929118913789328,0.7352693126359219,0.31107975775879865
34,35,0.6392186901570279,0.38697667627842464,0.7372456173527192,0.3066759315460807
35,36,0.6340996168582376,0.387063804935027,0.7412012915097524,0.30670997559258534
36,37,0.7071674971253353,0.4003650301149845,0.7476698041065247,0.32705463801850326
37,38,0.6326687116564417,0.3836241512740016,0.7404003884235907,0.30192460962675216
38,39,0.6382815496739548,0.38601102471434307,0.737199337877597,0.3038943193716584
39,40,0.7613200306983884,0.40931658878504673,0.7521836950223219,0.34009862181906886
40,41,0.8084452975047984,0.3985250629768902,0.7557168272693968,0.3214381619701967
41,42,0.6443932411674347,0.39069003285870757,0.7471990734874805,0.30972050948507723
42,43,0.6431041106415675,0.4051626565409471,0.7497319793627869,0.33746742082794784
43,44,0.754803996925442,0.39564772893237915,0.7407778264620027,0.3125650433548279
44,45,0.6424452133794695,0.3890532004235586,0.7465270259574178,0.3100104209139354
45,46,0.6457692307692308,0.3882640765354561,0.7263935684999295,0.3058947059452151
46,47,0.6367833782223933,0.38977542450246483,0.7453160475007603,0.3133502138809077
47,48,0.6401077752117013,0.391359918200409,0.744955988591903,0.31704108678160187
48,49,0.7427801309202926,0.4150020085454479,0.7457582451883616,0.3504130925264056
49,50,0.6540832049306625,0.3893798845957198,0.7462213393798652,0.3123936698664588
50,51,0.6346820809248555,0.38475585259851725,0.7480129895611277,0.3059599651462582
51,52,0.6515034695451041,0.385354273192111,0.7435721729432898,0.3032109959075933
52,53,0.6544543000385654,0.3831768873954491,0.7449434562907287,0.30220259729834253
53,54,0.7804783950617284,0.3987873475052962,0.747121765144563,0.3206879882014912
54,55,0.7460439984561945,0.3938342404207912,0.7427688681289182,0.3127878792019779
55,56,0.6432432432432432,0.3890999415546464,0.7476234784264436,0.30106055571768586
56,57,0.7945152568559289,0.4111780821917808,0.7512453532502366,0.34060773248055437
57,58,0.6553323029366306,0.3882881566449916,0.7351282722277608,0.3097167009031851
58,59,0.6497873985311171,0.38136119533847224,0.7414051091854538,0.2991146708984318
59,60,0.6577726218097448,0.3844804910127137,0.739777279643117,0.3010306554251473
60,61,0.6560928433268859,0.3932629425304154,0.7386954873631658,0.3129507952923516
61,62,0.663312693498452,0.3865546218487395,0.7484316092215635,0.3070371617480391
62,63,0.6612466124661247,0.3908071175417443,0.741418019319323,0.3082639872044394
63,64,0.65143299767622,0.38165010230926627,0.7427914302683593,0.2993884085017354
64,65,0.654010073614878,0.4025285928307816,0.7513682897910029,0.33747951464574005
65,66,0.6503875968992248,0.3912519184389388,0.733998272213285,0.31017263778206466
66,67,0.6673129119813881,0.384980814909556,0.7364433023975795,0.3046921253811921
67,68,0.656710628394104,0.3871144569507382,0.7281292483138775,0.3005871344678219
68,69,0.6515327900659682,0.3852282278989877,0.736337331387423,0.30229096277225276
69,70,0.656055900621118,0.38801988158760325,0.7396526258118135,0.30659732976129916
70,71,0.8190291262135923,0.4069661196593692,0.7438716902875022,0.3353076220958306
71,72,0.8100233100233101,0.4104897660818713,0.7460126162340058,0.3347461283933945
72,73,0.6506024096385542,0.38429767169852697,0.7304846802625092,0.30210037157024283
73,74,0.8009331259720062,0.39948095621024926,0.7394212349213505,0.3169150811906699
74,75,0.6631660832360949,0.3899915926453924,0.7298997751145319,0.30841712904461255
75,76,0.9093385214007782,0.45755958473461034,0.7917481993912182,0.4282295119344169
76,77,0.6508369015181005,0.38376896362639373,0.7389584747775686,0.3006194636855366
77,78,0.6627725856697819,0.3912042114498794,0.7443718729717218,0.3087477718868097
78,79,0.6680950525905727,0.3970314042335393,0.7438574416857263,0.32205642327416395
79,80,0.6632891660171473,0.38819830359754315,0.7451124144393818,0.3064306782831359
80,81,0.8658869395711501,0.4140982048188366,0.7356525430588932,0.3349742309827866
81,82,0.780811232449298,0.4009140767824497,0.7401685377545657,0.3188785802041817
82,83,0.666796722590714,0.38718051848330837,0.7317180205856386,0.30401774084222183
83,84,0.6588602654176424,0.3856223489834723,0.7309601823025704,0.302246999666222
84,85,0.6657555642327216,0.38684316378396166,0.7457413013476702,0.30405746754792456
85,86,0.8015625,0.42320631902289185,0.7349836910585198,0.35495702279703173
86,87,0.6623681125439624,0.3867983177911867,0.7235177530223524,0.30227029466009037
87,88,0.8451915559030493,0.4057197191339965,0.7336997685444663,0.3258601741373355
88,89,0.9628470864294094,0.45426617415791976,0.789302837877144,0.4158275453111811
89,90,0.6811424100156495,0.38695047911637775,0.7319464174240217,0.30296456333395255
90,91,0.8207436399217222,0.4106287260890238,0.7447626088929574,0.33714805225921207
91,92,0.6656225528582616,0.3844184345281639,0.7364989380136292,0.30108304380072354
92,93,0.7802585193889542,0.39906360876403674,0.7408624508781032,0.31509923457380745
93,94,0.6763322884012539,0.40174848196649354,0.7477924595795385,0.32665449875083596
94,95,0.6832614660917288,0.4031532355415737,0.7441919652785334,0.33283185789881525
95,96,0.8419607843137255,0.40956979806848115,0.7392224443506915,0.33012466886720665
96,97,0.7916830129462534,0.39886592280958477,0.7437985793255265,0.3165857204115477
97,98,0.8335949764521193,0.40272188483207727,0.7231762487713087,0.31886689546636404
98,99,0.6694149980369062,0.40683422968572786,0.7448139604131121,0.33857394957383613
99,100,0.6720345640219952,0.4094833894336309,0.747669695937942,0.3412247715406141
100,101,0.7296660117878192,0.3892649372507409,0.733499592298963,0.303630754276847
101,102,0.664308176100629,0.39184046834979874,0.7445041703425316,0.3117033621569035
102,103,0.7074321667322061,0.391818215082879,0.7238282958554213,0.304940105735286
103,104,0.6699449252557041,0.40496926229508196,0.731704906415994,0.33584348010357784
