,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,1,0.30708661417322836,0.3866133866133866,0.721876385613231,0.30662876841341397
1,2,0.3063063063063063,0.389164265129683,0.7205278278731857,0.30747324998940795
2,3,0.0,0.3600522594528128,0.6695979695169009,0.258414080489585
3,4,0.0,0.3589901241209699,0.6612319288981727,0.2583717925917807
4,5,0.30621468926553674,0.38671124433171933,0.7101866571039908,0.3002518171764673
5,6,0.0,0.3727374044041351,0.681760518736351,0.2800109507954527
6,7,0.035107587768969425,0.37348193697156035,0.7023528394664611,0.2884496961826715
7,8,0.3072562358276644,0.3882547369230178,0.7163948396972922,0.3033128620993651
8,9,0.03518728717366629,0.37347221154585286,0.6907693810531917,0.2779547013875034
9,10,0.3068181818181818,0.37325594803397777,0.7043525641222118,0.2816945129902779
10,11,0.0,0.3669280442804428,0.6736350687403978,0.26463844589735097
11,12,0.03416856492027335,0.36355948491255047,0.7029647839580266,0.271957433981358
12,13,0.0661345496009122,0.3724532943799493,0.7048990085448787,0.27968440093652225
13,14,0.3082191780821918,0.3693537846461385,0.7030237057710298,0.2754480583334255
14,15,0.06628571428571428,0.37832538828233125,0.7014000988266873,0.2952342713544006
15,16,0.30434782608695654,0.36711391334435434,0.679929157265883,0.266797121960871
16,17,0.0,0.38677431757016534,0.6874525470192518,0.3040983819955264
17,18,0.09059633027522936,0.3629512860932754,0.699873586131981,0.26328301832598433
18,19,0.03559127439724455,0.3703860350661335,0.70807387530326,0.28102467245657503
19,20,0.07816091954022988,0.3618256623216826,0.6959543727393999,0.26053724155893354
20,21,0.07825086306098965,0.3628393447665923,0.6837163489198759,0.2605646750744253
21,22,0.024193548387096774,0.3752739857719669,0.6981354935681181,0.28667866063375846
22,23,0.03575547866205306,0.3644823873250269,0.713306697082354,0.26606371966387166
23,24,0.06004618937644342,0.3648425181709803,0.6959247635967021,0.2701596671601348
24,25,0.0011560693641618498,0.3901622952080609,0.6419362176250545,0.3077833877536176
25,26,0.02546296296296296,0.3866005153647937,0.7025924192556326,0.30675491130979365
26,27,0.3082271147161066,0.37876923076923075,0.6991028466038287,0.28581110611628574
27,28,0.08932714617169374,0.3652832801261587,0.6945428264520042,0.2654405901818323
28,29,0.09175377468060394,0.37056696668974537,0.7218876674590722,0.275810830105041
29,30,0.0011627906976744186,0.35519483017271225,0.6676347670490423,0.25247179391340124
30,31,0.06635622817229336,0.3851361747961225,0.6845246332014571,0.3045298851316638
31,32,0.06526806526806526,0.37122523562223503,0.7074587138866457,0.28274876485221945
32,33,0.0,0.3600830960990998,0.669798457849445,0.2579025657194926
33,34,0.07827102803738317,0.3613665217558574,0.6893089492229746,0.25948708961683403
34,35,0.06549707602339182,0.36191905201600494,0.6919375354483147,0.2602939697401447
35,36,0.03395784543325527,0.3745527297910815,0.6408028265290333,0.2820417581671793
36,37,0.010550996483001172,0.37052712581762215,0.7079697614271577,0.2811070860818178
37,38,0.2300469483568075,0.3680788025703182,0.7159221762065932,0.27262913325435556
38,39,0.03407755581668625,0.38379251962444205,0.7121344484317366,0.3026832682629429
39,40,0.07882352941176471,0.38692423134644244,0.6772179350627391,0.3077008396234017
40,41,0.06713780918727916,0.36465789271146004,0.7102750619373183,0.2745343223956431
41,42,0.0011792452830188679,0.3610929382335963,0.667937799590209,0.26068524265763876
42,43,0.03305785123966942,0.36761083743842365,0.7156483663764268,0.2704212594791119
43,44,0.3132387706855792,0.4037255128353154,0.6901663410829585,0.316520486464111
44,45,0.2982248520710059,0.3892694942652606,0.7016146723829033,0.30621712412132523
45,46,0.09123222748815166,0.36484353950964166,0.7184414491957405,0.2732564064604166
46,47,0.02491103202846975,0.35869899923017706,0.6885509744849947,0.2569082983525342
47,48,0.07482185273159145,0.3690288309788676,0.7081553437232255,0.27392477988583985
48,49,0.02497027348394768,0.35976595580876125,0.6966626162588185,0.25994728334449263
49,50,0.06428571428571428,0.3740231743465373,0.7095372784142876,0.284697606183259
50,51,0.0011918951132300357,0.3781952571604558,0.6517414483559794,0.2911525043529468
51,52,0.014319809069212411,0.36723772858517806,0.6811327857106428,0.2688650800684423
52,53,0.0011947431302270011,0.3572803572803573,0.6756548987055031,0.2552859682210463
53,54,0.09210526315789473,0.36025873021984367,0.7076524449615723,0.25993375608928315
54,55,0.07904191616766468,0.3607731403049438,0.6857185453256487,0.2584629974790835
55,56,0.001199040767386091,0.358784798429017,0.6695155685186472,0.25537355463797456
56,57,0.08883553421368548,0.359992298806315,0.7145949483578043,0.2587277382804962
57,58,0.001201923076923077,0.35838884824213485,0.6683164672264409,0.25483503326960155
58,59,0.06498194945848375,0.3798521256931608,0.6341292150749077,0.294681275963105
59,60,0.08072289156626505,0.3928447645087996,0.7030508272992493,0.3176172904594482
60,61,0.06272617611580217,0.364861742278364,0.7086959824751907,0.27494261210138193
61,62,0.08695652173913043,0.36183323704987486,0.7110240862143551,0.2611199167414407
62,63,0.08948004836759371,0.36196271760899706,0.7092834681670185,0.2646907220374834
63,64,0.0774818401937046,0.3763432577128991,0.7064346771579064,0.2826568790547392
64,65,0.06666666666666667,0.37300670210307374,0.7009980810011455,0.278088127747845
