,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,2,0.12421383647798742,0.96656185290283,0.968126456671593,0.9543321145529342
1,4,0.4459033613445378,0.9783133916244823,0.9788043126195707,0.9744619921241578
2,6,0.6639473684210526,0.9862602592621001,0.9863845322617972,0.9849793571537955
3,8,0.870253164556962,0.9934124731512735,0.9931891381882484,0.9930825251779412
4,10,0.8594080338266384,0.9930571538166475,0.9927693857075635,0.9926806773382582
5,12,0.9070444915254238,0.9948883688813872,0.994577084719264,0.9945998645704124
6,14,0.917728237791932,0.9955018031151692,0.9952546682673541,0.9952879474581192
7,16,0.9223404255319149,0.9954343155310006,0.9951685269238986,0.9952155728792774
8,18,0.9189765458422174,0.9953668175888266,0.9952057729765312,0.9951998989663403
9,20,0.9025106837606838,0.995376055257099,0.9952276276158063,0.9951704326211626
10,22,0.9084582441113491,0.9953469184127715,0.9951927726215359,0.9951764513881247
11,24,0.8910944206008583,0.9946365520417562,0.994454004953239,0.9943858447605602
12,26,0.9422043010752689,0.9966223996315345,0.9964862750971073,0.996492995759227
13,28,0.9542025862068966,0.9971499309074159,0.9970234574368734,0.997053237234621
14,30,0.9562634989200864,0.9970153550863723,0.9967571395248429,0.9968161095032392
15,32,0.9020562770562771,0.9949036394348895,0.9945716813432667,0.9946100241195147
16,34,0.9677331887201736,0.9966885510251094,0.9965435843501359,0.9965221896561052
17,36,0.9565217391304348,0.996822684687452,0.9967568532823738,0.9967516467715063
18,38,0.9640522875816994,0.9971008371092851,0.9967898123930253,0.9969147302279526
19,40,0.9658842794759825,0.9971198156682028,0.9968962964977646,0.9969737529934268
20,42,0.949945295404814,0.996869959290268,0.9968460983291112,0.9967554881097989
21,44,0.927905701754386,0.9959095099093562,0.9957521161454214,0.9957656299288191
22,46,0.9516483516483516,0.9971287547053853,0.9969469332982462,0.9969956673347075
23,48,0.9264867841409692,0.9960721419791027,0.9959153019900842,0.9959209221963389
24,50,0.9759933774834437,0.9978390318862851,0.9978061538773845,0.997793296375699
25,52,0.9662610619469028,0.9974546642077763,0.9972390411273377,0.9973080185784404
26,54,0.9495565410199556,0.9967820640897564,0.996631924412563,0.9966686648841129
27,56,0.9675,0.9974926990470334,0.9973250218693719,0.9973721541302323
28,58,0.9755011135857461,0.9977999385135654,0.9975800878397357,0.9976537352178461
29,60,0.9905133928571429,0.9983858570330515,0.9981129187829522,0.9982131254323944
