,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,2,0.5663606010016694,0.9882627742885943,0.9882068589934255,0.9867656711066147
1,4,0.7340871021775545,0.991993641439206,0.9918371085257491,0.9913902532926158
2,6,0.8079831932773109,0.9939317564947654,0.9938570588765873,0.9936424393102392
3,8,0.7563237774030354,0.9927000930665425,0.9925049042202087,0.9921713550211241
4,10,0.8595600676818951,0.9952105793841619,0.9951993942337284,0.9950328637397862
5,12,0.7402376910016978,0.9926213931120075,0.9925623098214412,0.9920951011774166
6,14,0.8718057921635434,0.995471646885424,0.9951591854971608,0.9951869248923693
7,16,0.9213675213675213,0.9966446858029481,0.9964264143139894,0.9964650908342101
8,18,0.9120926243567753,0.996557141748778,0.9961808214772806,0.9963078369440843
9,20,0.882960413080895,0.9961204220980757,0.9960239301626757,0.9959678892589283
10,22,0.8264248704663213,0.9944517731046791,0.9944779635598564,0.9942536810033464
11,24,0.9038128249566725,0.9961974235604532,0.9959135647344259,0.9959566711446601
12,26,0.8978260869565218,0.9961001164144354,0.9960038886730687,0.9959678126553778
13,28,0.9965095986038395,0.9984379850977957,0.9980858811240721,0.9982322661587911
14,30,0.9938704028021016,0.998156485290693,0.9981296263104457,0.9980635407773224
15,32,0.9964850615114236,0.9981951560316721,0.9981844776044753,0.9980945333667754
16,34,0.9929453262786596,0.9981659032683798,0.9979962785855324,0.9980243997719687
17,36,0.9969026548672567,0.9982336956521739,0.9977913155191986,0.9979373221118246
18,38,0.911190053285968,0.9968068172994797,0.9965194678131997,0.9965821664712393
19,40,0.999554367201426,0.9980587047678211,0.997841074620812,0.9978852016565661
20,42,0.9991055456171736,0.9982818202997592,0.9980964520098754,0.9980925060035615
21,44,0.9932675044883303,0.9983884746815781,0.9983126061806417,0.9983265428253243
22,46,0.9981981981981982,0.9985631067961165,0.9983832931488266,0.9984666611200869
23,48,0.9995479204339963,0.9981551965201181,0.9978913098174218,0.9979839069628437
24,50,0.9931941923774955,0.9986308552784898,0.9984668990847508,0.9985389497551206
25,52,0.9927140255009107,0.9979509788688625,0.9978384346048288,0.9978697974387628
26,54,0.9954296160877514,0.9984364074275502,0.998085110283357,0.9982313522004835
27,56,0.998165137614679,0.9982905982905983,0.9980144081323484,0.9980959664915268
28,58,1.0,0.9987858419457611,0.9987577238505875,0.9987464512816658
29,60,0.9981515711645101,0.9980766241840224,0.9980123033638745,0.9980400181841393
30,62,0.9986085343228199,0.9984747804461025,0.9982299783786518,0.9983208302764501
31,64,0.9986033519553071,0.9986106793098088,0.9984617503171906,0.9985187819190269
32,66,0.9934579439252336,0.9986105713175282,0.9984480445694602,0.9985157836463152
33,68,0.9985928705440901,0.9987465018656716,0.9986246887492387,0.9986642908371628
34,70,0.9995291902071564,0.9985326129207805,0.9983040625302009,0.9983763527286756
35,72,1.0,0.9981146011506765,0.9980013474183433,0.9980364175145262
36,74,0.9985768500948766,0.9984643495840136,0.9982400864190072,0.9983368259246856
37,76,0.9980952380952381,0.9978907465007777,0.9976346309416091,0.9977183137258094
38,78,0.998565965583174,0.998308577649895,0.9978262276761892,0.9980408968756361
39,80,1.0,0.9986389796235806,0.9983996282057442,0.9984859324015054
40,82,0.9980732177263969,0.9984055378393093,0.9982631879770566,0.9983176940296917
41,84,1.0,0.9985707062850031,0.9981622922960162,0.9983573142163154
42,86,0.9985436893203884,0.9985608712563205,0.9984560906830061,0.9984863497514406
43,88,0.9985380116959064,0.9982009491208962,0.9978237618020241,0.9979827124810039
44,90,0.9995107632093934,0.9986968023029642,0.9984696186323555,0.9985677980269861
45,92,0.9955795677799608,0.9985605353252412,0.9984651996771238,0.9984959660331116
46,94,0.9990138067061144,0.9986674188779083,0.9983967068701737,0.9985000327379573
47,96,0.9995049504950495,0.9983949416342413,0.9982203290106236,0.9982810240835558
48,98,0.9985089463220677,0.9983267180325317,0.9980273310426864,0.9981651284424469
49,100,0.9990019960079839,0.9983849626400996,0.9981549083453979,0.9982281540775177
50,102,1.0,0.998647544173737,0.9984745562704845,0.998547068007581
