,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,2,0.7286651946035135,0.8075500995127308,0.9365575094798111,0.8488704376697951
1,4,0.7825103130308178,0.8456212895919838,0.9233576890780535,0.866245374960829
2,6,0.8591171617161716,0.8995452985586823,0.9582690216816175,0.9206305333333101
3,8,0.962511527447459,0.9730387110058685,0.9783009111244851,0.9744070648705807
4,10,0.9514974274342297,0.9649426865261856,0.9734102291085228,0.9672223851386557
5,12,0.8153973108101549,0.8688909290592718,0.9427695515823467,0.8928920766083983
6,14,0.9178519417475728,0.9412625274574409,0.9662164170899595,0.9495102258409651
7,16,0.9588875673576387,0.9702462673760083,0.9821799936360339,0.9742774624913113
8,18,0.9537151665210215,0.9666240475046337,0.9808178083168916,0.9714931611144734
9,20,0.951594892460067,0.9652241444410119,0.9790239742030418,0.9698354273785066
10,22,0.9607326665371917,0.9713888507483179,0.9831047637318493,0.975357035140523
11,24,0.983818888079631,0.9878522879406817,0.9883151486596005,0.9878905833847144
12,26,0.9722188501505293,0.9798832818400275,0.9830299567985252,0.9806715598093859
13,28,0.9843150585150294,0.9881904631123622,0.9887124663010295,0.9882519302779074
14,30,0.962121212121212,0.9725264350453173,0.9830581712139597,0.9760105451179333
15,32,0.9793295614588897,0.9845375424863528,0.9862533941396183,0.9849182270368422
16,34,0.9801481301602719,0.9853910595344366,0.9861376686006011,0.9854856108569768
17,36,0.9772087036767205,0.9833218884120172,0.9850930576391272,0.9837226159929424
18,38,0.9855619778511755,0.9890640021975003,0.9897911061776988,0.9892014714005215
19,40,0.9824039442366542,0.9868918037290114,0.9875024977406762,0.986948868607327
20,42,0.9635249684251433,0.9733964013460613,0.9843829065219544,0.9771164424853735
21,44,0.9810116589749818,0.9861010954294152,0.9891204949787029,0.9869618464090306
22,46,0.986330402254178,0.9896548763736264,0.9899754698287475,0.9896650615047388
23,48,0.9791029004518292,0.9845247089529173,0.987236848511521,0.9852542781133363
24,50,0.9825332815081139,0.9870870252077752,0.9892620841621351,0.9876776931838589
25,52,0.9664800058306205,0.9756284988151251,0.9838820469817462,0.9782686648250236
26,54,0.9780126336248786,0.9838619659293859,0.9894319983387889,0.9856616661736011
27,56,0.9895767530006316,0.9918169328524816,0.9919406767815907,0.9917918046479921
28,58,0.9729808533385168,0.9802071168509994,0.9871364106146422,0.9824169691793876
29,60,0.9844425815230597,0.9884244152097001,0.9896323105295722,0.9887110696753038
30,62,0.9846423017107311,0.9884712489694972,0.989402497829548,0.9886556517052318
31,64,0.9658566221142163,0.9750309161485349,0.9850076284878964,0.9783723240012918
32,66,0.9867976572372897,0.9898059086224664,0.9906855998103644,0.989985648737955
33,68,0.988291692995674,0.9910465835308667,0.991144082928811,0.9909805673242327
34,70,0.9894030721368852,0.9918579084787686,0.991966193650484,0.9918158241650125
35,72,0.9844198143016869,0.988430618064383,0.9894856789548018,0.9886748510561109
36,74,0.9717853670393777,0.9795102384388099,0.9876113862219573,0.9821976033984556
37,76,0.9932787204044922,0.9947259920975777,0.9947660077465539,0.9946922077401912
38,78,0.9879363574484636,0.9909204920285872,0.9912578981478551,0.9909502875766456
39,80,0.9843195410123012,0.9884891591932103,0.9903358882155975,0.988986401492451
40,82,0.9900138578235923,0.9922256202322864,0.9923467678188995,0.9921940123771267
41,84,0.9858679795769512,0.989330263564826,0.9901192138969003,0.9894778691562875
