,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,2,0.3373032373032373,0.4362647909379065,0.9602535708217073,0.5466751507847678
1,4,0.42158959280049896,0.5078960661741492,0.9597650575971488,0.6212310451394691
2,6,0.5219496257573957,0.5931734084336284,0.9607799482189199,0.7021881596630785
3,8,0.5414166691418897,0.6099095742665539,0.9592376060316775,0.7142438087730478
4,10,0.5600160399215827,0.6256741055077736,0.958472385050738,0.7269500039076355
5,12,0.5586402792217436,0.6244932240423355,0.9606033297415896,0.7278501757176306
6,14,0.6365033864068441,0.6907546574044837,0.9614516919488907,0.7816999326334491
7,16,0.6845572290051392,0.7315972616927487,0.9637495258927457,0.8127900209662807
8,18,0.6640388271641614,0.7141693296787965,0.9654594160566805,0.802053181719514
9,20,0.6731863283919075,0.7217850421250742,0.9619057940342254,0.80467847708981
10,22,0.7201500297088532,0.7618673184533961,0.9637783020248505,0.8339888025511897
11,24,0.7390705309129801,0.7779605886439716,0.964000037306936,0.8449227174593935
12,26,0.7345281953770277,0.7740295339994694,0.9644127090752557,0.8427833011784965
13,28,0.7413910924919036,0.7799358269855106,0.964189286684795,0.8465287952394386
14,30,0.7854394461611599,0.8173265200419408,0.9667327147351598,0.8728476701690975
15,32,0.7538738671816966,0.7904859961847973,0.9631557894407841,0.8531781872986485
16,34,0.7481577227075533,0.785657886425368,0.964856208895383,0.8512492932526055
17,36,0.7619788726116542,0.797379758189835,0.9650491205280798,0.8592876139319443
18,38,0.8061742244145964,0.8350305113011838,0.9701795404093131,0.8865802565867127
19,40,0.7598882648361118,0.7956228126697747,0.9648595710795153,0.8574951082808818
20,42,0.778354383358098,0.8113320782847107,0.9658435821473628,0.8686043016414198
21,44,0.7670770305209665,0.8017057299892603,0.9662986822239221,0.8627863235151892
22,46,0.7777876842605802,0.8109118936608417,0.9670029055465016,0.8695513439692397
23,48,0.7967463666894523,0.8269954890638229,0.9681453328963529,0.8806182578867173
24,50,0.7835218153718123,0.8156913784606831,0.966775626434616,0.8723715710340785
25,52,0.7762854807549413,0.8095991761123116,0.9652797801031943,0.8666824111566989
26,54,0.7694536915943407,0.8038004675554433,0.9649028944422701,0.8632545686855145
27,56,0.8039599619534524,0.8331290359268573,0.9657242235980701,0.8823042474966565
28,58,0.7590474704238749,0.794916025325094,0.9662447196667481,0.858117006149071
29,60,0.8491647097291994,0.8715104449696066,0.972661681025173,0.9110791220986978
30,62,0.785263079667063,0.8171262653708595,0.9691244799418862,0.8744956042023104
31,64,0.8218771366568567,0.8482969984202211,0.9677198477903906,0.8934889285048626
32,66,0.8150640644509186,0.8425457831477573,0.9708702185202133,0.8922883595679205
33,68,0.8256867437643072,0.8516670668975367,0.9707696835129521,0.8976937756275126
34,70,0.7976201094065882,0.8277468117645572,0.9678117508061306,0.8809174359762927
35,72,0.8094061245726177,0.8376992302539278,0.9691525920576316,0.8867858130079955
36,74,0.8127898852351787,0.84057068823864,0.9672896134708737,0.8880951969291347
37,76,0.8266286088068266,0.8523820358221785,0.9685840948038817,0.8969260124459958
38,78,0.8344062202664129,0.8589481867249813,0.9696095718787716,0.9012829231006982
39,80,0.8375457167494277,0.8617477151777926,0.9712198035922381,0.9034643916938863
40,82,0.8171647338685697,0.8443785000063205,0.966438706303929,0.8902696673805436
41,84,0.8555710844806566,0.8769641615574236,0.9726529431236769,0.9136466968078041
42,86,0.8154328238372784,0.8429579156289901,0.9650597093188664,0.8880024163453812
43,88,0.8520534094626342,0.8739680914274156,0.9693715150850822,0.9103292593202053
44,90,0.8615319990483554,0.8821382065512838,0.9730780711110291,0.9171564857086452
45,92,0.8436579925650558,0.8668059471282096,0.968878455157268,0.905554815036261
46,94,0.8501479597906256,0.8724192426828498,0.9725634404723711,0.9117333744828843
47,96,0.8464258097135889,0.8692109289064771,0.9738269895534499,0.9099538631396623
48,98,0.8297654809351019,0.8551036148234312,0.972100551188827,0.89990968209999
49,100,0.8247189256714553,0.8507946743542085,0.9695537951463871,0.8951043017828894
50,102,0.8596296847114813,0.8804734027084097,0.9716946632327917,0.9156721059486164
51,104,0.841283946577828,0.8648416260985017,0.9714431452678146,0.9060206151850313
52,106,0.8656077101552739,0.8856012037985408,0.9731241066962469,0.9194392698885802
53,108,0.8537086890561323,0.8753271961659564,0.969097279574851,0.911035924243928
54,110,0.8338923429319371,0.8584801274674692,0.97204056484087,0.9019217459444434
55,112,0.8687899747136695,0.8881880951477673,0.974982343592117,0.9222468724581268
56,114,0.8842632534063188,0.9014353461903256,0.9749032078650801,0.9303452355832585
57,116,0.8976474875792104,0.9127862860900686,0.9796972519898701,0.9396277042123787
58,118,0.8515002082589552,0.8734681488788557,0.9739009309261681,0.9130314264889533
59,120,0.8829289518312458,0.9002738114811115,0.974120690987908,0.928623775561559
60,122,0.8619086581374591,0.8823308080488699,0.9710907579016088,0.9161741137992127
61,124,0.8485747865155167,0.870973249857712,0.9711600019244453,0.9092768071620194
62,126,0.8486335098786003,0.8711249256921696,0.9729968145101375,0.9110138046057904
63,128,0.8394642485196536,0.8632416741503396,0.9722951521817049,0.9052100789508861
64,130,0.8574473308337797,0.8786950252343186,0.9722990859071311,0.9148419424674513
65,132,0.8766664186876952,0.8948258851208621,0.9716335558981224,0.9241269444613318
66,134,0.8830979942863945,0.9004111061918918,0.976340127897585,0.9305231197268742
67,136,0.9052130762134334,0.9192219144118503,0.9766763578836039,0.9414248456587683
68,138,0.8713395036009761,0.8903745683166564,0.9725298552644589,0.9222614603212698
69,140,0.8746763489181869,0.8932371060987488,0.9744885788203879,0.924919217400695
70,142,0.8916034226190476,0.9076309031335787,0.9756488026982885,0.9340857814057678
71,144,0.8883932557516593,0.9050161300525017,0.9765152200922632,0.9336012143479816
72,146,0.8860981308411215,0.9028693242918412,0.9749201406883732,0.9311537157375233
73,148,0.8773365181415007,0.8955605318758618,0.9745169364821025,0.9262083985915694
74,150,0.8664052268127158,0.8861543035716546,0.9710236512389513,0.918392733918101
75,152,0.8566118470010418,0.8778578387337577,0.9730616429244373,0.9147705939295528
76,154,0.888078972435554,0.9046498386790662,0.9760690832803226,0.9327785504639654
77,156,0.8908775637781682,0.9070293421735225,0.9751225484686517,0.933754521076188
78,158,0.8836144022386282,0.900855360554719,0.9755989726198266,0.9299813290480841
79,160,0.8953328272453931,0.910893469485885,0.9774746597161916,0.9372166241533717
80,162,0.892683834474546,0.9084901362825363,0.9755782265408544,0.9347455211120683
81,164,0.9050544821221234,0.9190572603606454,0.9772733961093281,0.9422237436834049
82,166,0.8972251994760033,0.9124495400073396,0.9763551011823454,0.9370369715990834
83,168,0.8747990293863698,0.8934207362599815,0.9761671694078494,0.9261935705758221
84,170,0.9066203179896386,0.9203957276098154,0.9779117141486428,0.942905951858626
85,172,0.8933638529105254,0.9091840996241316,0.9742232869650868,0.9340898911677192
86,174,0.9247186160076226,0.9357242295766627,0.9789614231423653,0.952654922872313
87,176,0.9032322901468004,0.9175135737157176,0.9756019808176123,0.9397940335842311
88,178,0.8865724197486748,0.9033773778334663,0.9714089489189182,0.9291755237689479
89,180,0.8713632708972334,0.8904428609398929,0.9714426199466294,0.921459228527097
90,182,0.907329511614056,0.9210196564861342,0.9761062748714183,0.9424729056573806
91,184,0.896702552190357,0.9119802544142775,0.97465529873924,0.9361701441124912
92,186,0.8998414140210853,0.9146677974254143,0.9784249395001436,0.9397650104772561
93,188,0.9027645412038002,0.9171339603296161,0.9744615278004534,0.9388814672032836
94,190,0.8757445794615201,0.8941442296737933,0.9746421626411136,0.9256273892408485
95,192,0.9071779597915115,0.9208545894147878,0.975138278249388,0.9416370988700772
96,194,0.9180169178531006,0.9300905120577252,0.9787149792475061,0.949125086599967
97,196,0.922065350132547,0.9336428544301394,0.979603457197531,0.951524879939557
98,198,0.889040718455856,0.9054322644351889,0.9778973691203875,0.934775193058972
99,200,0.8775617348306574,0.89571016217448,0.975487947460087,0.9268626320022213
