,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,2,0.34776853252647505,0.9360280714546118,0.9431077899077248,0.9226585692955216
1,4,0.5101249053747161,0.9514729473530699,0.9555399904847777,0.9445640139891844
2,6,0.7919507575757576,0.9783143732224897,0.9788790169504509,0.9772071782347928
3,8,0.8660917361637603,0.9857332992998833,0.9859696354540552,0.9852511303333324
4,10,0.8793626707132018,0.9869539056232223,0.9869896017329289,0.9864572039558972
5,12,0.9038534548215642,0.9891593727206418,0.989125169525489,0.9887813768247213
6,14,0.8593275075987842,0.9850098475454081,0.985212039184988,0.9844553948418687
7,16,0.8829847908745247,0.9872428508899913,0.9872481995737854,0.9867877129294051
8,18,0.977359208523592,0.9961424819435325,0.99584281553373,0.9959381657838219
9,20,0.9446877380045697,0.9932055304246316,0.9929913595289565,0.9929793362302739
10,22,0.9719893292682926,0.9959412623130245,0.9955568547027148,0.9957204447718038
11,24,0.958047292143402,0.9947460595446586,0.9946349418201188,0.9946218922410767
12,26,0.938645038167939,0.992383054805517,0.9922900452662611,0.9921643516630189
13,28,0.9406990068754775,0.993094073857831,0.9927815871672319,0.9928189543852546
14,30,0.9599579510703364,0.9946445514925917,0.9943488016090433,0.9944189694341787
15,32,0.9704475899005356,0.9958485401459853,0.9955555698632415,0.9956587468245077
16,34,0.9626722817764164,0.9948445141981166,0.9947851495634016,0.9947590979037942
17,36,0.9635057471264368,0.9948441378303402,0.9947969945791131,0.9946415012720953
18,38,0.9568634969325154,0.9942870701613492,0.994101997774053,0.994076040729757
19,40,0.9769762087490407,0.9964223130841121,0.9961596681024796,0.9962651957114594
20,42,0.9544930875576038,0.9941949616648411,0.9940292895221813,0.9939929257547655
21,44,0.9618562644119908,0.9951621147948007,0.9950324387984271,0.9950232217272037
22,46,0.9790384615384615,0.9963941429927701,0.9961303414764858,0.9962231878232974
23,48,0.9629522709776751,0.9950153374233128,0.9950112800806434,0.9949266170777337
24,50,0.9350924499229584,0.992403768899277,0.9922714915650562,0.9921846757005047
25,52,0.9785080956052428,0.9964024835646457,0.9962225817754816,0.9962673045630496
26,54,0.9886188271604939,0.9974249397326321,0.9970164658827303,0.9971913453415961
27,56,0.9597490347490347,0.9943563705435419,0.9942565996423528,0.9942328734147907
28,58,0.9747874806800618,0.9955523489442536,0.9953576215543534,0.9954034161831824
29,60,0.9893658159319413,0.9975248429051586,0.9973739007833573,0.9974300398762002
30,62,0.989454334365325,0.9978534892217757,0.997691256191231,0.9977527967890456
31,64,0.9696940356312936,0.9956244519146449,0.995354419857587,0.9954115292811745
