,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,2,0.22022471910112362,0.9720578629884351,0.9731597158122963,0.9633766564170889
1,4,0.8338963963963963,0.9922478386167146,0.9922801713333597,0.9919272493628388
2,6,0.9520316027088036,0.9969257964108673,0.9967789771599133,0.9967913514349908
3,8,0.9315610859728507,0.996108912032589,0.9961302291880095,0.9959810363767235
4,10,0.9804421768707483,0.9979149852031208,0.9978078265541986,0.9978286123349274
5,12,0.9360795454545455,0.9966175961871084,0.9967581771603673,0.9965749284857685
6,14,0.974373576309795,0.9978185662118009,0.9976117178523779,0.9976902905439231
7,16,0.9882990867579908,0.9980202206589014,0.9977004915753962,0.997839996701975
8,18,0.9888443935926774,0.9983660758909692,0.998281767252284,0.9983199634583919
9,20,0.9882454128440368,0.9980583644123188,0.9977941889619768,0.9979070150300855
10,22,0.9885057471264368,0.9978082823855116,0.9975618536351878,0.9976378595798676
11,24,0.9956797235023042,0.9983560853681984,0.9983177835034933,0.9983263121647586
12,26,0.9901847575057737,0.9980386878437103,0.9978597109808263,0.9979117742674796
13,28,0.9901620370370371,0.9983173724087535,0.9981491917199368,0.9981939476980589
14,30,0.9907192575406032,0.9980095388284165,0.9977291244542801,0.9978314171312344
15,32,0.9953488372093022,0.998153633111513,0.9977584529154389,0.9979219113840383
16,34,0.9889277389277389,0.9979130602038854,0.9975808726304306,0.9977142330800375
17,36,0.9985397196261683,0.9985476859154387,0.9985580168125531,0.998518785805041
18,38,0.9915105386416863,0.9981435881651342,0.9980221822497901,0.9980507365860316
19,40,0.9906103286384977,0.9979895340336296,0.9977218907777545,0.9978423675898643
20,42,0.9991176470588234,0.998143302420441,0.9976111318262615,0.9978513409220522
21,44,0.9967570754716981,0.998970559938426,0.9987432920209955,0.9988537245696048
22,46,0.9908392434988179,0.9983450717777007,0.998250819766971,0.9982696017568158
23,48,0.9899289099526066,0.9984796582117701,0.9983976331368702,0.9983935709932841
24,50,0.9907957244655582,0.9984602948535355,0.9982773563472356,0.9983419508711406
25,52,0.9916666666666667,0.9984313046156216,0.9982748469585426,0.9983386292111541
26,54,0.9913484486873507,0.9985370548604428,0.9983383202735903,0.9984237037233363
27,56,0.9916267942583732,0.9985465675894197,0.9984705968843559,0.9984940321756275
28,58,0.9898081534772182,0.9980266451041547,0.9977653447681374,0.9978875632991772
29,60,0.990685096153846,0.9979302244984405,0.9977628342584878,0.9978222371405285
30,62,0.9921686746987952,0.9984595833172873,0.998447193719096,0.9984150732419315
31,64,0.9969806763285024,0.9984787213556711,0.9982848619531834,0.9983082017867057
32,66,0.9891041162227603,0.9982860224165158,0.9979063897116764,0.9980762492600559
33,68,0.9896844660194175,0.998362929008898,0.998209745570176,0.9982694624728391
34,70,0.9911800486618004,0.9981701914557571,0.9979054879080014,0.998017222353635
35,72,0.9969512195121951,0.9981796817814077,0.99796762011594,0.9980199129107593
36,74,0.998166259168704,0.9982951261799268,0.9982042429340618,0.9982079698533486
37,76,0.9908088235294117,0.9976688629445536,0.9970821320351015,0.9973437757022773
38,78,0.9901719901719901,0.9982370621556009,0.9982628363233503,0.9982120405467715
39,80,0.9913793103448276,0.9984970519095148,0.9983089929432782,0.9983934365207628
40,82,0.9969135802469137,0.9979091995221028,0.9975676669730912,0.997669370365828
41,84,0.999690594059406,0.9984293698207748,0.9981035950245263,0.9982590812003796
42,86,0.9987593052109182,0.9983810661835562,0.9981492378176604,0.9982526190844014
43,88,0.992226368159204,0.9981689217840484,0.9980075680151965,0.9980450966382256
44,90,0.9918952618453866,0.9986603184394156,0.9983399245065196,0.9984764837077855
45,92,0.99125,0.9983999691560319,0.9982444750665564,0.9983066296949759
46,94,1.0,0.9986890302679776,0.9985613838928615,0.9985923779488051
47,96,0.9984296482412061,0.9986021671229708,0.9983528750564968,0.9984425290194283
48,98,0.9921284634760705,0.9981682156492229,0.9981732961798349,0.9981277910313963
49,100,0.9908459595959597,0.9982355663542752,0.9979335637328518,0.9980647228181931
50,102,0.9984177215189873,0.9980715084660778,0.9977067391724794,0.997875545809028
