,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,2,0.004222972972972973,0.9645244956772334,0.9664019380556169,0.9480683689108038
1,4,0.19864559819413094,0.9713426584175537,0.9725261328140955,0.9624301427480635
2,6,0.27347285067873306,0.9741074516736482,0.9750384934096563,0.9672159274828016
3,8,0.32908163265306123,0.9756524078557978,0.9764090719793961,0.9699272958533469
4,10,0.209375,0.971951032017527,0.9731278474618529,0.9633800726642312
5,12,0.3248861047835991,0.9760138381702863,0.9769134095878046,0.9703719382349887
6,14,0.4389269406392694,0.9796351824087957,0.9801701249468662,0.976001464993308
7,16,0.5446224256292906,0.9835934796816731,0.9838572630606116,0.9813231804012206
8,18,0.4412270642201835,0.9795936022146181,0.9799454221695771,0.9759126380326002
9,20,0.646551724137931,0.9866766639750837,0.9864747770723908,0.98519468279562
10,22,0.5374423963133641,0.9835512401461257,0.9839132300186523,0.9812691474077075
11,24,0.5473441108545034,0.9837711033342307,0.9841986987942949,0.9816222027278371
12,26,0.6591435185185185,0.9871543402176839,0.9871302720015332,0.98588030630485
13,28,0.6650232018561485,0.9877110658102235,0.988072025273312,0.9866822458467325
14,30,0.7409883720930233,0.9901911759049121,0.9902280709910924,0.9895058900485367
15,32,0.717948717948718,0.9896614733602616,0.9897772653300474,0.9888706080062768
16,34,0.7114485981308412,0.989247104989805,0.9893079498015447,0.9883991626673574
17,36,0.7353629976580797,0.9898907314070255,0.9898487604238403,0.9891455907266878
18,38,0.625,0.9862922775020201,0.9863559907782624,0.9848013061435732
19,40,0.7276470588235294,0.9896871512679417,0.9895307695432483,0.9888383001371736
20,42,0.8057193396226416,0.9921974215893785,0.9920157683660407,0.9917254714856888
21,44,0.7890070921985816,0.9920813608898125,0.9918839517470974,0.9915413106043361
22,46,0.7704383886255924,0.9910415303491013,0.9909050839130249,0.9904252030777496
23,48,0.7054631828978623,0.9890296008314408,0.9889967459041414,0.9880890190965383
24,50,0.8116071428571427,0.9926377179812912,0.9923595986418061,0.9921328563641928
25,52,0.8218973747016707,0.993060635226179,0.9928200902288249,0.9926211888397456
26,54,0.8391148325358851,0.9937242521079582,0.9937144112835932,0.9934522068117762
27,56,0.8318345323741008,0.9931365754110353,0.992882174409689,0.9927007493515009
28,58,0.8058894230769231,0.9924525395664061,0.992299509685839,0.9919899158511774
29,60,0.8147590361445783,0.9926637655485808,0.9924964973862531,0.9922533718417175
30,62,0.8007246376811594,0.9925958020412093,0.9926060924158704,0.9921804252720448
31,64,0.839588377723971,0.9936640603936371,0.9935060087892196,0.9932991842036459
32,66,0.8118932038834952,0.9925176225877277,0.9922217935807109,0.9920151128042949
33,68,0.8500608272506083,0.9941060903732809,0.993992026092503,0.9938336998894064
34,70,0.8289634146341464,0.9933447624918134,0.9930634437412924,0.9928988515350567
35,72,0.7790342298288507,0.9917164322866501,0.9916151331403664,0.9911645218562002
36,74,0.8302696078431372,0.993131815204408,0.9929135950522028,0.9926517875557916
37,76,0.8676289926289926,0.9946822858464028,0.9946719103415331,0.9945058457055062
38,78,0.8451354679802956,0.993766619137539,0.9935871988323288,0.9934513843207259
39,80,0.867283950617284,0.9947103711411723,0.9945629259523654,0.9944622960848667
40,82,0.8409653465346535,0.9937849296588938,0.9937024275275615,0.9934769029974363
41,84,0.8114143920595533,0.9929846201287438,0.9928371690466833,0.992583292705697
42,86,0.8339552238805971,0.9936008634979376,0.9934399884645071,0.9932619893464083
43,88,0.8868453865336658,0.9952677435521802,0.9951809785264747,0.9950976166481649
44,90,0.8778125,0.9952962948683348,0.9951917839035122,0.9951097444374403
45,92,0.8527568922305764,0.9938692886061308,0.9937167433789518,0.9935419574700437
46,94,0.861180904522613,0.994485790305788,0.9942009804158582,0.994145161606381
47,96,0.8847607052896725,0.9951795148663762,0.9950211361187542,0.9949447692735067
48,98,0.8737373737373737,0.9948706081993135,0.9947098381624868,0.9946060126207018
49,100,0.8560126582278481,0.9943784471786169,0.994315071944257,0.9941474970818363
50,102,0.8905456852791878,0.9959112825458052,0.9958257378828594,0.9957418714082422
51,104,0.8689567430025447,0.9947536936311383,0.9946924705584526,0.9945332881820302
52,106,0.8931760204081632,0.9955634427684117,0.9954121131648797,0.9953777752733899
53,108,0.8919437340153453,0.9953605463173734,0.995261638334692,0.9951945971825955
54,110,0.8560897435897437,0.9940386618821623,0.9937392761855057,0.9936946665428927
55,112,0.8904241645244216,0.995533474821532,0.9953874484767726,0.9953093101232016
56,114,0.8972293814432989,0.9955041870875623,0.9951543389407593,0.9952233567858555
57,116,0.8953488372093023,0.9955424337154104,0.9953853600669735,0.9953281198516584
58,118,0.9057642487046632,0.995937705044579,0.9956846098021764,0.9957242857148585
59,120,0.8785714285714286,0.9954934959663411,0.9953356974127029,0.9952338283087776
60,122,0.8798828124999999,0.9949816637714728,0.99487840678256,0.9947818031208557
61,124,0.8681462140992167,0.9946531289811991,0.9945436095441305,0.9944126175180232
62,126,0.8802356020942408,0.9950774101386047,0.9948452282745749,0.9948146069649361
63,128,0.8963254593175852,0.9955886327657439,0.9956306751571947,0.9954900282042813
64,130,0.8963815789473684,0.9959551299378306,0.9958777361093776,0.9958162435654525
65,132,0.8868733509234829,0.9949700714423633,0.9945435279223278,0.9946354644668827
66,134,0.9107142857142857,0.9958482987680068,0.9959026155233556,0.9957546426865491
67,136,0.8889257294429709,0.9957900428720405,0.9956443602691817,0.9956001891974059
68,138,0.8843085106382977,0.9954034532040635,0.9951414910762849,0.9951400001793771
69,140,0.8993333333333333,0.9957797350021246,0.9956834415306852,0.995619110096325
70,142,0.892379679144385,0.9957504346146417,0.995512623644953,0.995484561376671
71,144,0.8904155495978553,0.9952575049260133,0.9950171172718061,0.9949991054699873
72,146,0.886760752688172,0.9954793091457053,0.9953107808439254,0.9952317256083536
73,148,0.9204851752021563,0.9965512577765756,0.9962720150606363,0.9963533693486952
74,150,0.908445945945946,0.99636743053677,0.9960914304040863,0.9961607190451622
75,152,0.8763550135501356,0.9951690821256038,0.9949085713353083,0.994884492563665
76,154,0.8991168478260869,0.9959030649712055,0.9958358395129105,0.9957319732880252
