,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,1,,0.9617029027186625,0.9549852760133962,0.9442809793128083
1,2,0.06263102725366876,0.9635037196103996,0.9655119333034115,0.948525636427334
2,3,0.13352570828961174,0.966167503930667,0.9686516332378626,0.9543383017024355
3,4,0.37788865546218486,0.9751974996165056,0.9760620415992933,0.970000280249498
4,5,0.6669295478443743,0.9858772770853308,0.9862255154732011,0.9834861033538703
5,6,,0.9850521592390887,0.9854375276833248,0.9828809143039935
6,7,0.7118018967334037,0.9874582901852491,0.9876041232317776,0.9860878506609235
7,8,,0.9926166001841057,0.9925294499416843,0.99223956107766
8,9,,0.9890970810479076,0.9891825424759306,0.9882831405154509
9,10,0.8816067653276956,0.9936517069428461,0.9935713913558798,0.993394258984835
10,11,0.7783068783068783,0.989671640645978,0.9896370405076061,0.9890295042224102
11,12,,0.993248427190425,0.9930726797275866,0.9929474234122089
12,13,0.8708907741251326,0.9934208002455212,0.9939089143173134,0.993446939938006
13,14,0.8869426751592356,0.9936507327553135,0.9936902570544798,0.99347023025336
14,15,,0.9944945328985229,0.9944058682165227,0.9943577838218038
15,16,0.8454787234042553,0.9922210712093309,0.9922813149441535,0.9917992594355011
16,17,0.9241214057507987,0.9953669953574031,0.995347080450583,0.9952691740456325
17,18,0.9112473347547975,0.9948871920804236,0.9947410321597838,0.9946984765042525
18,19,0.9058164354322306,0.994627988181574,0.9944665425885539,0.9944151938022382
19,20,0.87366452991453,0.9935053722179585,0.9935529297641105,0.99330185075917
20,21,,0.9924594190107066,0.9923934951594287,0.9920940058346315
21,22,0.9279978586723769,0.995164632742344,0.9948063680138994,0.9948826127949402
22,23,0.8866559485530547,0.9936101623364163,0.9934837640320652,0.9933758981578606
23,24,0.8905579399141631,0.994156816088425,0.9941494025949082,0.994008798415783
24,25,0.9116541353383458,0.994655536365381,0.9945702667013208,0.994466649072653
25,26,,0.9944538266676902,0.9940768503869772,0.9941587596097458
26,27,0.9192680301399354,0.9950101715733313,0.9948603652088829,0.9948249983052131
27,28,0.9251077586206896,0.9951059419622295,0.9950306924746652,0.9949544557121505
28,29,0.9460625674217907,0.9955567924455875,0.9953894775810616,0.9953957374302422
29,30,0.9092872570194386,0.9947504798464492,0.9947452929893118,0.9946404578667676
30,31,0.9502702702702702,0.9962474567161888,0.9962013739400912,0.9961482004693079
31,32,,0.9964488636363635,0.996410386077937,0.9963819549489266
32,33,0.9052004333694474,0.9943275617153606,0.9942384681968406,0.9941535931740566
33,34,,0.9952487906012439,0.9951076555075021,0.9950609651054065
34,35,0.9267100977198697,0.9951430216932232,0.9951754074358768,0.9950319967897662
35,36,0.9383152173913043,0.9960451543541698,0.9960188958126444,0.9959615623211906
36,37,0.9292709466811752,0.9953922359175209,0.9953188271440849,0.9952166897910444
37,38,,0.99591045234621,0.9956026063131551,0.9956863183863394
38,39,,0.9964383088207058,0.9961055598615142,0.9962184389595643
39,40,0.9448689956331877,0.9959389400921659,0.9958578970203671,0.9958435805508372
40,41,0.9669398907103826,0.9964764391873728,0.9960590169526323,0.9962012124809205
41,42,0.9018052516411379,0.9949400875643291,0.9948236728570905,0.9947672371750657
42,43,0.9320920043811611,0.995410377539655,0.9953360846748872,0.995280751922263
43,44,,0.9963512060224304,0.9962007418376042,0.9962233429428793
44,45,,0.9966199347032841,0.9966150747602297,0.9965727748945856
45,46,0.9464285714285714,0.996389337020819,0.9961774879968881,0.9962369484889199
46,47,,0.9964084047170898,0.9962434018988593,0.9962823454888868
47,48,,0.9963410417947142,0.9960921860361955,0.9961642706039432
48,49,0.9470782800441014,0.9961392186239484,0.9960375027416086,0.9959958264300673
49,50,0.9318432671081678,0.9953323088743757,0.9951066798518327,0.9951400703767777
50,51,,0.9965231088401398,0.9962821837466632,0.9963686110497814
51,52,0.9327986725663717,0.9956297064699555,0.9955485776758058,0.9954924224925364
52,53,0.9653931339977851,0.9967245552695277,0.9965179595583997,0.9965620057642001
53,54,0.98059866962306,0.9973584108199492,0.9973318017212212,0.997318714705291
54,55,,0.9961383285302594,0.9960194281605077,0.9960315254891949
55,56,0.9411111111111111,0.9959268367660621,0.9957118066535879,0.9957540800282574
56,57,,0.9964646658724974,0.9961891222506447,0.9962765321272704
57,58,0.969097995545657,0.9965702098224579,0.9964034016903222,0.9964454729558838
58,59,0.9350613154960981,0.9952442258176089,0.9951132695731324,0.9950963633468846
59,60,0.9263392857142857,0.9956283627978477,0.9954259999279774,0.9954417015975392
60,61,0.9589385474860335,0.9964352972827548,0.9962116584730645,0.9962777480829296
61,62,,0.9973383811207626,0.9971817494029547,0.9972442810946804
62,63,0.9655655095184771,0.9969635238497906,0.9967651663212672,0.9968157566920139
63,64,0.9630044843049328,0.9967423892988929,0.9966246459939931,0.996650255764846
64,65,0.9781144781144782,0.9975591005189314,0.9972764008344808,0.9973981614877788
65,66,0.970505617977528,0.996425001922042,0.9960663531155776,0.996189837896623
66,67,,0.9964344750701573,0.9964851693319905,0.9964268578267168
67,68,0.9515765765765767,0.9967611102568046,0.9965575377586404,0.9966246469399235
68,69,0.9613866967305524,0.9965687593710354,0.9963358950757617,0.996413531873102
69,70,,0.9965494040753556,0.9963173908720477,0.9964014697546368
70,71,0.9474576271186441,0.9966453919796994,0.9966122715763942,0.9965599305931103
71,72,0.9493778280542987,0.9956359581667179,0.9953667183960879,0.9954137004547465
72,73,0.9657417893544734,0.9970200330680202,0.9969062465454103,0.996918986530484
73,74,0.9645691609977325,0.9964623548411905,0.996127900139643,0.9962537006672108
74,75,0.9665153234960272,0.9964526052682177,0.9963258281466167,0.9963373767233438
75,76,,0.9970773727118905,0.99685273730059,0.996920562827454
76,77,0.9778156996587031,0.9970964888666692,0.9968560830913903,0.9969295255421632
77,78,0.9723804100227791,0.9970194600415353,0.9968920229251218,0.9969413250165664
78,79,0.9840364880273661,0.9973943309872697,0.9973051933386357,0.9973154559594694
79,80,0.961472602739726,0.9965288461538462,0.9963214409559804,0.996399882547544
80,81,,0.997134505173276,0.9970201082736762,0.9970424182649567
