,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,1,0.15981100611450805,0.8909215053382045,0.9346767083802622,0.8817409473551726
1,2,0.40144564915207115,0.9218750000000001,0.9619312886365096,0.9160327568483733
2,3,0.3185483870967742,0.9112216664893051,0.9643447550302341,0.9067044691633966
3,4,0.5755215577190542,0.9441734657680028,0.9694573623819646,0.941587156132356
4,5,0.434613244296049,0.9264074639043599,0.9716973371380717,0.923716210122641
5,6,0.44468410798775393,0.9277352064708386,0.9689872359128278,0.9265863624235099
6,7,0.646575723830735,0.9526998261609962,0.9729555476558865,0.9542000679943734
7,8,0.630395433027012,0.9513056127155325,0.9755836395580053,0.9507950959703104
8,9,0.5863509749303621,0.9459020755721128,0.9800457804339195,0.9477789541748116
9,10,0.7725689607132906,0.9694241413567982,0.9786052238645075,0.9707863972326283
10,11,0.7793338907469342,0.970168186495405,0.975702857048953,0.970198788945155
11,12,0.6132562029551157,0.9491164573131786,0.9830931907248148,0.9556441712269726
12,13,0.6843279419966536,0.9582608849934353,0.9764613467502256,0.9596744837541435
13,14,0.7311715481171548,0.964096877217885,0.9719930060749642,0.9640460487123952
14,15,0.7075892857142857,0.9610436850136627,0.9819969264240674,0.9646810460414648
15,16,0.7346497348590567,0.9647331251330825,0.9808303198817403,0.9670227632698597
16,17,0.7079843662758236,0.96120949710757,0.9805145813392365,0.9649348856808987
17,18,0.7349204132923765,0.9645354202157865,0.9706738571129381,0.9638468208191169
18,19,0.8195530726256983,0.9755102040816327,0.9803637615048528,0.9758901365052006
19,20,0.8316568873987148,0.9769645772698232,0.9849180115355024,0.978714731840743
20,21,0.7998882057015093,0.9726954885883649,0.9764532624369566,0.972374868490587
21,22,0.8878948839809897,0.9838935822802783,0.9872042277545691,0.9844483137807101
22,23,0.7835570469798657,0.9708388058641866,0.9736116692499396,0.969886779270427
23,24,0.8889510489510489,0.9844870429534966,0.9887695168738443,0.9854766557983594
24,25,0.8391158365976497,0.9776172388086195,0.9827019932742993,0.9782490028279522
25,26,0.8406101315421215,0.97784720249929,0.9845908808469841,0.978885870736642
26,27,0.8647116461366182,0.9812812866119928,0.984482033295361,0.9815964354583
27,28,0.8474516942033044,0.9792924092877937,0.9826332599359522,0.9794907740831152
28,29,0.803921568627451,0.9733445766021658,0.9760101505781833,0.9727135668228473
29,30,0.8982207901372933,0.9848654310467264,0.986414893030657,0.9848979077579765
30,31,0.8575532511210763,0.980222277456237,0.9826653708093205,0.9802497126430465
31,32,0.8714606111578358,0.9818993679426177,0.9872957608454508,0.9830653486227964
32,33,0.8926668536174986,0.9846951457689713,0.9861827145187678,0.9847030754397457
33,34,0.8751051893408135,0.9822887073863636,0.983425386576199,0.9820258033869809
34,35,0.8919051627384961,0.9847295713626194,0.9875824098899013,0.9851573509715473
35,36,0.8866825708672467,0.9840276298032531,0.985636966817526,0.9840159953247358
36,37,0.9087591240875912,0.9866374258621301,0.9886483205597185,0.9869049892075674
37,38,0.9153327716933446,0.9873561585452479,0.9903042878113895,0.9880047383009131
38,39,0.8926264044943821,0.9848961108151306,0.9876120277420215,0.9852951828373958
39,40,0.871452655240236,0.9821428571428572,0.9877612369164306,0.9833925501112084
40,41,0.855115233277122,0.9800021312115939,0.983428835040492,0.9803042926333324
41,42,0.9004076468934494,0.9858002983802217,0.9869362506342937,0.9857217258786338
42,43,0.8633295838020247,0.9811996021455721,0.9832679286545243,0.981057148937636
43,44,0.8743319268635725,0.9825932504440498,0.9843524828625534,0.9825489318146039
44,45,0.8512239729881824,0.9790401079967317,0.983275765338312,0.9795618892995805
45,46,0.9290036588798198,0.9894219837999148,0.9909770196254793,0.9896718141711176
46,47,0.9172297297297297,0.9878850321526272,0.9892805223772166,0.9879899722109805
47,48,0.922768234300197,0.9887372983727706,0.9896071218205056,0.9887420464699805
48,49,0.9402112676056339,0.9909841890211406,0.991176044701529,0.9908406675047365
49,50,0.9318117779656242,0.9895537237066515,0.9904870863758297,0.9896049442053652
50,51,0.9204481397970687,0.9884429520662332,0.9899325986399651,0.9885963454831106
51,52,0.8985057795319988,0.9856797668964536,0.9870703629448371,0.9856946462171653
52,53,0.9139875916525664,0.9870562524430545,0.9888786134458828,0.9872880364686222
53,54,0.8984485190409027,0.9852434257285004,0.9894578497841839,0.9861517974483902
54,55,0.920640519187359,0.9884146558157718,0.9894158146858062,0.9884401331012027
55,56,0.9228760937058988,0.9887962897149762,0.9895741836798649,0.9887765613682667
56,57,0.9301242236024845,0.9894089632867754,0.990751495773695,0.9895803099460946
57,58,0.8597853713640214,0.9807897355700882,0.9838407468965175,0.9809866591923944
58,59,0.938135593220339,0.9907055269237605,0.9913400991587447,0.9907205586127934
59,60,0.9533060186493361,0.9922247103149215,0.9928254926762679,0.9922602107622498
60,61,0.9024166195590728,0.9860395265346746,0.9869881588022479,0.9859209385109092
61,62,0.9190698331919707,0.9882784729134082,0.9895010404726584,0.988314612919267
62,63,0.9264705882352942,0.989228964487576,0.9908564785925849,0.9895314769291454
63,64,0.9304101838755303,0.9895751866334874,0.9899550913255144,0.9894574358590785
64,65,0.9200622524052066,0.9880816950478155,0.9889273230406085,0.9880140773428934
65,66,0.9386498726294933,0.9906321103526734,0.9914218853455504,0.9906627163346731
66,67,0.951231596828992,0.9920272336189426,0.9925014667796753,0.9920135570886137
67,68,0.9236760124610591,0.9884270781483325,0.9909089668959075,0.9889568909270221
68,69,0.9440509915014164,0.9915377777777779,0.9917064604902623,0.991409019658812
69,70,0.9317086993482573,0.9898485279476603,0.991219460940203,0.990069225512398
70,71,0.9353741496598639,0.9900704050065783,0.9905398125594886,0.9900085530073394
71,72,0.9190530195633683,0.9878387027949648,0.9896725431078133,0.988144854373111
72,73,0.9566789563244469,0.99273674478148,0.9927369283279017,0.9925533341597605
73,74,0.9257446808510639,0.989278093883357,0.9904304945871113,0.9893979226668268
74,75,0.927639046538025,0.9892421494363242,0.9910526227186102,0.9895733358515892
75,76,0.9340760715299461,0.9901397681200655,0.9910147638077502,0.9901800245681346
76,77,0.9456274843838728,0.9916954155848775,0.9927622362165893,0.9918665998646681
77,78,0.9355296790684464,0.9905125195618154,0.9913290754092261,0.9905953336837471
78,79,0.9428267045454546,0.9913391428063312,0.9921511208717901,0.9914287755106448
79,80,0.9449417448138676,0.9911343103080316,0.9912304845411076,0.9909639374246212
80,81,0.9279420125071063,0.9892398534485826,0.9907445494335116,0.9894574395442384
81,82,0.9382286039237987,0.9907690665907797,0.9913026946881809,0.9907740868759285
82,83,0.9163111490329922,0.9876916509551421,0.9918643482638265,0.9887809606141613
83,84,0.9461593172119488,0.991817858413376,0.9922058423853617,0.9917643867490342
84,85,0.9479225953329539,0.9918442491728628,0.9921574288641923,0.9918235160586975
85,86,0.9333902647309992,0.9898249608652341,0.991058492573069,0.9899879941987578
86,87,0.9193479498861048,0.9883836766641761,0.9898228860172824,0.9885504634809468
87,88,0.9480205069780689,0.99182558884224,0.9923536053970486,0.9918355965918224
88,89,0.9499287749287749,0.9919676214196762,0.9926669403820252,0.9920209588592924
89,90,0.9279709318894271,0.9890318104184458,0.9902989109050973,0.989146019862249
90,91,0.9353620296465222,0.9902857346190799,0.9911497378668199,0.990320032715926
91,92,0.9489592244083263,0.992180271866771,0.9927705081880014,0.9922134958511598
92,93,0.940530519110097,0.9907743496672716,0.9916416218869466,0.9908866497911449
93,94,0.9426533523537802,0.9911654804270462,0.9915759616378254,0.9910880201088168
94,95,0.9449914383561644,0.9912630342716823,0.9913641420393231,0.9910815284224518
95,96,0.9619611761347416,0.9933892091963841,0.9935889345007546,0.9933265991488327
96,97,0.9163335237007424,0.9881393031284479,0.9892097210688439,0.9882072765372748
97,98,0.9369465866895172,0.9906837272209567,0.9915274178920885,0.9907157913308554
98,99,0.9466428571428571,0.9912617903541555,0.9915035992052242,0.9911481429564668
