,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,1,0.3797102855894985,0.5605344428240542,0.8607167513806635,0.5500370734401193
1,2,0.19593807628845966,0.43047834740237456,0.8690828128371288,0.4034642057840736
2,3,0.5468018247555264,0.6788042825523738,0.8850682983580932,0.69470243413345
3,4,0.733705411307935,0.8108978758450294,0.9314589317712852,0.8415769722859654
4,5,0.7368293333980441,0.8129922273125033,0.913139192850679,0.8372113132309519
5,6,0.8266902057852844,0.8766643788606727,0.9319068813639989,0.8875732335451195
6,7,0.779946368335477,0.8436143379261827,0.9185785742709068,0.8603188413797047
7,8,0.7904492064262485,0.8510672981227907,0.9269013868876241,0.8711835143230177
8,9,0.8471544715447155,0.890981862484342,0.9387018585075331,0.9037398315970202
9,10,0.883694544219008,0.9168654334545954,0.9445485068584775,0.9229189666112692
10,11,0.7570565250103147,0.8273745173745173,0.9159955747625386,0.8489545426712355
11,12,0.9423328964613368,0.9579357861138759,0.9739648440203236,0.9633414046543068
12,13,0.8831278367029927,0.9162948535342268,0.9622080274455186,0.932236917904274
13,14,0.8974271844660194,0.9264655409115871,0.9660379754126305,0.9400521486392923
14,15,0.9021092744969539,0.9300080657616997,0.962578555820385,0.9409518047305475
15,16,0.8486394970629643,0.8920842629140209,0.9436338188253446,0.9079174069586279
16,17,0.9176578391630459,0.9409334294393245,0.9692635986505609,0.9507944974184002
17,18,0.9573927080299058,0.9688722798105307,0.9752297989238239,0.9705460882526744
18,19,0.9166160941861876,0.9402406164724458,0.9658275059588913,0.9488019654680451
19,20,0.9576576685925136,0.9690514193526242,0.9785825326289023,0.9720269612762987
20,21,0.9441834777753502,0.9596842014931777,0.9730695111236725,0.9639952525202619
21,22,0.9304537288793941,0.9499776877660304,0.9651384837719159,0.9542474153714973
22,23,0.9482593284940886,0.962562003329729,0.9708693675987217,0.9645029122422752
23,24,0.9580116533139111,0.9693496618722324,0.9824250487838263,0.9740947828138976
24,25,0.9426849401539246,0.9582482278024751,0.97116458230736,0.9620804792595934
25,26,0.9474786345537535,0.962070889117748,0.9749937321372422,0.9661306116980606
26,27,0.9549736567363488,0.9672883159683482,0.977418731215489,0.9703856973354908
27,28,0.9567692905356189,0.9685279274949363,0.9747048160004883,0.9700937410569543
28,29,0.9725871069564161,0.979714884048269,0.9834167742779517,0.9807393779673008
29,30,0.9538170163170163,0.9665699670420214,0.9776961359244711,0.9700470096965965
30,31,0.94289512662992,0.9586001201613595,0.973583344085476,0.9635633340329028
31,32,0.9533959011218494,0.9663156178116524,0.9750866938160574,0.968755310321458
32,33,0.951002889682135,0.964297976069902,0.9740460426199533,0.9670166683998721
33,34,0.9644548324429335,0.9739236421067088,0.9772016992776463,0.9746059721149354
34,35,0.9410621918939266,0.9574041647353693,0.967882604724193,0.9600872626543416
35,36,0.9520253533440186,0.9653390557939915,0.9781913404722163,0.9694395286341037
36,37,0.961738349078369,0.9720810657693695,0.9801506247761231,0.9744787363866269
37,38,0.9721864678453469,0.9794971501167422,0.9849459226104607,0.981202321101406
38,39,0.9656830601092896,0.9750502171785671,0.9800676510036069,0.9765320973211283
39,40,0.944273084956526,0.959821275280706,0.9754024283724536,0.9648479162779902
40,41,0.9727309158914823,0.9797364580650699,0.9829761304475761,0.980646928335994
41,42,0.980198921597202,0.9851057619668979,0.9879934760458959,0.9859974889135129
42,43,0.9569478516431469,0.9687601943581203,0.98020390404211,0.9724889603770476
43,44,0.9739737673062911,0.9808729095841489,0.9841234758610551,0.9817333561290464
44,45,0.972017780368724,0.9791856252468192,0.9833325940622033,0.9803140866703774
45,46,0.9651974834823164,0.9745321085164835,0.9786206664796185,0.9755299595530684
46,47,0.9785325624893725,0.9840012706262127,0.9855918242562273,0.9843734118674308
47,48,0.9836211922460283,0.9875682544043409,0.9884837250997243,0.987819347435346
48,49,0.9751244989675696,0.9814121606538798,0.9854002335423413,0.9825821947642795
49,50,0.9704474783791662,0.978398241637475,0.980960537298684,0.9789629398460765
50,51,0.981542890459879,0.9860994247445695,0.9881964781007065,0.9866530834453202
51,52,0.9834130994606676,0.987318405055466,0.988915068996516,0.987730420145779
52,53,0.9778005879351814,0.9833298988546013,0.9849665692885519,0.9837186724395913
53,54,0.9580539358600584,0.96945837340294,0.9780281290242905,0.9720978543710478
54,55,0.9747321363492797,0.9811225979289382,0.9844302205582108,0.9820440901072588
55,56,0.9729274989066524,0.979954490812296,0.9833132664944306,0.9808086785678034
56,57,0.9736071628155599,0.980413539645194,0.9859700444032852,0.9822863801863844
57,58,0.9726649820196326,0.9795888575942845,0.9847674734685234,0.981172580707592
58,59,0.975057708662374,0.9813660329400451,0.9848662223218079,0.9823264423228895
