,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,1,0.004524128686327078,0.9423664554096877,0.9368857443811227,0.9225813182129965
1,2,0.1983568075117371,0.9529558229901535,0.9667545085670195,0.9403661212960652
2,3,0.13238255033557048,0.9497472270429337,0.9658513777340536,0.935654147253621
3,4,0.25402955003357963,0.9563667232597622,0.9707511010955976,0.9481077720592238
4,5,0.21186155913978494,0.9540918351946875,0.9700440285314997,0.9437576111763264
5,6,0.331876260928043,0.9607968909180093,0.9715039546043855,0.9538685253001318
6,7,0.41840511440107675,0.9657101350841446,0.9715928368305113,0.9588858675020353
7,8,0.5550505050505051,0.9734349647183126,0.9781921825508,0.9709182097625674
8,9,0.5183625336927223,0.9714528301886793,0.9772149015398567,0.9687262217685767
9,10,0.42987188132164533,0.9664232612551417,0.9712905014341946,0.9611127831182527
10,11,0.5909244264507423,0.9751868065514377,0.979425129970446,0.9732158564593667
11,12,0.5708980418636057,0.9741008416047101,0.9790893162989115,0.9720632278963575
12,13,0.6298986486486486,0.977373943236715,0.9815520493601743,0.9760430440266705
13,14,0.4798850574712644,0.9694659369692396,0.9777290955110107,0.9667634605084594
14,15,0.6371786197564275,0.9776930625802068,0.9805539087607671,0.9762243341362647
15,16,0.6152674339878131,0.9767957573698713,0.9810881486226433,0.9752438470021433
16,17,0.6349932249322493,0.977927298807187,0.9820046385578234,0.9764713270501775
17,18,0.5303389830508475,0.9721037333433997,0.9811062195062713,0.9707819452867981
18,19,0.7074287652645861,0.9815496413741034,0.983140158727656,0.9805219492031285
19,20,0.6564833672776647,0.9793499188342331,0.9836268571887078,0.9785312942645845
20,21,0.7359035326086956,0.983681289640592,0.9855442017510129,0.9829556994023938
21,22,0.7457511896668934,0.9838316910182354,0.9857323947693567,0.9832011253021989
22,23,0.6947278911564626,0.9815279770444764,0.9839669654590888,0.9806444497990284
23,24,0.7295779441797141,0.9832829903719087,0.9846538040551115,0.9824176386237021
24,25,0.7726498637602179,0.9859065851079898,0.9864416834262444,0.9852099671850717
25,26,0.7667007498295841,0.985311331797757,0.9858903885491439,0.984497476141499
26,27,0.7389154160982264,0.9835831885809229,0.9850913639761485,0.9827660816553699
27,28,0.7815699658703071,0.9859616328688494,0.9863967882488274,0.9852114870969356
28,29,0.7829576502732241,0.9862820996978852,0.987448368449052,0.9857389253528763
29,30,0.8349282296650717,0.9891234563238793,0.9894697666219016,0.9886958944248467
30,31,0.7197332421340629,0.9827592718483269,0.9844192203271944,0.9818633581737032
31,32,0.7664271047227926,0.9851286021830268,0.9859006895545472,0.9844235457056457
32,33,0.726027397260274,0.9831451125547667,0.9843171864396976,0.9821013522279096
33,34,0.8135709389993147,0.9881208687440982,0.9885553351914683,0.9876644590843133
34,35,0.828360768175583,0.9885642517186674,0.9890491889898895,0.9882318851231469
35,36,0.7237474262182566,0.9825765874664754,0.9833904019422831,0.9814490588483822
36,37,0.8224587912087912,0.988450060441221,0.9886602797989081,0.987945030687613
37,38,0.7630584192439862,0.9851630085754222,0.9862172929339644,0.9844638552234681
38,39,0.7910935350756534,0.9870608235738572,0.9880306653204272,0.9865805511787085
39,40,0.8000688231245698,0.9874192451547092,0.9877742087740335,0.986828977881802
40,41,0.75017217630854,0.9844529242859301,0.9854477446169543,0.9835944255987651
41,42,0.8857684355616816,0.9921222654626517,0.9921607836275523,0.9918776580340714
42,43,0.8165517241379311,0.9884191037557621,0.988920824439123,0.987954135422358
43,44,0.7795031055900621,0.9863215567730966,0.9867702339165219,0.9855666065372708
44,45,0.861360497237569,0.9906665659008465,0.9906554497824259,0.9902791177448624
45,46,0.8408776779543884,0.9897214979405208,0.9903458480651166,0.9894411227013171
46,47,0.8252074688796681,0.9883323255989721,0.9888538436063208,0.9879263132450702
47,48,0.8515570934256056,0.9900041570613356,0.9902866175666972,0.9896909712080186
48,49,0.8111149584487535,0.9883597883597883,0.9885604919419992,0.9877932566648326
49,50,0.8167013167013166,0.9878869193847084,0.9881393554065692,0.9873359495011272
50,51,0.8921636615811372,0.9923936049588026,0.992707276598576,0.9922785689689299
51,52,0.8363983344899375,0.9891333106550251,0.9891881921284977,0.9886172350187511
52,53,0.8642361111111112,0.9907582400967644,0.9910079232436322,0.9904799847501122
53,54,0.8564975677553857,0.9904649404649405,0.9907821284207652,0.9902258870134659
54,55,0.8151947148817802,0.9882909956906328,0.9885301750167226,0.9877403944881228
55,56,0.827070285316632,0.9891600196575059,0.9893989681125699,0.9887272503601716
56,57,0.83983286908078,0.9896227128383487,0.9899824108369606,0.9892563308846942
57,58,0.8167247386759582,0.9883274734414578,0.9888058680394787,0.9878590588421159
58,59,0.844839609483961,0.9898582230623819,0.9899640272278302,0.9894581284368945
59,60,0.8227494766224703,0.9886101553933986,0.9893179669645733,0.9882680503335356
60,61,0.8943784916201117,0.9926553992740472,0.9928309747607789,0.9925005042879083
61,62,0.8333333333333334,0.9888834272318221,0.9889456343436737,0.988383980257522
62,63,0.8482517482517482,0.990461695530515,0.9910467141427012,0.9902771056886208
63,64,0.8058082575227432,0.9876819814709775,0.9883148378985983,0.9871857136290144
64,65,0.8932072829131652,0.9927582816517926,0.9929874782642192,0.9926365542596521
65,66,0.8787666433076384,0.9915951291457096,0.9917026433988294,0.991347335947633
66,67,0.8893758765778401,0.9924173663111716,0.9924992063374971,0.9921720743943688
67,68,0.8903508771929824,0.9923319844181385,0.9924115727755222,0.9920995999155288
68,69,0.8765800561797753,0.991518532526475,0.9915732255208463,0.9912406971748295
69,70,0.8814125087842586,0.9917735163962328,0.9918300940855345,0.9915197521815385
70,71,0.8968002812939522,0.992728269914517,0.9927085981647568,0.9925035396302743
71,72,0.8824771287825475,0.9916405038393161,0.9916001150706508,0.9913704872330948
72,73,0.8977112676056338,0.9929357694053564,0.9929293451938457,0.9927118990548688
73,74,0.8897110641296688,0.9924626442216758,0.99246290932774,0.9922123862669073
74,75,0.8919252468265162,0.9927555421048649,0.9926073482259912,0.9924604401936684
75,76,0.8652081863091037,0.9906461619944765,0.9908493086559456,0.9902514019642535
76,77,0.9161370056497175,0.993804857748184,0.9936491406644842,0.9935762657421126
77,78,0.8636042402826855,0.990863001778215,0.991093630256881,0.990592927042022
78,79,0.8822489391796322,0.9921963677639046,0.9923238652396993,0.9919719511380698
79,80,0.9469214437367304,0.9952230504370199,0.9951103631307067,0.99509501123841
80,81,0.9134206798866855,0.9938606780687149,0.9939606296866392,0.9937273552953729
81,82,0.8651665485471297,0.9909656790403754,0.9911298611996853,0.990659290060333
82,83,0.8895390070921986,0.9924411564368425,0.9923843280930755,0.9921767459135256
83,84,0.931334279630944,0.9945600756859035,0.9945440859834944,0.9944219014590633
84,85,0.9213423295454546,0.994124659400545,0.9940345120357803,0.9939597746516096
85,86,0.9051172707889126,0.9930836770994966,0.9932615424126652,0.9929792561544308
86,87,0.8977596017069702,0.9925630156687609,0.9928675528943443,0.9924392454303803
87,88,0.9042704626334519,0.9929506831686916,0.993085705346614,0.9928041896413875
88,89,0.8881766381766382,0.9923826646479939,0.9925297246242691,0.9921714675028878
89,90,0.8889878831076266,0.9920890268367463,0.9920430614144728,0.9917624273913438
