,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,1,0.0006311162590398123,0.14983646512097792,0.9587644744558923,0.11745397432933072
1,2,0.26600831600831604,0.3755635394698625,0.952485469973999,0.46413843722191644
2,3,0.1123902938861581,0.24493281640694065,0.9563596083043815,0.2787042265816755
3,4,0.08786643499955449,0.22392498579276376,0.9561519714459127,0.2502454959709151
4,5,0.4750620015741717,0.5532778086482117,0.956637827534923,0.659854841578634
5,6,0.4506281929428537,0.5325290782112322,0.9593937838838767,0.6431303006646913
6,7,0.3844434543699414,0.47629511757722715,0.9575935706507953,0.5813956362525617
7,8,0.45132102652448985,0.5330792740682739,0.95870183073919,0.6446052836991852
8,9,0.33687047955682947,0.4358581712553675,0.9597578494101606,0.5449544172480947
9,10,0.42508019960791305,0.510779373318683,0.9569182628758836,0.6156842756338889
10,11,0.5078418559058977,0.5812062694182728,0.9563109859349023,0.6833576425790329
11,12,0.5811822367443933,0.6435612614774493,0.9553597340766633,0.7388145384221401
12,13,0.5269571804126008,0.5974285136910175,0.9604409235420075,0.7033661299454271
13,14,0.5731085135456273,0.6367792863909063,0.9597071071678777,0.7353466141373284
14,15,0.6162386561112184,0.6733081567181145,0.9590778019942512,0.7658582092227706
15,16,0.6301243204705463,0.6851830800904348,0.958445043557022,0.7740839597396224
16,17,0.5510397326401782,0.618005734350528,0.9602116280622546,0.7176688847094934
17,18,0.5623811716475551,0.6276256457541272,0.9540712229037804,0.725394370441321
18,19,0.6220459575479406,0.6782935455349248,0.959402550976626,0.7695765382115806
19,20,0.6038627788835744,0.6628636208617009,0.9580582503503958,0.7568359626324768
20,21,0.595750211672435,0.6559215844785772,0.9594414453995921,0.751079658480464
21,22,0.6495135175282234,0.7017002033675648,0.9599515740435605,0.7875068700815137
22,23,0.6801757304772799,0.7276924437258419,0.9628884377313471,0.8090319356496987
23,24,0.650602364894976,0.7025990020842544,0.9580912250940007,0.78758567790695
24,25,0.6776185807448342,0.7255475973927543,0.9622504538041106,0.8059193736807391
25,26,0.6477806167924417,0.7001945353258467,0.960225871714135,0.7860746134253863
26,27,0.6350701923791131,0.6893932694979915,0.9613520037106318,0.7800024904564535
27,28,0.6997169979499065,0.7443785449905888,0.962663286964033,0.8207650592963502
28,29,0.6576218561050614,0.708504926730672,0.9634195663824336,0.7952629373485358
29,30,0.6561237223674827,0.7073137609115829,0.9617299319856735,0.7925124170800392
30,31,0.6700613569847425,0.7191629399428989,0.9614542697634088,0.8019596083358407
31,32,0.6545906997474372,0.7060241039958564,0.9582601052519055,0.7905891909397369
32,33,0.7069782644222912,0.7505621810096518,0.9613844331278476,0.8244428536870874
33,34,0.70554391751352,0.7493335860021477,0.964663309596286,0.824984334537453
34,35,0.716140223156581,0.7583129090128105,0.9597170225262515,0.8286228899834515
35,36,0.7261276854960925,0.766815534471214,0.9634511346168373,0.836669754497779
36,37,0.72931431542976,0.7695762583383869,0.9615682113698888,0.8376364162655083
37,38,0.6973842565077856,0.7423595406248816,0.9607810124224807,0.8182281971551448
38,39,0.7051654458196515,0.7490555906506633,0.9626085565524303,0.8238362060527161
39,40,0.7401748833615642,0.7787748423858798,0.9607574411173078,0.8434043179908344
