,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,1,0.07935153583617748,0.9007737083770201,0.9144692774987666,0.8729660915039857
1,2,0.21124957323318538,0.914599754139851,0.9312581279306061,0.8908482428874764
2,3,0.42435109289617484,0.9375203384315001,0.9548206404989044,0.9303698870774642
3,4,0.3734198838401093,0.9317688747468904,0.9426170755659526,0.9189727025577266
4,5,0.4331852358168148,0.9385554149340083,0.9502688574428959,0.929715498322497
5,6,0.4011965811965812,0.9345031460186592,0.9469435666548006,0.9244887436957757
6,7,0.6332079343365253,0.9597964054532961,0.9655176924572941,0.9568177297843614
7,8,0.5827061238453644,0.9542618978735715,0.9597401034181754,0.9499468052946108
8,9,0.6563997262149213,0.9619543596976601,0.9670995134212459,0.9594863545509631
9,10,0.56282095172886,0.9518896925858951,0.9570346872762097,0.9468007496985851
10,11,0.6715753424657533,0.9637780751564252,0.9696186706801924,0.9617201675589072
11,12,0.6742891401164782,0.9638581452546295,0.9692903708572738,0.9619911349478178
12,13,0.7529129540781356,0.972094621477918,0.9748311143130968,0.9709719984102966
13,14,0.7058621871786082,0.9674636475439486,0.9712101615728077,0.9656341099067178
14,15,0.7313100137174211,0.9703020437692169,0.9751595478579461,0.9695257057163368
15,16,0.7090909090909091,0.9677145130950658,0.9707611039089498,0.9658610876853588
16,17,0.7844886753603295,0.9756176970661651,0.9784874551424858,0.974978238695309
17,18,0.6990216271884655,0.9665726069025397,0.9716128827661386,0.9650623316990509
18,19,0.7955013736263736,0.976547519988423,0.9792589253870827,0.9758962137386405
19,20,0.7356578495362418,0.9703418958031839,0.9725914620309809,0.9687287932124451
20,21,0.7253436426116838,0.969644343138319,0.9721386855572458,0.967887915127299
21,22,0.7885871433482297,0.9765178377596063,0.9802767357061937,0.9762472001079782
22,23,0.8247936726272351,0.9800991424539567,0.9810257536534868,0.9793110374014062
23,24,0.8432232542139664,0.9817448255898105,0.982691291976942,0.9812681877000301
24,25,0.7737439779766002,0.9742988963271214,0.9761651915528347,0.9732880773171855
25,26,0.8409638554216867,0.981743504378664,0.9831577259073165,0.9813376971813645
26,27,0.8043216253443526,0.9776716245069301,0.9792130870533345,0.9768189835925636
27,28,0.8334481570788839,0.9807921974522293,0.982068688710468,0.9802814761395471
28,29,0.8065988973121985,0.9781133509464007,0.9792697915939876,0.9772558788016379
29,30,0.8305756635642882,0.9802569670647846,0.9814495877495694,0.9796901169540234
30,31,0.794051724137931,0.9770259509935213,0.9796924903721547,0.9765263629307708
31,32,0.8563297688858227,0.983422614738671,0.9839765126685907,0.9828960794075022
32,33,0.8079710144927537,0.9784269012198212,0.979303835575807,0.9775612588306105
