,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,1,0.033796806167400884,0.8740875265768958,0.8494412971072842,0.8296852893635579
1,2,0.3609198567887635,0.915774832559623,0.933982040647445,0.901379762192285
2,3,0.23870523415977962,0.9003738748316678,0.9329042080931949,0.8794309115593576
3,4,0.3660788095894185,0.9169295105787292,0.9409556513208928,0.9052417238838115
4,5,0.5322491730981257,0.9382176779132406,0.9490359139050318,0.9321385967526151
5,6,0.5783016266887235,0.9442495126705653,0.9514823363949049,0.9391911998570526
6,7,0.4569084390512962,0.928484085914794,0.9455315774652374,0.9206657736126378
7,8,0.5626206896551724,0.9422961046326161,0.9499814277471349,0.9359054389271766
8,9,0.505242825607064,0.9353466609953212,0.9436955048954132,0.9271845136441277
9,10,0.5607231576041954,0.9420172982170075,0.9564153883182734,0.938768447031653
10,11,0.5361678630590834,0.9388957816377171,0.9519572705910405,0.9341095328017561
11,12,0.6965617232808616,0.9596759899322911,0.9679973409219021,0.9573667277150952
12,13,0.674585635359116,0.9566789563244469,0.962632562102034,0.9542415235495874
13,14,0.6100442111080409,0.9484259226433156,0.9540468055609653,0.9438998186841122
14,15,0.574212271973466,0.9441076366730483,0.9589762650946296,0.9409783879332805
15,16,0.6512303013547138,0.953864563020741,0.9582010980499501,0.9499114560942818
16,17,0.725041482300885,0.9632410296411856,0.9666533507613531,0.9611327928579745
17,18,0.6637621023513139,0.955173208523916,0.9600239407459114,0.9522098241779677
18,19,0.6321942446043165,0.9515637188851854,0.9566675245573244,0.9476538294009356
19,20,0.7287572654303903,0.9637867451508811,0.9685853061598118,0.9621989530610269
20,21,0.6400885935769657,0.952508865248227,0.960804756799995,0.9495707697875488
21,22,0.790293547493769,0.9718163764672507,0.9748896193541186,0.9710231651073845
22,23,0.7763157894736842,0.9696875664940776,0.9731428800562099,0.9687922437659958
23,24,0.7003325020781379,0.9603681242685392,0.9642283239237256,0.957754240498412
24,25,0.6919345898004434,0.959081075329834,0.9633549202309941,0.9565112565948735
25,26,0.7292070973107846,0.9638765738606137,0.9683700230434584,0.9623131725665781
26,27,0.788616195230172,0.9709956019011138,0.9734892584247695,0.9700330541597952
27,28,0.8013869625520111,0.9728301351399283,0.9754154476551028,0.9721426936422979
28,29,0.8118063263041065,0.9741859392735528,0.9755944388339197,0.9732109434634735
29,30,0.8005134610047182,0.972925756447093,0.9749199508727997,0.9720038410975138
30,31,0.7282065519156025,0.9637016672578929,0.9670426151183537,0.9618231384085638
31,32,0.7575673424048875,0.9674784490404058,0.9714133189069504,0.9663765029619921
32,33,0.8139583333333333,0.9747498935717327,0.9772915418826251,0.974216218563435
33,34,0.8462767435398721,0.9793078369461099,0.9806692199201227,0.9787695924178176
34,35,0.8668704836020011,0.9813293833818207,0.9818718868037704,0.9807730897452772
35,36,0.7928134556574924,0.9718999467802023,0.9732353180511348,0.9705539513553553
36,37,0.8296023359288098,0.9768042151575362,0.9792910703961994,0.9764383488592343
37,38,0.7328929068150208,0.9645619699819041,0.968663964550619,0.9632184336396232
38,39,0.7902058987200891,0.9716308281882052,0.9745287343419634,0.9709915011177839
39,40,0.8181881436125801,0.9751783116284021,0.9765695978202849,0.9742183694752892
40,41,0.870336859688196,0.981999645138396,0.9829170463982462,0.9816208021904415
41,42,0.8393901420217209,0.9785389829305511,0.9800374448581939,0.9780055074014232
42,43,0.8229805013927577,0.9760451415998296,0.9774775298738556,0.9753223622021968
43,44,0.8451518528838117,0.9785285871455442,0.9800350744800385,0.9777871480709684
44,45,0.8468506131549609,0.979033574673481,0.9798911210487993,0.9784107075641433
45,46,0.8232506272651241,0.9760692102928128,0.9772150803709412,0.9750929369850294
46,47,0.8302426101505855,0.9767427415347484,0.9796394919215805,0.9764888271447092
47,48,0.7717573221757322,0.9697582792034927,0.9737016732490461,0.9689738324242632
48,49,0.8277064732142857,0.9767499645037627,0.978101697973667,0.9760822723260612
49,50,0.8795004186435947,0.9830765681019489,0.9836869718831215,0.9827311041692663
50,51,0.85964544946957,0.9805378061767838,0.9812258863168926,0.9799543504245118
51,52,0.8242111142139068,0.9760818630409315,0.9771210828189589,0.9751551216195536
52,53,0.85768156424581,0.9799595285430276,0.9820427044910083,0.9797601340043205
53,54,0.8931964235820061,0.9848049135513189,0.9853614431036957,0.9845274167444222
54,55,0.8647288988261599,0.9815025207697223,0.9824342036674019,0.9810644477099553
55,56,0.839250768800671,0.9780845020415408,0.9792597865023152,0.9774152321382799
56,57,0.8958333333333333,0.9853891492685698,0.9855592691350246,0.9850063310772711
57,58,0.8679020979020979,0.9815981962148919,0.9822130472654566,0.9810957154971509
58,59,0.847929490766648,0.9791651871315957,0.9801121704037972,0.9785173625636233
59,60,0.8660089560593338,0.9815968893150101,0.9820242452502606,0.9809876186589281
60,61,0.8029115341545352,0.9734730113636364,0.9748247454095379,0.9723596611873474
61,62,0.8804256510781293,0.9831048687808517,0.9841257726527448,0.982827025076792
62,63,0.8915966386554621,0.984942112365935,0.985297393058618,0.984514151988912
63,64,0.8290137293359485,0.9768441240188941,0.9778663977088056,0.9759228059780738
64,65,0.8647701793721974,0.9809099303878391,0.9815399875275672,0.9803514887333299
65,66,0.8807120829828988,0.9832711774107619,0.9837343664047656,0.9828259967692591
66,67,0.8377734155916994,0.9777296298927329,0.978548099945033,0.9768877837770951
67,68,0.8475455820476858,0.9792029268639222,0.9813783895806882,0.97902431696359
68,69,0.8914842873176206,0.9842551150895141,0.9849593349369465,0.9839702511156316
69,70,0.9130648330058939,0.9875492877695287,0.9878271095039115,0.9873388051915435
70,71,0.8879842784952274,0.9841563055062168,0.9856916891337485,0.9841262696102246
71,72,0.8550266778994664,0.9803367792816797,0.9817665518456844,0.9799689741764297
72,73,0.891502808988764,0.9842617592724173,0.9848077998201352,0.9839512797047666
73,74,0.8822703006462489,0.9834884712402743,0.9838628331099377,0.9830577485761884
74,75,0.8776700393479483,0.9831148298159595,0.9839162538455949,0.9827964842999475
75,76,0.9064520663480461,0.9863208385148339,0.986497584247279,0.9859653388497533
76,77,0.8868110236220472,0.9840285673678227,0.984170234856342,0.9834835891733777
77,78,0.8978199718706048,0.9855825604946167,0.9862739138442039,0.9853867680215943
78,79,0.9126336522228474,0.9875541894676996,0.9878916485342937,0.9873710926393363
79,80,0.9081761891359414,0.986878575743577,0.9868658764381208,0.9864913999829792
80,81,0.9070945945945945,0.9867181947405828,0.9867383460788546,0.9863412737927746
81,82,0.8846099690228104,0.9839546536834998,0.9846367788678227,0.9836092006078323
82,83,0.8950704225352112,0.9848603312246784,0.9851862661270682,0.9844859598903105
83,84,0.9085657931811778,0.9868855954792622,0.9868877874563264,0.9864841521790771
84,85,0.8915586245772266,0.9848681404606198,0.9854017775417414,0.9845872007504877
85,86,0.9147871440654073,0.9874178070019548,0.9876126069495395,0.9871573730346914
86,87,0.9050338409475466,0.9865909575602474,0.9868974708997568,0.9863003521437024
87,88,0.8777856135401975,0.9829559591938293,0.9840205999918055,0.9826494865100844
88,89,0.9089305869074492,0.9868032845158539,0.9871701091789143,0.9865414667081606
89,90,0.9241462037821055,0.989042337634638,0.9889720510893919,0.9887286853073445
90,91,0.9069734613212874,0.98703341628155,0.9871380814907713,0.9866931565329005
91,92,0.9233973453826603,0.9888904689110882,0.9889428718188864,0.9886464477520526
92,93,0.9201271186440678,0.9883745733788396,0.9886121390810929,0.98818201610493
93,94,0.9155128567391918,0.987716429053934,0.9881836642610481,0.9875759410460196
94,95,0.9169022046353872,0.9885159638768399,0.9887984769543683,0.9883437286049929
95,96,0.9153944020356235,0.9876355555555556,0.9877261398916647,0.9872943888108624
96,97,0.9141685520361991,0.9876173375053335,0.9879254861282553,0.9874254092254644
97,98,0.9283592644978784,0.9895192547025566,0.98955197022437,0.9892842382681215
98,99,0.9090973401245048,0.987269753218121,0.9879288015845475,0.9871359775938059
