,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,1,0.09026465028355388,0.9104571470234407,0.8756459669816699,0.8752275255706079
1,2,0.15771558245083206,0.9170342690484871,0.9287127052364855,0.8883718600579829
2,3,0.34875141884222477,0.9353148127893834,0.9425635387603646,0.9219493594193124
3,4,0.5475018925056775,0.9542256088668514,0.9580681132644195,0.947433391266881
4,5,0.7139341158652026,0.97102307944726,0.9727121402599681,0.9684816879597875
5,6,0.6985795454545454,0.9692900896959089,0.9711830005771755,0.9671813863248993
6,7,0.49507389162561577,0.9496353691886965,0.9543081003788223,0.9404771356640667
7,8,0.7817475360121304,0.9770365373395566,0.9777281418009159,0.9758033613509862
8,9,0.7944634053849071,0.978193487218758,0.9790750384452719,0.9772089861461242
9,10,0.8187594840667678,0.9808183210560865,0.981318474137724,0.9799146461796355
10,11,0.8336812144212524,0.9821487181357355,0.9827271101412647,0.9814474371083131
11,12,0.8817388003037206,0.9870076586433261,0.9874056082214927,0.9866172513757254
12,13,0.9333459931636916,0.991903424632554,0.9919439988889345,0.9916830566162869
13,14,0.9042553191489362,0.9889579838062587,0.9892261738542086,0.9887708355440941
14,15,0.774325351577347,0.976237370974213,0.9772947515203221,0.9746762146413669
15,16,0.9281368821292776,0.9908812372337321,0.9908188536154726,0.9906180853506328
16,17,0.9182198554583492,0.9905070217034471,0.9906121789539952,0.9902387295816011
17,18,0.9168569254185692,0.990151017728168,0.9901708290647913,0.9898831183393011
18,19,0.9156832889227255,0.9900685806004451,0.9900443344932763,0.989764549823636
19,20,0.8863290175171363,0.986976506639428,0.9880395002976312,0.9869287258844278
20,21,0.9156190476190476,0.9903323483273138,0.9904351039451278,0.9900606605076238
21,22,0.8998666158536586,0.9885716891645385,0.989764260360934,0.9887216149182275
22,23,0.966927182615326,0.9946824035900617,0.9946131434254137,0.9945603615535683
23,24,0.880720823798627,0.9867648131932283,0.9871016427076937,0.9864409784540238
24,25,0.9666157954979014,0.994435728098661,0.9942289837891091,0.9942296601342924
25,26,0.9279580152671756,0.9912063051886448,0.9911514137164755,0.9909972085665075
26,27,0.944635357006491,0.9923645320197044,0.9926971364610934,0.9923406892718651
27,28,0.9292398777692896,0.9908863669537294,0.9908565261247694,0.9906399930053214
28,29,0.9619793656858999,0.9949731781191841,0.994802801198421,0.9948222464329787
29,30,0.932052752293578,0.9914878476023647,0.9915153763662145,0.9912799323150151
30,31,0.9351816443594647,0.9923634173935257,0.992476374405428,0.9922126454072522
31,32,0.9453902065799541,0.9929379562043795,0.9928101452192771,0.992751522059013
32,33,0.9314006888633755,0.9915781597868536,0.9915684974631069,0.9913519710020028
33,34,0.9355857580398163,0.9916690999343019,0.991518684751938,0.9914310037473668
34,35,0.9508808885484489,0.9930375588568091,0.9928605680908412,0.9927769547536744
35,36,0.9708812260536398,0.9954920426339612,0.9954416006023996,0.9954167429358523
36,37,0.9322537370640092,0.9912118999817485,0.9911450934234327,0.9910147377998264
37,38,0.962135736196319,0.9944695918814339,0.9943124843386763,0.9943266599324048
38,39,0.9383390870732643,0.9923611871646041,0.9924778995799122,0.9921981008923775
39,40,0.9337106676899463,0.9917494158878504,0.9917964452088441,0.9915896652895412
40,41,0.9479846449136277,0.9931455587601766,0.9932209196854445,0.9930649502246325
41,42,0.9370199692780338,0.9921686746987951,0.9928274762417908,0.9922668435612159
42,43,0.9600461006530927,0.9946237540618497,0.9945600955810462,0.9945303313924821
43,44,0.9799192928516526,0.9964035343946254,0.9963399651045654,0.9963169293970806
44,45,0.9588619761630142,0.9942217110307809,0.994086404217287,0.9940950095340706
45,46,0.94625,0.9929526035200468,0.9930008558485013,0.9928220919465626
46,47,0.9694113120430935,0.9950246485302173,0.9947641911558257,0.9948318378182496
47,48,0.9520785219399538,0.9935272421852177,0.9934662380332158,0.9933836612294576
48,49,0.9661147477859068,0.995106452908739,0.9949827190413603,0.9949474274303844
49,50,0.9735169491525424,0.9954349572712,0.9952308307439621,0.9952713670664327
50,51,0.9571290944123314,0.993983053942515,0.993913920094148,0.9938624441200683
51,52,0.9750385505011565,0.9957542001460921,0.9956311094065335,0.9956426707681629
52,53,0.9376205167759353,0.9922203148398407,0.9923048026251797,0.9920798733395076
53,54,0.962673611111111,0.9947494338519979,0.9946434581934676,0.9946300746044263
54,55,0.958703203396372,0.9944022354531177,0.9943515222386795,0.9942729145608536
55,56,0.9277992277992277,0.9912788573933373,0.9911408177095662,0.9909994600162149
56,57,0.9754731556585555,0.9958995433789954,0.9958294249678649,0.9958291166661002
57,58,0.9519899536321483,0.9936527361730109,0.993504826836334,0.9934564192775228
58,59,0.964051024352532,0.9946571439009243,0.9945641315391701,0.9945525011099874
59,60,0.9674207269914927,0.9947574163378635,0.994806059181184,0.9946789071194897
60,61,0.9594777562862669,0.9942000657630339,0.9940071668928588,0.9940292759827732
61,62,0.9637190402476781,0.9948575082206795,0.994690019133,0.9946447250432957
62,63,0.9874177313201703,0.9970313127991524,0.9968797521727699,0.9969233436763946
63,64,0.9673702556158017,0.9949576147325344,0.9949082239629652,0.9948603379036268
64,65,0.9674544750096861,0.9949757006613804,0.9947842011408499,0.9948012456346036
65,66,0.953875968992248,0.9940345684425931,0.9939654859530069,0.9938730669641669
66,67,0.985944164404808,0.9967842134112919,0.9966457711986323,0.9966626686065062
67,68,0.9625678820791311,0.9941529016225698,0.9940913499778182,0.9940581203551824
68,69,0.9608071400853706,0.9940978693856668,0.9943452686639078,0.994079692502398
69,70,0.9656444099378882,0.9946641327388349,0.994513281477992,0.9945171930678306
70,71,0.9770873786407767,0.9960710500347209,0.9958586560282545,0.9959120357945492
71,72,0.967948717948718,0.9950201023391814,0.9949033946186546,0.9948981341510198
72,73,0.9682277497085114,0.994764063013999,0.994552069072759,0.9945784986660913
73,74,0.968604199066874,0.9952299144674318,0.994970990327245,0.9950397109371765
74,75,0.9627576818358616,0.9945717732207479,0.99442345849637,0.9944280396675276
75,76,0.9641050583657588,0.9946355461324755,0.9945852044132716,0.9945086778868786
76,77,0.9782989490073959,0.9956223725095961,0.9955760408808585,0.995528234045195
77,78,0.9756619937694704,0.9956679096293046,0.9953528536218437,0.9954750000081267
78,79,0.9710751850409038,0.9952930208752239,0.9952152610141696,0.995193403442368
79,80,0.9700896336710834,0.9952654284878619,0.9951745484000794,0.9951513604404756
80,81,0.9728070175438597,0.9955211875251362,0.9952310519019154,0.9953331206182003
81,82,0.9642160686427457,0.9948263254113345,0.994618274032983,0.9946444564220958
82,83,0.9777604369879048,0.9957585286482139,0.9955063319607174,0.9955918038632788
83,84,0.9745316159250585,0.9959046365364926,0.9958628469422587,0.9958288644913812
84,85,0.9896524795001953,0.997239185285406,0.9971943517030675,0.9972042736415841
85,86,0.9874999999999999,0.9967636948731076,0.9964645062463385,0.9965591904859481
86,87,0.9811449785072293,0.9960504662643994,0.9958807776128388,0.9959332528496687
87,88,0.9821149335418295,0.9963611761263896,0.9964292810613515,0.9963247292321415
88,89,0.968028940164255,0.9953187287422741,0.9950464318431453,0.9951367484704754
89,90,0.9818075117370892,0.9965986394557822,0.9966150496756719,0.9965648491849268
90,91,0.9816046966731898,0.9961504699901247,0.9958873679243572,0.9959895195928345
91,92,0.9680892717306187,0.9951444769568398,0.9950962655502504,0.9950588595712276
92,93,0.9779670975323149,0.9960953217015984,0.9959833674355123,0.9959851576996687
93,94,0.9766849529780565,0.9959762967298267,0.9958277895927052,0.9958571672607223
94,95,0.9850058800470404,0.9966071624538172,0.9966276156534117,0.9965869925223392
95,96,0.9731372549019607,0.9953175299970736,0.9950624803615081,0.9951237711311722
96,97,0.9859748921145548,0.9968172672398025,0.9965647408394416,0.9966651033563534
97,98,0.9820447409733124,0.9962226531060218,0.9958430364220247,0.9959927286431424
98,99,0.9618178248920298,0.9944298101196356,0.9942570405324445,0.9942580574354174
