,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,1,0.0765993265993266,0.9663247272168434,0.9697811394830458,0.9537113180363598
1,2,0.21432584269662922,0.9710012679140891,0.9755479254577447,0.9625843906156341
2,3,0.35039370078740156,0.9758222546684084,0.9815762719034855,0.9716198166044044
3,4,0.5439189189189189,0.9823150816522574,0.9833640162115159,0.9801779014219129
4,5,0.6713641488162345,0.9865220565631725,0.9875428507250944,0.9853925118017567
5,6,0.6422121896162528,0.9853110709756754,0.9862629811572514,0.9840750193674916
6,7,0.7483050847457627,0.9893071247406041,0.9895789733228826,0.988446500296155
7,8,0.6889140271493213,0.9870297067752969,0.988493988524888,0.9862199460860936
8,9,0.7785956964892412,0.9903247501921598,0.9904251754303701,0.9896312231778079
9,10,0.772108843537415,0.9904685037856951,0.9909666030404788,0.9900043022371814
10,11,0.9605561861520998,0.9965696825274809,0.9964319194819808,0.9964519494247042
11,12,0.8221590909090909,0.9918899181304532,0.9923605224776241,0.991478212166282
12,13,0.9004550625711035,0.9945706488314884,0.9943274364419066,0.9942857771551373
13,14,0.8550683371298405,0.9931577935806266,0.9934887330630404,0.9929949824500663
14,15,0.8400798175598632,0.9924271546090567,0.9928938701106992,0.9921413115517017
15,16,0.9035388127853882,0.9947622342674817,0.9947709339784591,0.9946307513113718
16,17,0.8897142857142857,0.9944448715977241,0.9945626183548042,0.9942636265477847
17,18,0.9413615560640732,0.995847910499404,0.9957041825351055,0.9956987869499827
18,19,0.968213058419244,0.9969434832756632,0.9968868804210066,0.9968661878931244
19,20,0.9208715596330275,0.9952804798339037,0.9953304765749686,0.9951926538316179
20,21,0.9417336394948335,0.9957320824361735,0.9954466966660211,0.9955269105592617
21,22,0.8833333333333333,0.9938093590187258,0.9939926468195178,0.9936435798642553
22,23,0.8688147295742232,0.9934438206567715,0.9936827139513603,0.9932329771714122
23,24,0.9400921658986174,0.9959142472601423,0.9956516391431101,0.9956619619030329
24,25,0.9293540945790081,0.9954045531456699,0.9953643937904995,0.9952746367106137
25,26,0.9385103926096997,0.9958947044571781,0.995863888699317,0.9958103054191888
26,27,0.9387283236994219,0.995750326897931,0.9955294659112417,0.9955518755037198
27,28,0.9427083333333333,0.9958559286181301,0.9956912811283045,0.9956686955235425
28,29,0.9678447276940905,0.997,0.9967245761658446,0.9968319433235397
29,30,0.9506960556844548,0.9965479441516981,0.9966069934704378,0.9965027069772988
30,31,0.9448315911730546,0.9960958535271943,0.9961213737686448,0.9960122056908367
31,32,0.9543604651162791,0.9967400084625149,0.9964806964764612,0.9965716524663867
32,33,0.9484866123399301,0.9964802277273426,0.9964934073709596,0.9964283397947029
33,34,0.9268648018648019,0.9951817657241777,0.9952333026080571,0.9950630271451744
34,35,0.9089848308051343,0.9951238747403247,0.9952230150362443,0.995063575029684
35,36,0.9830607476635513,0.9973069672604162,0.9971277471245527,0.9972024708031029
36,37,0.9807017543859649,0.9972106802092952,0.9968444819660207,0.9969879520055404
37,38,0.9645784543325526,0.9966045938978877,0.9965403032232614,0.9965109586820879
38,39,0.9671746776084408,0.9968353212774144,0.9965889663434073,0.9966679191738719
39,40,0.9527582159624413,0.9961329793374121,0.9959749766229288,0.9959980894827458
40,41,0.9327262044653348,0.9957672772048638,0.9957774019025434,0.9956867939139408
41,42,0.956764705882353,0.9962673644514565,0.9961416298686628,0.9961390295278887
42,43,0.9861601884570083,0.997344724082198,0.9970898674735875,0.9971444084757839
43,44,0.9896816037735849,0.9978352895901481,0.9978424460812247,0.9978199597560388
44,45,0.9755017709563164,0.9975561884236454,0.9975542952966632,0.9975013732369535
45,46,0.9524231678486997,0.9966997652311126,0.9965271174045928,0.9965702592572779
46,47,0.9896449704142012,0.9978061735047341,0.9977465359515021,0.9977594187035543
47,48,0.9561611374407583,0.9964781956044803,0.9963281674861361,0.9963386760275798
48,49,0.9626334519572954,0.9971227867590455,0.9970197430628871,0.9970465294825488
49,50,0.956353919239905,0.9964105623773047,0.9962245286160126,0.9962712192721807
50,51,0.9774078478002379,0.9969878358611133,0.996675097150965,0.9967850979742113
51,52,0.9907738095238096,0.9977576317511645,0.99775368719383,0.9977268929251886
