,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,1,0.09167604049493813,0.967119419042496,0.9689839053276681,0.9543014605723563
1,2,0.010135135135135136,0.9645244956772334,0.9495466263006592,0.948460069133813
2,3,0.03579481397970688,0.9653588994774054,0.9670396142312141,0.9505920223196356
3,4,0.15829571106094809,0.9693732467432656,0.9709730734710634,0.9588614081787135
4,5,0.20564971751412428,0.9715337022519406,0.972825600615834,0.9628344257996062
5,6,0.1996606334841629,0.9710618346719957,0.9721944312194675,0.9620901819923142
6,7,0.19337485843714608,0.9705803228285934,0.9720371598206878,0.9614606597098124
7,8,0.30413832199546487,0.9743552788346977,0.975094107529792,0.9677268297720192
8,9,0.23269012485811577,0.9725286340225997,0.9736822888160039,0.9643681375865776
9,10,0.3164772727272727,0.9752949994234539,0.9762326977490718,0.9693606586910738
10,11,0.39618885096700796,0.9777156365313654,0.9782886591405954,0.9733169086242222
11,12,0.5466970387243735,0.982961752834903,0.9834098839893488,0.9807213166613122
12,13,0.4290193842645382,0.9787614361497656,0.9792050014221406,0.9747073833428922
13,14,0.39497716894977164,0.9781167108753316,0.9789306171865045,0.973754377862968
14,15,0.3628571428571429,0.9769721666922958,0.9777664529713109,0.9716672193716829
15,16,0.6089816933638443,0.9853042943370113,0.9856612500243062,0.9837905235563907
16,17,0.3894616265750287,0.9779988465974625,0.978930919157346,0.9736839875966397
17,18,0.49483944954128445,0.9811699796224385,0.9814539177273852,0.978089316527879
18,19,0.5008610792192881,0.981284604737004,0.9817702513507769,0.9783693749527538
19,20,0.664367816091954,0.9872342061752605,0.9874071999988139,0.986033246296454
20,21,0.487054085155351,0.9806006306237023,0.9811552785136629,0.977290855286317
21,22,0.6538018433179724,0.986368006152663,0.9863117265012282,0.9850190975132256
22,23,0.5741061130334486,0.9840505306875865,0.9843152629090671,0.9819936577188998
23,24,0.47690531177829093,0.9810310348805906,0.9814047773471133,0.9778780230690243
24,25,0.6109826589595375,0.9849819244673487,0.9851319179192828,0.983223653738765
25,26,0.6145833333333333,0.9855005576708589,0.9860730759491458,0.9841037566041566
26,27,0.6431054461181923,0.9863653846153846,0.9864843346200518,0.98495556274813
27,28,0.6455916473317866,0.9863167814146698,0.986371606733681,0.9849129874716479
28,29,0.5984320557491289,0.9849315331948612,0.9851688280991819,0.9831038384839161
29,30,0.663953488372093,0.9872389121821749,0.9874766235605237,0.9861349925594368
30,31,0.6504656577415601,0.9865748576704109,0.986688816061428,0.9852142731383279
31,32,0.62004662004662,0.9861608001538759,0.9863826161009993,0.9846814692560043
32,33,0.7532088681446907,0.9899688389628376,0.9899846402063356,0.9893111245626358
33,34,0.6439836448598131,0.9868810833685993,0.9871492625748671,0.9856303430153026
34,35,0.7266081871345029,0.9892082179132041,0.9891539488378007,0.9883968616726994
35,36,0.7210187353629977,0.9892751337001269,0.9893406689940849,0.9884974421854184
36,37,0.7265533411488863,0.9893709118891882,0.9894570342889761,0.9885726877582477
37,38,0.7194835680751174,0.9894763169033053,0.9894593156997156,0.9886277447985845
38,39,0.7558754406580492,0.9901685393258426,0.990105428552843,0.9895084767278222
39,40,0.7176470588235294,0.9889271558856352,0.9889662887622338,0.9881059336131073
40,41,0.6916961130742049,0.9880512583698915,0.9882171125968455,0.9871034416221612
41,42,0.7013561320754716,0.9883875312680392,0.9884540137495936,0.9874441492610473
42,43,0.7898465171192445,0.9914562807881774,0.9913838890472139,0.9909795341559047
43,44,0.775709219858156,0.9906381095331562,0.9905580280464243,0.9900517190905038
44,45,0.7307692307692308,0.9891848202601801,0.989177055218038,0.9884166342775587
45,46,0.779324644549763,0.9913686925060621,0.9913284571013733,0.9908225323323375
46,47,0.7452550415183867,0.9899056966897612,0.9899655238465721,0.9892538678539055
47,48,0.794833729216152,0.9916278532660996,0.9915856405387811,0.9911844386799633
48,49,0.7437574316290132,0.9899722842405112,0.9899522938767145,0.9892357055989773
49,50,0.7125,0.9889132694306502,0.9890436523522393,0.9881234996255236
50,51,0.7380810488676997,0.9900581305820757,0.9901504214153957,0.9893432784035275
51,52,0.7926610978520285,0.9917324350336862,0.9917435245123765,0.9912733309878656
52,53,0.7595579450418161,0.9903942403942405,0.9903381447247166,0.9897623881960833
53,54,0.7685406698564594,0.9909713933700381,0.9908763278362014,0.9903762896438629
54,55,0.8035928143712576,0.9916063452949331,0.9914454545578679,0.9911371825605799
55,56,0.7823741007194245,0.9908551846290093,0.9907391423141914,0.9903116417173219
56,57,0.781812725090036,0.9909414709279938,0.9909761310465353,0.9904518840875483
57,58,0.7602163461538461,0.9906426893603912,0.9906842079517654,0.9900659181601368
58,59,0.8149819494584838,0.9922789587184226,0.992299611705517,0.9919130315732811
59,60,0.8521084337349398,0.9935206223283398,0.9933349831500441,0.9931392581196788
60,61,0.8211700844390832,0.9927982746668721,0.9926826517185843,0.9924008541842356
61,62,0.777475845410628,0.9911515501636818,0.9911125303470921,0.9906305421033719
62,63,0.7291414752116081,0.9893698967801572,0.9893226540782694,0.9885705164583223
63,64,0.7657384987893463,0.9911412394561491,0.9912653461758846,0.9906547045851766
64,65,0.7924242424242425,0.992142361913566,0.9922157904300546,0.9917346125120636
65,66,0.8276699029126213,0.9930280035437773,0.9927768551295014,0.9925993787847232
66,67,0.8065006075334142,0.9921513867488444,0.9921343767178487,0.9917715145650178
67,68,0.8102189781021898,0.9921221926884702,0.9918560601468122,0.9916292145240528
68,69,0.805115712545676,0.9920833654364744,0.9919736402733264,0.9916628769584526
69,70,0.8253048780487806,0.9930750857186886,0.9930219356797579,0.9927267621450147
70,71,0.8253968253968254,0.9928532901833873,0.9927035924050502,0.9924725486364616
71,72,0.835880195599022,0.9927663263340397,0.9926512994960173,0.9924303294442935
72,73,0.8004895960832313,0.9919569237882406,0.9918845632221909,0.9915063085824207
73,74,0.8152573529411764,0.9922648634069279,0.9919398929368085,0.9917182236884505
74,75,0.8365030674846626,0.9927751233045623,0.9927562790669492,0.9925089494512017
75,76,0.80497542997543,0.9921390312512042,0.9920468604153126,0.9917085277420086
76,77,0.8213407134071341,0.9926974951830443,0.9927356776939588,0.9923403633681884
77,78,0.8171182266009852,0.9923214767428419,0.9919511098211891,0.9918067111041762
78,79,0.8051787916152898,0.9918394481270232,0.9917822751063752,0.9914180918588207
79,80,0.8049382716049382,0.9920992793001119,0.9919883936690849,0.9916722621202475
80,81,0.8250927070457355,0.9924843906575195,0.9923949347515718,0.9921103020559224
81,82,0.8381806930693069,0.9932067835806513,0.9929993087061331,0.9928404280847604
82,83,0.8076208178438662,0.9921658186864015,0.9918278463934576,0.9916110174005975
83,84,0.8021091811414391,0.9919824230042786,0.9917094327795581,0.9914494490683537
84,85,0.8282608695652174,0.9924157736489091,0.9923198431395602,0.9920649767599651
85,86,0.8156094527363184,0.992232373462858,0.992124925329825,0.9918498412310544
